"","�.�.�.�.�.�.ت","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7"
"1","النفقات الرأسماليةالتطويريةاجمالي النفقات","النفقات التحويلية","دفعات الفائدة","السلع و الخدمات","مساهمات اجتماعية","الرواتب و الأجور","","",NA
"2","2,772 0","","0 0","185","301","2,914","6,173","وزارة الاسكان والأشغال العامة",NA
"3","‐ ‐","‐","‐","120","140","1,534","1,794","سلطة الأراض ي",NA
"4","4,614 ‐","‐","‐","735","115","1,266","6,730","سلطة المياه",NA
"5","2 ‐","‐","‐","51","47","1,838","1,938","هيئة تسوية المي اه و الآراضي",NA
"6","1,069 7,645","‐","‐","30,965","5,083","55,435","100,197","ال صحة",0.7
"7","1,069 7,645","","0 0","30,965","5,083","55,435","100,197","وزارة الصحة",NA
"8","2,242 ‐","‐","‐","2,820","1,900","18,622","25,584","دي ن وثقافة",0.8
"9","0 0","","0 0","368","215","2,072","2,654","وزارة الشباب و الرياضة",NA
"10","255 ‐","‐","‐","86","103","923","1,368","وزارة الثقافة",NA
"11","‐ ‐","‐","‐","29","48","473","550","وزارة الاعلام",NA
"12","‐ ‐","‐","‐","1,808","447","4,719","6,974","هيئة الاذاعة وا لتلفزيون الفلسطينية",NA
"13","‐ ‐","‐","‐","101","110","957","1,168","وكالة الأنباء الف لسطينية - وفا",NA
"14","1,986 ‐","‐","‐","127","24","341","2,478","دا ر الحياة الجديدة للصحافة و الطباعة و  النشر",NA
"15","‐ ‐","‐","‐","275","925","8,777","9,976","وزارة الأوقاف والشؤون الدينية",NA
"16","‐ ‐","‐","‐","27","28","360","416","دار الفتوى والب حوث الاسلامية",NA
"17","16,913 ‐","600","‐","8,808","18,316","189,714","234,351","التع ليم",0.9
"18","15,670 0","","0 0","8,421","17,674","183,509","225,274","وزارة التعليم",NA
"19","1,242 ‐","600","‐","387","642","6,205","9,076","ح ماية اجتماعية",0.1
"20","287 ‐","389,550","‐","499","481","4,454","395,272","وزارة الشؤون  الاجتماعية",NA
"21","287 0","203,435","0","333","448","4,083","208,585","وزارة شؤون المرأة",NA
"22","‐ ‐","‐","‐","167","33","352","552","المتقاعدون",NA
"23","‐ ‐","186,115","‐","‐","‐","20","186,135","هيئة شؤون الأ سرى و المحررين",NA
"24","46,919 7,776","459,661","25,710","89,201.9","55,026","570,311","1,254,604","المجموع",NA
