"","�.�.�.�.�.ز�.�...�.س�.�..�.�.�.ع�.ي.�.�.","�..","�.�.�.�..�.�.","X","X.1","X.2","X.3","X.4","X.5","X.6"
"1","الموازنةكانون ثاني2020",NA,"ن سان","ــع الأول","ال","ن سان","آذار","شباط","",NA
"2","",NA,"4131.8","3366.7","","765.2","902.1","1201.1","1263.5  اجمالي صافي الايرادات  (1)",NA
"3","",NA,"3776.0","3030.8","","745.2","815.5","1064.1","1151.2 أ. صافي الضرائب",NA
"4","",NA,"968.2","861.4","","106.7","146.0","339.3","376.2  ايرادات الضرائب المحلية",1
"5","",NA,"337.1","309.3","","27.9","42.3","151.9","115.1 ضريبة الدخل",NA
"6","",NA,"351.8","309.2","","42.6","51.3","99.2","158.7 ضريبة القيمة المضافة",NA
"7","",NA,"190.6","182.4","","8.3","37.9","71.0","73.5 الجمارك",NA
"8","",NA,"2.0","1.6","","0.4","0.4","0.4","0.9 مكوس المشروبات",NA
"9","",NA,"76.0","48.3","","27.6","13.8","16.1","18.4 مكوس السجائر",NA
"10","",NA,"10.6","10.6","","0.0","0.3","0.6","9.7 ضريبة الأملاك",NA
"11","",NA,"2814.2","2164.3","","649.8","717.7","746.1","700.5  ايرادات المقاصة  *",2
"12","",NA,"1226.2","945.8","","280.4","300.6","330.9","314.3 الجمارك",NA
"13","",NA,"706.3","539.7","","166.7","183.4","187.6","168.6 ضريبة القيمة المضافة",NA
"14","",NA,"0.6","‐0.6","","1.1","1.6","‐3.9","1.8 ضريبة الشراء",NA
"15","",NA,"854.0","652.4","","201.6","205.1","231.5","215.8 ضريبة المحروقات",NA
"16","",NA,"27.0","27.01","","‐","27.0","‐","‐ ضريبة الدخل",NA
"17","",NA,"‐","‐","","‐","‐","‐","‐ أخرى",NA
"18","",NA,"151.0","150.4","","0.6","10.9","30.2","109.2  تحصيلات مخصصة  (3)",3
"19","",NA,"106.2","106.1","","0.1","2.2","16.4","87.4 ضريبة الأملاك",NA
"20","",NA,"31.6","31.4","","0.2","6.7","12.1","12.5 اتنقل والمواصلات",NA
"21","",NA,"13.2","12.9","","0.3","1.9","1.7","9.3 أخرى",NA
"22","",NA,"157.3","145.3","","12.0","59.1","51.5","34.7  الارجاعات الضريبية (-)",4
"23","",NA,"117.0","105.0","","12.0","25.0","50.0","30.0 وقود",NA
"24","",NA,"40.3","40.3","","0.0","34.1","1.5","4.7 أخرى  (2)",NA
"25","",NA,"355.8","335.9","","20.0","86.6","137.0","112.3 ب. الايرادات غير الضريبية",NA
"26","",NA,"314.6","294.7","","20.0","86.5","96.5","ايرادات الرسوم غير الضريبية المحلية111.7.1",NA
"27","",NA,"1.5","1.5","","0.0","0.2","0.7","0.5 ضرائب التسجيل المدني",NA
"28","",NA,"27.4","23.2","","4.1","6.5","7.9","8.8 رسوم خدمات صحية",NA
"29","",NA,"80.7","67.0","","13.7","16.0","20.3","30.8 رسوم تأمين صحي",NA
"30","",NA,"31.6","31.4","","0.2","6.7","12.1","12.5 رسوم المواصلات",NA
"31","",NA,"1.3","1.3","","0.0","0.3","0.6","0.4 رسوم الحكم المحلي",NA
"32","",NA,"3.5","3.4","","0.1","0.8","1.3","1.3 رسوم وزارة الاقتصاد",NA
"33","",NA,"1.2","1.1","","0.0","0.2","0.4","0.5 رسوم المحاكم الشرعية",NA
"34","",NA,"19.7","19.5","","0.3","4.6","8.8","6.1 رسوم سلطة الأراضي",NA
"35","",NA,"1.4","1.4","","0.0","0.0","1.4","0.0 وزارة الاسكان",NA
"36","",NA,"1.9","1.4","","0.4","0.5","0.5","0.4 رسوم وزارة الزراعة",NA
"37","",NA,"0.8","0.8","","0.0","0.1","0.3","0.3 رسوم السياحة",NA
"38","",NA,"13.5","13.5","","0.0","2.3","5.4","5.9 رسوم البريد والاتصالات",NA
"39","",NA,"3.1","3.0","","0.1","0.3","1.1","1.6 رسوم التربية والتعليم",NA
"40","",NA,"13.0","12.8","","0.2","2.3","5.2","5.2 رسوم مجلس القضاء الأعلى",NA
"41","",NA,"0.3","0.3","","0.0","0.1","0.1","0.1 رسوم خارجية",NA
"42","",NA,"0.9","0.9","","0.1","0.3","0.3","0.3 رخص مزاولة المهنة",NA
"43","",NA,"112.9","112.2","","0.7","45.3","30.0","37.0 أخرى",NA
"44","",NA,"0.0","0.0","","0.0","0.0","0.0","0.0 رسوم تدريب",NA
"45","",NA,"41.2","41.2","","0.0","0.1","40.6","0.5  عوائد استثمارية",0.3
