"","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","Budget","Actual.as"
"1","",NA,"Jan","Feb","Mar","Apr","Q1","Jan‐Apr",NA,""
"2","",NA,"","","","","","",2020,"% of Budget"
"3","Total Net Revenue",NA,"1263.5","1201.1","902.1","765.2","3366.7","4131.8",NA,""
"4","Gross Domestic Revenue",NA,"597.7","506.5","243.5","127.3","1347.7","1475.0",NA,""
"5","Tax Revenue",NA,"376.2","339.3","146.0","106.7","861.4","968.2",NA,""
"6","Nontax Revenue",NA,"112.3","137.0","86.6","20.0","335.9","355.8",NA,""
"7","Earmarked Collections (1)",NA,"109.2","30.2","10.9","0.6","150.4","151.0",NA,""
"8","Clearance Revenue",NA,"700.5","746.1","717.7","649.8","2164.3","2814.2",NA,""
"9","Tax Refunds (‐)",NA,"34.7","51.5","59.1","12.0","145.3","157.3",NA,""
"10","Fuel",NA,"30.0","50.0","25.0","12.0","105.0","117.0",NA,""
"11","Other (2)",NA,"4.7","1.5","34.1","0.0","40.3","40.3",NA,""
"12","Total Expenditure & Net lending",NA,"1009.0","1198.8","1151.3","1294.7","3359.1","4653.8",NA,""
"13","Wages and salaries",221,"533.2","568.4","563.9","570.3","1665.5","2235.8",NA,""
"14","Gov. Social contributions",222,"55.2","55.1","54.9","55.0","165.3","220.3",NA,""
"15","Use of goods and services",231,"25.8","94.5","95.2","89.2","215.5","304.7",NA,""
"16","Transfers",232,"160.9","321.4","329.6","459.7","812.0","1271.6",NA,""
"17","Minor capital",233,"0.0","0.2","0.3","7.8","0.6","8.3",NA,""
"18","Interest",NA,"18.1","5.6","1.8","25.7","25.5","51.2",NA,""
"19","Domestic",NA,"18.1","5.6","0.7","22.9","24.3","47.2",NA,""
"20","External",NA,"0.0","0.0","1.1","2.8","1.1","4.0",NA,""
"21","Net lending  (3)",NA,"106.7","123.2","94.6","86.4","324.5","410.9",NA,""
"22","Earmarked Payments (1)",NA,"109.2","30.2","10.9","0.6","150.4","151.0",NA,""
"23","Property Tax",NA,"87.4","16.4","2.2","0.1","106.1","106.2",NA,""
"24","Transportation Fees",NA,"12.5","12.1","6.7","0.2","31.4","31.6",NA,""
"25","others",NA,"9.3","1.7","1.9","0.3","12.9","13.2",NA,""
"26","Current Balance",NA,"254.4","2.3","‐249.2","‐529.5","7.6","‐522.0",NA,""
"27","Development Expenditure",NA,"6.3","65.3","76.4","46.9","148.0","194.9",NA,""
"28","Balance",NA,"248.1","‐63.0","‐325.5","‐576.4","‐140.4","‐716.9",NA,""
"29","Financing",NA,"‐248.1","63.0","325.5","576.4","140.4","716.9",NA,""
"30","External Budgetary Support",NA,"0.0","138.4","108.1","194.3","246.5","440.7",NA,""
"31","Development Financing",NA,"2.1","12.3","17.6","54.1","32.1","86.1",NA,""
"32","Net Domestic Bank Financing (4)",NA,"‐389.2","‐108.6","38.7","‐289.6","‐459.2","‐748.8",NA,""
"33","Expenditure Arrears (Net Accumulation) (5)",NA,"225.5","155.1","153.3","169.2","533.9","703.1",NA,""
"34","Clearance Revenue Withheld (6)",NA,"41.9","41.9","‐76.6","‐500.2","7.2","‐493.0",NA,""
"35","Tax Refunds  (Arrears)",NA,"2.9","0.5","27.5","0.0","30.9","30.9",NA,""
"36","G&S and Dev. Arrears Payments  (stock) (7)",NA,"‐46.9","‐98.5","‐94.0","‐50.5","‐239.5","‐290.0",NA,""
"37","Residual",NA,"‐0.7","5.7","‐2.2","‐1.2","2.9","1.7",NA,""
"38","Budget Exchange Rate (NIS/USD)",NA,"","","","","","",NA,""
"39","Actual Exchange Rate (NIS/USD)",NA,"3.46","3.44","3.54","3.54","3.48","3.49",NA,""
