"","X","Total","Wages.and","Social","Use.of.goods","Interest","X.1","Transfer","Minor.Capital","Development"
"1","","Expenditure","salaries","contributions","and services","payments",NA,"Expenditure","Expenditure","Expenditure"
"2","5. Environmental protection","1,236","864","102","77","0",NA,"0","0","194"
"3","Environmental Quality Authority","1,236","864","102","77","‐",NA,"‐","‐","194"
"4","6. Housing and community amenities","16,635","7,553","603","1,091","0",NA,"0","0","7,387"
"5","Ministry of Public Works and Housing","6,173","2,914","301","185","‐",NA,"‐","‐","2,772"
"6","Land Authority","1,794","1,534","140","120","‐",NA,"‐","‐","‐"
"7","Palestinian Water Authority","6,730","1,266","115","735","‐",NA,"‐","‐","4,614"
"8","Form of Land & Water  intercession","1,938","1,838","47","51","‐",NA,"‐","‐","2"
"9","7. Health","100,197","55,435","5,083","30,965","0",NA,"0","7,645","1,069"
"10","Ministry of Health","100,197","55,435","5,083","30,965","‐",NA,"‐","7,645","1,069"
"11","8. Recreation, culture, and religion","25,584","18,622","1,900","2,820","0",NA,"0","0","2,242"
"12","Higher Council For Youth And Sports","2,654","2,072","215","368","‐",NA,"‐","‐","‐"
"13","Ministry of Culture","1,368","923","103","86","‐",NA,"‐","‐","255"
"14","Ministry of Information","550","473","48","29","‐",NA,"‐","‐","‐"
"15","Palestinian Broadcasting Corporation","6,974","4,719","447","1 ,808","‐",NA,"‐","‐","‐"
"16","The Palestinian News Agency ‐ WAFA","1,168","957","110","101","‐",NA,"‐","‐","‐"
"17","Al‐Hayat Al‐Jadida Press","2,478","341","24","127","‐",NA,"‐","‐","1,986"
"18","The Ministry of Awqaf and Religious Affairs","9,976","8,777","925","275","‐",NA,"‐","‐","‐"
"19","Dar Al Fatwa and Islamic Research","416","360","28","27","‐",NA,"‐","‐","‐"
"20","9. Education","234,351","189,714","18,316","8,808","0",NA,"600","0","16,913"
"21","Ministry of Education","225,274","183,509","17,674","8 ,421","‐",NA,"‐","‐","15,670"
"22","Ministry of Higher Education and Scientific Research","9,076","6,205","642","387","‐",NA,"600","‐","1,242"
"23","10. Social protection","395,272","4,454","481","499","0",NA,"389,550","0","287"
"24","Ministry of Social Affairs","208,585","4,083","448","333","‐",NA,"203,435","‐","287"
"25","Ministry of Women's Affairs","552","352","33","167","‐",NA,"‐","‐","‐"
"26","Retirees Pension Allowances","186,135","20","‐","‐","‐",NA,"186,115","‐","‐"
"27","Totals","1,254,604","570,311","55,026","89,201","25,710",NA,"459,661","7,776","46,919"
