"","Social.Affairs","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7"
"1","Ministry of Education","225,274","1 83,509","17,674","8 ,421","‐","‐","‐","1 5,670"
"2","Ministry of Higher Education and Scientific Research","9,076","6,205","6 42","3 87","‐","600","‐","1 ,242"
"3","Ministry of Health","100,197","5 5,435","5 ,083","30,965","‐","‐","7,645","1 ,069"
"4","Ministry of Women's Affairs","552","352","33","1 67","‐","‐","‐","‐"
"5","Ministry of Social Affairs","208,585","4,083","4 48","3 33","‐","203,435","‐","287"
"6","Ministry of Information","550","473","48","29","‐","‐","‐","‐"
"7","Palestinian Broadcasting Corporation","6,974","4,719","4 47","1 ,808","‐","‐","‐","‐"
"8","The Palestinian News Agency ‐ WAFA","1,168","957","1 10","1 01","‐","‐","‐","‐"
"9","Al‐Hayat Al‐Jadida Press","2,478","341","24","1 27","‐","‐","‐","1 ,986"
"10","Higher Council For Youth And Sports","2,654","2,072","2 15","3 68","‐","‐","‐","‐"
"11","Ministry of Culture","1,368","923","1 03","86","‐","‐","‐","255"
"12","Dar Al Fatwa and Islamic Research","416","360","28","27","‐","‐","‐","‐"
"13","The Ministry of Awqaf and Religious Affairs","9,976","8,777","9 25","2 75","‐","‐","‐","‐"
"14","Ministry of Labor","3,104","2,679","2 60","1 65","‐","‐","‐","‐"
"15","Leadership and mastery","100","‐","‐","1 00","‐","‐","‐","‐"
"16","Total","572,472","270,885","26,040","43,357","‐","2 04,035","7 ,645","20,511"
"17","Grand Total","1 ,254,604","570,311","55,026","89,201","2 5,710","4 59,661","7 ,776","46,919"
