"","�.س�.�..�.�.�.ع�.ي.�.�.","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7"
"1","الموازنة 2020الموازنةكانون ثاني","كانون ثاني - نيسان","الربع الأول","نيسان","آذار","شباط",NA,NA,""
"2","","4131.8","3366.7","765.2","902.1","1201.1",1263.5,NA,"اجمالي صافي الايرادات"
"3","","1475.0","1347.7","127.3","243.5","506.5",597.7,NA,"اجمالي الايرادات المحلية"
"4","","968.2","861.4","106.7","146.0","339.3",376.2,NA,"الايرادات الضريبية"
"5","","355.8","335.9","20.0","86.6","137.0",112.3,NA,"الايرادات غير الضريبية"
"6","","151.0","150.4","0.6","10.9","30.2",109.2,NA,"تحصيلات مخصصة  *(1)"
"7","","2814.2","2164.3","649.8","717.7","746.1",700.5,NA,"اجمالي ايرادات المقاصة"
"8","","157.3","145.3","12.0","59.1","51.5",34.7,NA,"الارجاعات الضريبية  (-)"
"9","","117.0","105.0","12.0","25.0","50.0",30,NA,"الوقود"
"10","","40.3","40.3","0.0","34.1","1.5",4.7,NA,"أخرى  (2)"
"11","","4653.8","3359.1","1294.7","1151.3","1198.8",1009,NA,"اجمالي النفقات و صافي الاقراض"
"12","","2235.8","1665.5","570.3","563.9","568.4",533.2,221,"النفقات و الأجور"
"13","","220.3","165.3","55.0","54.9","55.1",55.2,222,"مساهمات اجتماعية  ) الحكومة("
"14","","304.7","215.5","89.2","95.2","94.5",25.8,231,"استخدام السلع والخدمات"
"15","","1271.6","812.0","459.7","329.6","321.4",160.9,232,"نفقات تحويلية"
"16","","8.3","0.6","7.8","0.3","0.2",0,233,"نفقات رأسمالية"
"17","","51.2","25.5","25.7","1.8","5.6",18.1,NA,"الفائدة"
"18","","47.2","24.3","22.9","0.7","5.6",18.1,NA,"محلي"
"19","","4.0","1.1","2.8","1.1","0.0",0,NA,"خارجي"
"20","","410.9","324.5","86.4","94.6","123.2",106.7,NA,"(3)صافي الاقراض"
"21","","151.0","150.4","0.6","10.9","30.2",109.2,NA,"مدفوعات مخصصة (1)"
"22","","106.2","106.1","0.1","2.2","16.4",87.4,NA,"ضريبة الاملاك"
"23","","31.6","31.4","0.2","6.7","12.1",12.5,NA,"النقل على الطرق"
"24","","13.2","12.9","0.3","1.9","1.7",9.3,NA,"أخرى"
"25","","-522.0","7.6","-529.5","-249.2","2.3",254.4,NA,"الرصيد الحالي"
"26","","194.9","148.0","46.9","76.4","65.3",6.3,NA,"النفقات التطويرية"
"27","","-716.9","-140.4","-576.4","-325.5","-63.0",248.1,NA,"الرصيد"
"28","","716.9","140.4","576.4","325.5","63.0",-248.1,NA,"مصادر التمويل"
"29","","440.7","246.5","194.3","108.1","138.4",0,NA,"الدعم الخارجي للموازنة"
"30","","86.1","32.1","54.1","17.6","12.3",2.1,NA,"التمويل التطويري"
"31","","-748.8","-459.2","-289.6","38.7","-108.6",-389.2,NA,"صافي التمويل من البنوك المحلية (4)"
"32","","703.1","533.9","169.2","153.3","155.1",225.5,NA,"متأخرات النفقات ) الصافي التراكمي  (5)("
"33","","-493.0","7.2","-500.2","-76.6","41.9",41.9,NA,"(6)تعديل ايرادات المقاصة"
"34","","30.9","30.9","0.0","27.5","0.5",2.9,NA,"الارجاعات الضريبية ) متأخرات("
"35","","-290.0","-239.5","-50.5","-94.0","-98.5",-46.9,NA,"متأخرات السلع والخدمات والتطويري  (7)"
"36","","1.7","2.9","-1.2","-2.2","5.7",-0.7,NA,"الرصيد المتبقي"
"37","","","","","","",NA,NA,"سعر الدولار، الموازنة"
"38","","3.49","3.48","3.54","3.54","3.44",3.46,NA,"سعر الدولار، فعلي )معدل شهري("
