"","X","Total","Wages.and","Social","Use.of.goods","Interest","Transfer","Minor.Capital","Development"
"1","","Expenditure","salaries","contributions","and services","payments","Expenditure","Expenditure","Expenditure"
"2","1. General public services","194,369","47,177","3,342","25,490","29,067","70,056","465","18,772"
"3","President's Office","10,245","7,048","710","2,454","-","-","33","-"
"4","P.L.O. Institutions","70,900","9,730","462","10,047","-","49,552","93","1,017"
"5","Legislative Council","1,262","969","108","93","-","92","-","-"
"6","Ministers' Council","1,470","503","3 8","773","-","-","106","50"
"7","General Secretariat for the council of ministers","1,227","833","8 9","306","-","-","-","-"
"8","Office of the Deputy Prime Minister","70","22","1","47","-","-","-","-"
"9","State Audit & Administrative Control Bureau","1,089","755","8 6","248","-","-","-","-"
"10","Ministry of Local Government","16,946","1,845","184","532","-","2,969","-","11,415"
"11","Ministry of Finance & Planning","17,430","5,995","533","1,617","-","8,153","39","1,094"
"12","Ministry of Foreign Affairs","5,472","4,755","314","401","-","-","3","-"
"13","Embassies","13,416","6,562","-","5,550","-","1,147","158","-"
"14","Negotiations Affairs Department","176","112","1 2","52","-","-","-","-"
"15","General Personnel Office","5,721","4,695","553","433","-","-","34","6"
"16","Palestinian Central Bureau of Statistics","2,262","1,080","120","508","-","-","-","553"
"17","Ministry of Jerusalem Affairs","7,262","842","1 4","44","-","4,437","-","1,926"
"18","General Authority for crossings and borders","5,235","1,157","9 1","1,409","-","-","-","2,578"
"19","Non Governmental Organization","1,483","275","2 8","60","-","1,120","-","-"
"20","Central Election Committee","1,049","-","-","917","-","-","-","132"
"21","General Expenditures","941","-","-","-","-","941","-","-"
"22","Public Debt Interest Payments","29,067","-","-","-","29,067","-","-","-"
"23","Financial Reserves","1,644","-","-","-","-","1,644","-","-"
"24","Leadership and mastery","0","-","-","-","-","-","-","-"
"25","2. Defense","0","-","-","-","-","-","-","-"
"26","3. Public order and safety","299,475","213,193","23,408","52,975","0","0","486","9,411"
"27","Ministry of Interior and National Security","283,319","200,966","22,122","50,519","-","-","422","9,290"
"28","Ministry of Justice","4,878","3,714","416","716","-","-","0","32"
"29","Supreme Judge Department","2,236","1,734","169","333","-","-","-","-"
"30","High Judicial Council","8,393","6,370","685","1,271","-","-","65","2"
"31","The Supreme Constitutional Court","488","362","1 1","115","-","-","-","-"
"32","Supreme Council for Public Procurement Policies","160","48","4","20","-","-","-","87"
"33","4. Economic affairs","41,635","18,822","1,834","3,709","0","7,662","207","9,402"
"34","Ministry of National Economy","3,710","2,939","341","430","-","-","-","-"
"35","Specifications and Standards Office","1,123","615","6 0","159","-","-","178","111"
"36","Ministry of Agriculture","7,993","5,718","517","1,176","-","-","-","582"
"37","Ministry of Energy and Natural Resources","13,154","309","2 7","188","-","7,662","-","4,968"
"38","Ministry of Transportation","3,486","2,825","276","385","-","-","-","-"
"39","Ministry of Communications and Information Technology","2,877","2,170","191","517","-","-","-","-"
"40","Ministry of Tourism and Antiquities","5,280","1,261","109","280","-","-","4","3,626"
"41","Ministry of Labor","3,428","2,557","264","492","-","-","2","115"
"42","General Authority for Investment Promotion","214","156","1 7","38","-","-","2","-"
"43","Industrial Zones Board","370","274","3 1","45","-","-","21","-"
