"","X","X.1","X.2","Social","Use.of.goods","Interest","X.3","Transfer","Minor.Capital","Development"
"1","","Total Expenditure","Wages and salaries","","","",NA,"","",""
"2","","","","contributions","and services","payments",NA,"Expenditure","Expenditure","Expenditure"
"3","Governance Sector","","","","","",NA,"","",""
"4","President's Office","76,559","5 6,162","5,730","1 4,111","-",NA,"-","232","323"
"5","P.L.O. Institutions","5 50,479","7 9,939","3,725","7 2,200","-",NA,"3 89,525","104","4,985"
"6","Legislative Council","9,221","7,010","779","692","-",NA,"739","-","-"
"7","Ministers' Council","10,107","4,220","308","3,240","-",NA,"-","299","2,040"
"8","General Secretariat for the council of ministers","8,967","6,807","721","1,433","-",NA,"-","5","-"
"9","Office of the Deputy Prime Minister","386","205","4","176","-",NA,"-","-","-"
"10","State Audit & Administrative Control Bureau","8,009","6,077","691","1,241","-",NA,"-","-","-"
"11","General Personnel Office","44,887","3 8,001","4,445","2,381","-",NA,"-","4 7","1 3"
"12","Ministry of Finance & Planning","1 06,340","4 8,024","4,307","9,085","-",NA,"3 8,822","710","5,392"
"13","Ministry of Jerusalem Affairs","29,203","6,543","116","225","-",NA,"1 6,306","-","6,014"
"14","Non Governmental Organization","19,313","2,244","226","379","-",NA,"1 6,465","-","-"
"15","Retirees Pension Allowances","1,378,911","162","-","-","-",NA,"1 ,378,749","-","-"
"16","Public Debt Interest Payments","1 25,850","-","-","-","1 25,850",NA,"-","-","-"
"17","General Expenditures","5,559","-","-","-","-",NA,"5,559","-","-"
"18","Financial Reserves","12,658","-","-","-","-",NA,"1 2,658","-","-"
"19","General Authority for crossings and borders","66,282","1 0,037","729","2 1,828","-",NA,"-","529","3 3,160"
"20","Negotiations Affairs Department","1,246","880","9 1","275","-",NA,"-","-","-"
"21","Embassies","1 11,438","5 5,345","-","4 8,525","-",NA,"6,757","812","-"
"22","Central Election Committee","9,598","-","-","8,103","-",NA,"-","-","1,495"
"23","Ministry of Interior and National Security","2,109,559","1 ,652,844","1 76,710","2 00,450","-",NA,"-","1,305","7 8,250"
"24","Ministry of Justice","38,234","3 0,181","3,355","4,283","-",NA,"-","2","413"
"25","High Judicial Council","65,458","5 0,331","5,484","8,819","-",NA,"-","124","699"
"26","Ministry of Foreign Affairs","43,349","3 8,464","2,665","1,935","-",NA,"-","2 5","261"
"27","Supreme Judge Department","17,638","1 4,192","1,364","1,753","-",NA,"-","-","329"
"28","Supreme Council for Public Procurement Policies","1,395","383","3 4","9 5","-",NA,"-","-","883"
"29","The Supreme Constitutional Court","3,470","2,937","9 1","442","-",NA,"-","-","-"
"30","Total","4 ,854,117","2 ,110,990","211,575","401,671","125,850",NA,"1 ,865,579","4 ,194","134,257"
"31","Infrastructure Sector","","","","","",NA,"","",""
"32","Palestinian Water Authority","75,802","1 0,493","916","1 2,309","-",NA,"-","5","5 2,079"
"33","Ministry of Energy and Natural Resources","41,223","2,463","217","733","-",NA,"1 9,255","-","1 8,555"
"34","Ministry of Transportation","28,560","2 2,508","2,227","3,690","-",NA,"-","-","136"
"35","Ministry of Communications and Information Technol","27,788","1 7,325","1,543","8,420","-",NA,"-","-","500"
"36","Ministry of Public Works and Housing","58,174","2 3,734","2,408","2,805","-",NA,"-","101","2 9,127"
"37","Ministry of Local Government","78,799","1 4,794","1,456","2,330","-",NA,"1 0,524","3","4 9,691"
"38","Environmental Quality Authority","9,771","6,984","829","709","-",NA,"-","2 4","1,224"
"39","Total","3 20,117","9 8,301","9 ,595","3 0,997","-",NA,"2 9,778","1 34","151,311"
"40","Economic Affairs","","","","","",NA,"","",""
"41","Palestinian Central Bureau of Statistics","19,427","8,531","950","3,496","-",NA,"-","-","6,450"
"42","Ministry of Tourism and Antiquities","19,621","1 0,072","867","2,031","-",NA,"-","3 3","6,618"
"43","Land Authority","15,447","1 2,049","1,116","1,959","-",NA,"-","1 1","312"
"44","Ministry of National Economy","28,940","2 4,034","2,763","2,142","-",NA,"-","-","-"
"45","Industrial Zones Board","2,878","2,227","256","238","-",NA,"-","2 1","136"
"46","Specifications and Standards Office","6,965","4,958","488","913","-",NA,"-","178","429"
"47","General Authority for Investment Promotion","1,651","1,231","140","267","-",NA,"-","1 4","-"
"48","Ministry of Agriculture","72,407","4 6,415","4,177","6,550","-",NA,"-","-","1 5,266"
"49","Form of Land & Water  intercession","16,674","1 0,189","375","692","-",NA,"-","0","5,419"
"50","Total","1 84,010","119,706","1 1,131","1 8,287","-",NA,"-","2 57","3 4,629"
