"","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","�.�.�.�.�.�..�.�.�.�.�.�.ي�."
"1","-","-","-","-","77","450","1 05","632","دائرة شؤون المفاوضا ت"
"2","-","698","1,195","-","8,393","-","9,81 5","20,101","السفارات"
"3","-","168","-","-","1,490","4,920","4 ,976","11,5 53","وزارة الشؤون الخارج ية"
"4","-","866","1,195","-","9,960","5,370","14 ,895","32,2 86","مجموع"
"5","","","","","","","","","التنمية الاقتصادية"
"6","47","-","-","-","1,022","317","2,8 72","4,2 59","وزارة الاقتصاد الوطن ي"
"7","978","33","-","-","379","170","2 55","1,815","الهيئة العامة للمدن ال صناعية"
"8","12","310","-","-","522","16","58 4","1,443","مؤسسة المواصفات و  المقاييس"
"9","125","39","-","-","119","578","1 60","1,020","الهيئة العامة لتشجيع الاستثمار"
"10","9,899","319","4,731","-","285","32","25 8","15,525","وزارة الطاقة والموارد  الطبيعية"
"11","32,889","135","-","-","1,118","384","2,7 63","37,2 89","وزارة الأشغال العامة  و الاسكان"
"12","10,208","483","71","-","4,356","1,128","5 ,516","21,762","وزارة الزراعة"
"13","64","22","-","-","561","30","80 0","1,477","سلطة جودة البيئة"
"14","54,223","1,340","4,802","-","8,361","2,656","13 ,209","84,5 90","مجموع"
"15","","","","","","","","","الخدمات الاجتماعية"
"16","110,159","38","10,957","-","38,883","529","176,1 55","336, 720","وزارة التربية و التعل يم العالي"
"17","3,199","2,694","-","-","147,068","48","53,14 5","206 ,154","وزارة الصحة"
"18","823","322","185,996","-","1,589","338","3,9 57","193,0 24","وزارة الشؤون الاجتما عية"
"19","-","461","43,063","-","1,535","17,989","1,532","64,5 79","وزارة شؤون الأسرى و المحررين"
"20","802","55","-","-","437","215","3 04","1,813","وزارة شؤون المرأة"
"21","241","121","-","-","1,377","178","2,5 07","4,4 23","وزارة العمل"
"22","115,224","3,690","240,015","-","190,888","19,297","23 7,598","806 ,712","مجموع"
"23","","","","","","","","","الخدمات الثقافية و الاعلامية"
"24","-","94","-","-","209","399","4 35","1,137","وزارة الاعلام"
"25","667","88","-","-","1,051","274","1,0 83","3,1 63","وزارة السياحة و الآث ار"
"26","7,004","400","-","-","17,616","87","1,97 7","27, 085","وزارة الشباب و الريا ضة"
"27","377","157","-","-","2,349","187","8 98","3,9 68","وزارة الثقافة"
"28","-","637","-","-","9,323","115","4,4 29","14,505","هيئة الاذاعة و التلفزيو ن الفلسطيني"
"29","1,294","109","-","-","566","121","9 69","3,059","وكالة الأنباء الفلسطيني ة - وفا"
"30","-","18","-","-","538","25","34 6","927","دار الحياة الجديدة لل صحافة و الطباعة و النش ر"
"31","9,341","1,503","-","-","31,651","1,209","10 ,138","53, 843","مجموع"
"32","","","","","","","","","خدمات النقل و الاتصالات"
"33","541","77","-","-","1,668","31","2,76 4","5,080","وزارة المواصلات"
"34","14,691","259","-","-","1,473","106","2,0 65","18,5 93","وزارة الاتصالات و ت كنولوجيا المعلومات"
"35","15,232","335","-","-","3,140","137","4,8 29","23,6 73","مجموع"
