"","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","�.�.�.�.�.�..�.�.�.�.�.�.ي�.","Foreign.Affairs"
"1","-","35","-","-","547","5,206","1,316","7,105","دائرة شؤون المفاوضا ت",""
"2","-","7,933","14,390","-","96,037","-","114,805","23 3,165","السفارات",""
"3","-","246","-","-","4,544","57,603","53,035","11 5,429","وزارة الشؤون الخارجي ة",""
"4","-","8,215","14,390","-","101,128","62,810","169,156","3 55,699","مجموع","Total"
"5","","","","","","","","","التنميةالاقتصادية","Economic Development"
"6","571","0","-","-","4,509","3,783","35,955","4 4,819","وزارة الاقتصاد الوطني",""
"7","7,332","37","-","-","732","1,987","2,923","1 3,012","الهيئة العامة للمدن الصناع ية",""
"8","128","839","-","-","1,659","97","7,143","9,867","مؤسسة المواصفات و ال مقاييس",""
"9","281","44","-","-","887","7,001","1,997","1 0,209","الهيئة العامة لتشجيع الا ستثمار",""
"10","57,346","355","19,093","-","1,106","361","3,120","8 1,382","وزارة الطاقة والموارد الطبي عية",""
"11","72,250","159","-","-","5,461","4,376","35,791","11 8,037","وزارة الأشغال العامة و الاس كان",""
"12","67,331","914","71","-","16,787","13,249","68,738","16 7,090","وزارة الزراعة",""
"13","357","75","-","-","1,649","340","9,895","1 2,316","سلطة جودة البيئة",""
"14","205,596","2,424","19,164","-","32,790","31,194","165,562","4 56,730","مجموع","Total"
"15","","","","","","","","","الخدمات الاجتماعية","Social Services"
"16","304,386","627","54,137","-","198,625","6,353","2,125,231","2,68 9,358","وزارة التربية و التعليم العالي",""
"17","33,420","4,740","-","-","1,014,145","560","630,792","1,68 3,657","وزارة الصحة",""
"18","6,363","392","1,251,652","-","8,497","4,005","47,123","1,31 8,032","وزارة الشؤون الاجتماعية",""
"19","-","543","502,697","-","3,694","210,822","18,974","73 6,729","وزارة شؤون الأسرى  و المحررين",""
"20","1,326","128","-","-","2,121","2,493","4,049","1 0,116","وزارة شؤون المرأة",""
"21","841","204","-","-","5,475","2,134","30,423","3 9,077","وزارة العمل",""
"22","346,335","6,634","1,808,486","-","1,232,557","226,367","2,856,592","6,4 76,969","مجموع","Total"
"23","","","","","","","","","الخدمات الثقافية و الاعلامية","Cultural and Information Services"
"24","-","142","-","-","1,606","4,641","5,410","1 1,799","وزارة الاعلام",""
"25","4,587","293","-","-","6,291","3,586","13,743","2 8,500","وزارة السياحة و الآثار",""
"26","17,501","776","-","-","38,974","1,028","24,253","8 2,533","وزارة الشباب و الرياضة",""
"27","3,449","185","-","-","5,729","2,245","11,026","2 2,633","وزارة الثقافة",""
"28","2,773","9,280","-","-","57,359","1,357","54,278","12 5,047","هيئة الاذاعة و التلفزيون ال فلسطيني",""
"29","2,365","125","-","-","2,071","1,439","11,696","1 7,696","وكالة الأنباء الفلسطينية -  وفا",""
"30","-","27","-","-","1,476","280","2,168","3,951","دار الحياة الجديدة للص حافة و الطباعة و النشر",""
"31","30,675","10,829","-","-","113,506","14,576","122,574","2 92,160","مجموع","Total"
"32","","","","","","","","","خدماتالنقلوالاتصالات","Transport and Communication Services"
"33","2,089","78","-","-","7,223","374","35,306","4 5,069","وزارة المواصلات",""
"34","16,983","350","-","-","5,307","1,237","25,500","4 9,378","وزارة الاتصالات و تكنولو جيا المعلومات",""
"35","19,072","428","-","-","12,530","1,611","60,806","94,447","مجموع","Total"
"36","1,297,857","51,499","4,067,766","231,047","2,185,348","600,802","6,423,506","14,857,826","المجموع الكلي","Grand Total"
