"","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","�.�.�.�.�.�.ت.�.�.�.�.ت�.�.عي�."
"1","38,371","63","7,213","-","40,015","36,701","368,879","491,244","وزارة التربية و التعليم الع الي"
"2","6,870","1,272","-","-","148,908","10,341","116,595","283,986","وزارة الصحة"
"3","765","123","258,480","-","1,261","892","8,314","269,835","وزارة الشؤون الاجتماعية"
"4","-","15","76,020","-","558","373","3,337","80,301","هيئة شؤون الأسرى و الم حررين"
"5","106","-","-","-","1,001","65","641","1,811","وزارة شؤون المرأة"
"6","351","271","-","-","1,736","526","5,279","8,164","وزارة العمل"
"7","46,463","1,744","341,713","-","193,479","48,897","503,045","1,135,341","مجموع"
"8","","","","","","","","","الخدمات الثقافية و الاعلامية"
"9","-","-","-","-","676","97","984","1,757","وزارة الاعلام"
"10","-","1,940","-","-","13,296","897","10,097","26,229","وزارة السياحة و الآثار"
"11","293","3","-","-","477","225","1,971","2,969","المجلس الأعلى للشباب  و الرياضة"
"12","-","-","-","-","345","47","726","1,118","وزارة الثقافة"
"13","4,441","18","-","-","924","216","2,538","8,137","هيئة الاذاعة و التلفزيون ا لفلسطيني"
"14","2,233","2,104","-","-","9,902","452","4,588","19,279","وكالة الأنباء الفلسطينية - وفا"
"15","659","3","-","-","1,533","207","1,860","4,263","دار الحياة الجديدة للصح افة و الطباعة و النشر"
"16","7,626","4,068","-","-","27,152","2,141","22,764","63,752","مجموع"
"17","","","","","","","","","خدمات النقل و الاتصالات"
"18","-","144","-","-","1,281","571","5,780","7,775","وزارة المواصلات"
"19","99","66","-","-","1,692","401","4,422","6,680","وزارة الاتصالات و تكنول وجيا المعلومات"
