"","X1.088","X.","X..1","X20.162","X9.404","X77.038","X158.420","X158.420.1","�.ز�.�.�..�.�.ز�.�.ع�."
"1","51","-","-","1,587","897","11,370","14,706","14,706","سلطة جودة البيئة"
"2","1,888","42,726","-","38,345","23,134","185,178","434,928","434,928","مجموع"
"3","","","","","","","","","الخدمات الاجتماعية"
"4","206","38,922","-","241,977","167,078","2,413,007","3,161,397","3,161,397","وزارة التربية و التعليم ال عالي"
"5","9,647","-","-","930,129","46,066","730,590","1,784,499","1,784,499","وزارة الصحة"
"6","992","1,168,883","-","8,839","5,358","53,402","1,243,499","1,243,499","وزارة الشؤون الاجتماعية"
"7","97","517,435","-","3,680","76,373","21,541","619,127","619,127","هيئة شؤون الأسرى و الم حررين"
"8","1","-","-","3,157","1,146","4,121","9,459","9,459","وزارة شؤون المرأة"
"9","558","-","-","7,031","3,093","34,528","46,796","46,796","وزارة العمل"
"10","11,503","1,725,240","-","1,194,814","299,115","3,257,190","6,864,779","6,864,779","مجموع"
"11","","","","","","","","","الخدمات الثقافية و الاعلامية"
"12","-","-","-","2,137","2,007","6,316","10,460","10,460","وزارة الاعلام"
"13","2,126","-","-","20,241","2,780","23,816","58,890","58,890","وزارة السياحة و ا لآثار"
"14","2,148","-","-","28,596","2,097","25,820","68,402","68,402","المجلس الأعلى للشب اب و الرياضة"
"15","6","-","-","4,141","1,530","11,069","21,909","21,909","وزارة الثقافة"
"16","5,777","-","-","61,903","45,422","54,565","172,108","172,108","هيئة الاذاعة و التلف زيون الفلسطيني"
"17","2,138","-","-","12,090","1,750","15,728","36,214","36,214","وكالة الأنباء الفلسط ينية - وفا"
"18","8,028","-","-","3,328","471","6,176","19,039","19,039","دار الحياة الجديدة لل صحافة و الطباعة و النشر"
"19","20,224","-","-","132,438","56,056","143,490","387,023","387,023","مجموع"
"20","","","","","","","","","خدمات النقل و الاتصالات"
"21","156","-","-","7,906","2,634","37,646","50,147","50,147","وزارة المواصلات"
"22","80","-","-","6,414","2,200","28,504","56,344","56,344","وزارة الاتصالات  و تكنولوجيا المعلومات"
"23","236","-","-","14,321","4,835","66,149","106,492","106,492","مجموع"
