"","X","X.1","X.2","X.3","X.4","X.5","�.�.�.�.�.ت�..�.","X.6","X.7","X.8"
"1","النفقات التطويرية","النفقات الرأسمالية","النفقات التحويلية","دفعات الفائدة","السلع و الخدمات","مساهمات اجتماعية","","اجمالي النفقات","",NA
"2","","","","","","","الأجور","","",NA
"3","277,396","8,614","907,226","192,413","395,460","40,386","647,106","2,468,602","خدمات عامة",1
"4","7,824","1,237","-","-","32,851","8,552","84,381","134,845","مكتب الرئيس",NA
"5","30,914","209","673,879","-","150,532","5,562","149,541","1,010,637","م ؤسسات منظمة التح رير الفلسطينية",NA
"6","-","-","1,096","-","1,031","1,172","10,513","13,812","المجلس التشريعي",NA
"7","2,248","840","-","-","5,471","457","6,459","15,475","مجلس الوزراء",NA
"8","19","120","-","-","2,729","1,082","10,546","14,497","الأمانة العامة لمجل س الوزراء",NA
"9","-","1","-","-","325","6","340","673","مكتب نائب رئيس  الوزراء",NA
"10","16","51","-","-","2,068","1,034","9,124","12,293","ديوان الرقابة الادا رية و المالية",NA
"11","100,356","156","25,993","-","5,063","2,179","22,145","155,891","وزا رة الحكم المحلي",NA
"12","11,198","1,593","67,909","-","18,183","6,457","74,888","180,228","و زارة المالية و التخطي ط",NA
"13","2,199","59","-","-","3,850","3,910","57,662","67,680","وزارة الشؤون الخا رجية",NA
"14","-","3,132","15,313","-","104,023","-","12 1,572","244,040","السفارات",NA
"15","-","-","-","-","624","138","1,330","2,092","دائرة شؤون المفاو ضات",NA
"16","69","187","-","-","4,354","6,694","57,175","68,479","ديوان الموظفين العام",NA
"17","12,421","-","-","-","4,485","1,540","12,743","31,189","ال جهاز المركزي للا حصاء",NA
"18","18,132","85","41,009","-","940","169","9,918","7 0,253","و زارة شؤون القد س",NA
"19","81,400","894","-","-","41,693","1,098","15,368","140,453","ال هيئة العامة للمعابر و الحدود",NA
"20","-","-","34,186","-","891","333","3,354","3 8,765","المنظمات غير الحك ومية",NA
"21","10,206","-","-","-","15,675","-","-","25,881","لج نة الانتخابات الم ركزية",NA
"22","-","-","27,010","-","-","-","-","2 7,010","النفقات العامة",NA
"23","-","-","-","192,413","-","-","-","19 2,413","فوائد دفعات الدين ال عام",NA
"24","-","-","20,833","-","-","-","-","2 0,833","الاحتياطات المالية",NA
"25","394","49","-","-","674","3","46","1,165","الادارة و التمكين",NA
"26","-","-","-","-","-","-","-","-","الدفاع",0.2
"27","129,053","6,853","0","0","464,904","281,694","2,715,354","3,597,859","الأمن والنظام العام",0.3
"28","121,740","6,562","-","-","434,041","266,177","2,566,927","3,395,448","وزارة  الداخلية و الأمن ال وطني",NA
"29","891","31","-","-","8,558","5,034","45,587","60,101","وزارة العدل",NA
"30","1,516","49","-","-","3,233","2,035","21,188","28,021","مج لس القضاء الأعل ى",NA
"31","3,605","185","-","-","17,831","8,260","76,688","106,569","ديو ان قاضي القضاة",NA
"32","-","26","-","-","920","136","4,377","5,459","المحكمة الدستورية ال عليا",NA
"33","1,301","-","-","-","322","51","587","2,261","الم جلس الأعلى لسياسا ت المشتريات العامة",NA
"34","86,283","768","61,907","0","59,366","23,109","228,557","459,991","شؤون اقتصادية",0.4
"35","-","-","-","-","3,948","4,468","35,901","44,317","وزارة الاقتصاد الو طني",NA
"36","514","194","-","-","1,742","785","7,391","10,627","مؤسسة المواصفات  والمقاييس",NA
"37","44,306","100","4","-","18,376","6,756","69,472","139,014","و زارة الزراعة",NA
"38","22,077","29","61,903","-","1,595","325","3,797","89,727","و زارة الطاقة والمو ارد الطبيعية",NA
"39","1,586","12","-","-","8,276","3,329","34,155","47,357","وزارة النقل والموا صلات",NA
"40","4,855","196","-","-","14,278","2,295","25,972","47,596","وزارة الاتصالات و تكنولوجيا المعلومات",NA
"41","11,836","130","-","-","3,757","1,407","15,197","32,326","و زارة السياحة و الآث ار",NA
"42","973","50","-","-","6,058","3,110","31,501","41,693","وزارة العمل",NA
"43","-","16","-","-","544","224","1,840","2,625","الهيئة العامة لتشجي ع الاستثمار",NA
"44","136","41","-","-","791","411","3,330","4,709","الهيئة العامة للمدن الصناعية",NA
"45","1,787","31","0","0","1,382","1,220","10,480","14,901","حماية البيئة",0.5
"46","1,787","31","-","-","1,382","1,220","10,480","14,901","سلطة جودة البيئة",NA
"47","156,917","965","0","0","54,227","7,357","79,294","298,761","الاسكان",0.6
"48","51,360","254","-","-","5,640","3,587","35,548","96,388","و زارة الاسكان والأ شغال العامة",NA
"49","764","94","-","-","3,594","1,797","17,785","24,034","سلطة الأراضي",NA
"50","91,270","617","-","-","43,276","1,362","15,757","152,282","سل طة المياه",NA
"51","13,523","0","-","-","1,718","611","10,204","26,056","هي ئة تسوية المياه و الآراضي",NA
"52","65,203","73,191","0","0","958,690","62,102","687,332","1,846,518","الصحة",0.7
"53","65,203","73,191","-","-","958,690","62,102","687,332","1,846,518","و زارة الصحة",NA
"54","25,554","2,260","5,814","0","113,680","22,834","227,292","397,435","دين وثقافة",0.8
"55","3,185","72","5,814","-","20,458","2,558","25,743","57,832","وزارة الشباب و ال رياضة",NA
"56","2,510","88","-","-","5,710","1,231","11,137","20,676","وزارة الثقافة",NA
"57","-","-","-","-","1,382","574","5,658","7,613","وزارة الاعلام",NA
"58","-","1,912","-","-","76,494","5,366","58,993","142,765","هيئة الاذاعة والتلفزيو ن الفلسطينية",NA
"59","848","26","-","-","2,364","1,328","11,526","16,092","وكالة الأنباء الفلسط ينية - وفا",NA
"60","19,011","13","-","-","2,244","288","4,405","25,960","دار  الحياة الجديدة لل صحافة و الطباعة و النشر",NA
"61","-","72","-","-","3,518","11,143","105,286","120,020","وزارة الأوقاف وال شؤون الدينية",NA
"62","-","77","-","-","1,510","347","4,544","6,478","دار الفتوى والبحو ث الاسلامية",NA
"63","203,880","5","17,608","0","204,133","226,660","2,237,270","2,889,557","التعليم",0.9
"64","192,276","5","-","-","197,934","218,898","2,157,216","2,766,329","وزا رة التعليم",NA
