"","�.س�..�.�.�.�.�.�.ع�.ص�.�.�..�.�.ت�.�.ي�.�.�.�.�.�.�.ع","X","X.1"
"1","86,307,563.03","تمويل  خارجي (موازنة تطويرية) دول متعددة/ تمويل سلطة  (موازنة تطويرية )","إعادة تأهيل الأجهزة الأمنية"
"2","76,835,117.90","تمويل سلطة  (موازنة تطويرية /) تمويل سلطنة عمان/ تمويل الحكومة الالمانية/ تمويل الحكومة الهندية/ تمويل المصرف العربي للتنمية",""
"3","الاقتصادية في افريقيا/ تمويل صندوق الأقصى JFA/","بناء وتجهيز وتاثيث الغرف الصيفية في المناطق )a+b(",""
"4","18,823,429.30","تمويل قرض الحكومة الايطالية","مستشفى دورا و حلحول"
"5","17,560,136.70","تمويل سلطة  (موازنة تطويرية )","مشروع تسوية اراضي المحافظات الشمالية"
"6","16,172,802.00","تمويل سلطة  (موازنة تطويرية )","إعادة تأهيل البنية التحتية للإدارة العامة للمعابر"
"7","13,771,063.27","تمويل وكالة التنمية الفرنسية )AFD(","مشروع ربط المياه بالطاقة في مجلس يامون/طوباس/ميثلو"
"8","12,828,074.13","تمويل البنك الدولي/ تمويل وكالة التنمية الفرنسية )AFD(","ادارة المياه العادمة في الضفة الغربية الخليل"
"9","11,009,613.63","تمويل سلطة  (موازنة تطويرية )","دعم مدارس القدس الشريف ومناطق ج"
"10","10,796,626.49","تمويل سلطة  (موازنة تطويرية /) تمويل /JFA تمويل الحكومة البلجيكية","صيانة الابنية المدرسية ومرافقها"
"11","10,756,848.44","الصندوق الكويتي للتنمية الاقتصادية العربية","اعادة تاهيل البنية المتضررة من العدوان شمال غزة"
"12","10,621,414.17","تمويل /KFWتمويل سلطة  (موازنة تطويرية /) تمويل /JFA تمويل الحكومة البلجيكية","صيانة  وتوسعة المدارس المهنية والكليات"
"13","9,094,376.32","COVID-19 EMERGENCY RESPONS /تمويلالبنكالدولي","الاستجابة لحالات الطوارئ لـ COVID-19"
"14","8,461,667.71","مساهمة المجتمع المحلي ( نمويل أهالي/) تمويل KFW","مشاريع بنية تحتية في عدة قرى-بنك التنمية الالماني"
"15","8,073,725.60","تمويل  الاتحاد الأوروبي","المساعدة الطارئة للمزارعين النتضرين من الاحتلال"
"16","7,500,000.00","تمويل سلطة  (موازنة تطويرية )","دعم البرنامج السياسي والامني للسيد الرئيس"
"17","7,448,463.49","تمويل الحكومة الايرلندية/ تمويل وكالة التنمية الفرنسية )AFD(","برنامج توافر المياه و التكيف الزراعي  للتغيرات المناخية"
"18","7,136,299.73","تمويل قرض الحكومة الايطالية","تعزيز قطاع الاسكان-قطاع غزة"
"19","7,134,385.58","تمويل سلطة  (موازنة تطويرية )","مبنى المطبعة الوطنية الجديدة"
"20","6,679,515.15","تمويل سلطة  (موازنة تطويرية )","مشروع صندوق ووقفية القدس"
"21","6,598,232.77","تمويل سلطة  (موازنة تطويرية /)تمويل JFA","مباني مديريات قباطية وضواحي القدس وجنوب نابلس وطوب"
"22","6,051,597.08","تمويل وكالة التنمية الفرنسية /)AFD( تمويل سلطة  (موازنة تطويرية )","تأهيل شبكات المياه في بيت جالا -بيت ساحور- بيت لحم"
"23","5,925,386.31","تمويل الحكومة الايطالية/ مشروع RING","RING"
"24","5,341,351.05","تمويل  الاتحاد الأوروبي","تأثيث مركزي اصلاح وتأهيل نابلس وجنين"
"25","5,234,900.02","تمويل  الاتحاد الأوروبي","انشاء مبنى للجنة الانتخابات المركزية"
"26","5,098,904.85","تمويل البنك الدولي","إعادة تاهيل وتطوير شبكات التوزيع في قطاع غزة)GNRP("
"27","4,825,611.85","تمويل وكالة التنمية الفرنسية )AFD(","برنامج التنمية الريفية في غور الاردن C"
"28","4,695,167.76","تمويل سلطة  (موازنة تطويرية )","تأهيل قصر الرئاسة في بيت لحم"
"29","4,632,356.59","الصندوق الكويتي للتنمية الاقتصادية العربية","تاهيل البنيةالمتضررة من العدوان الاسرائيلي/خانيونس"
"30","4,500,000.00","تمويل سلطة  (موازنة تطويرية )","منامات للموظفين في المعابر"
"31","4,163,870.15","تمويل سلطة  (موازنة تطويرية )","اعمال انشاء معبر كرم ابو سالم"
"32","4,065,386.50","تمويل سلطة  (موازنة تطويرية /) تمويل JFA","بناء مدارس مهنية جديدة"
"33","4,021,568.24","تمويل الصندوق الدولي للتنمية الزراعية )IFAD(","دعم الاراضي الزراعية وادارة المصادر الطبيعية"
"34","3,929,474.99","HSRSP","تعزيز صمود القطاع الصحي الفلسطينيHSRSP-"
"35","3,874,483.38","تمويل سلطة  (موازنة تطويرية )","مشاريع دعم المخيمات"
"36","3,738,467.01","تمويل البنك الاسلامي للتنمية -جدة","إعادة إنشاء طريق ذنابة - كفر اللبد - عنبتا"
"37","3,471,497.11","تمويل CFG مجموعة مانحين/ تمويل /UNFPA تمويل البنك الدولي/ تمويل التعاون الايطالي/ وزارة شؤون المرأة/ تمويل الحكومة",""
"38","الايطالية/ تمويل اليونيسيف /)UNICEIF( تمويل برنامج الأمم المتحدة الإنمائي )UNDP(","المسوح والسجلات الادارية في المجالات السكانية والاقتصادية",""
"39","3,251,088.00","تمويل سلطة  (موازنة تطويرية )","مشروع المطبعة الوطنية"
"40","3,115,644.27","تمويل البنك الدولي","الانتقال من التعليم الى السوق"
"41","2,995,219.80","تمويل سلطة  (موازنة تطويرية )","إعادة تأهيل الساحات في مدينة الحجاج الفلسطينية"
"42","2,904,704.83","تمويل سلطة  (موازنة تطويرية )","متابعة قانونية ودعم صمود وعمل شعبي وتوثيق انتهاكات"
"43","2,799,005.40","تمويل سلطة  (موازنة تطويرية )","بناء مكاتب للاجهزةة الامنية والمدنية"
"44","2,750,576.40","تمويل سلطة  (موازنة تطويرية )","تعزيز الاستدامة في الاداء والبنية التحتية والموثوق"
"45","2,603,583.00","تمويل الحكومة اليابانية/ تمويل سلطة  (موازنة تطويرية )","وصلات منزلية اريحا"
"46","2,569,238.49","الصندوق الكويتي للتنمية الاقتصادية العربية","اهيل البنية المتضررة من العدوان الاسرائيلي/غزة"
