"","X","X.1","Jan","Feb","Mar","Apr","May","June","July","Aug","Sep","Oct","Nov","Dec","Q1","Q2","Q3","Q4","Jan.Dec","Budget.2020","X.2","Actual.as...of.Budget"
"1","Total Net Revenue",NA,1263.5,1201.1,902,765.2,849,742,811.4,962.1,1112.4,1061.4,1064.4,1097.8,3366.6,2356.2,2885.8,3223.6,11832.3,8358,NA,"142%"
"2","Gross Domestic Revenue",NA,597.7,506.5,243.4,127.3,204.3,295.6,256.7,296.8,449,390.7,315.3,449.8,1347.6,627.2,1002.5,1155.8,4133.2,1863,NA,"222%"
"3","Tax Revenue",NA,376.2,339.3,146,106.7,153.3,213.6,166,186.9,206.4,192.2,222.7,214.4,861.4,473.6,559.2,629.2,2523.5,1184,NA,"213%"
"4","Nontax Revenue",NA,112.3,137,86.6,20,39.3,55,75.4,83.7,209.7,167.6,70.1,217.2,335.9,114.2,368.9,454.9,1273.9,553,NA,"230%"
"5","Earmarked Collections (1)",NA,109.2,30.2,10.8,0.6,11.6,27.1,15.3,26.3,32.8,31,22.5,18.3,150.3,39.3,74.4,71.8,335.8,126,NA,"267%"
"6","Clearance Revenue*",NA,700.5,746.1,717.7,649.8,658.3,476.3,569,684.3,706,684.3,767.5,731.1,2164.3,1784.4,1959.2,2182.9,8090.8,6835,NA,"118%"
"7","Tax Refunds (-)",NA,34.7,51.5,59.1,12,13.5,29.8,14.4,19.1,42.6,13.6,18.3,83.1,145.3,55.3,76,115.1,391.8,340,NA,"115%"
"8","Fuel",NA,30,50,25,12,10,14,10,10,18,10,15,11.8,105,36,38,36.8,215.8,NA,NA,""
"9","Other (2)",NA,4.7,1.5,34.1,0,3.5,15.8,4.4,9.1,24.6,3.6,3.3,71.3,40.3,19.3,38,78.3,176,NA,NA,""
"10","Total Expenditure & Net lending",NA,1009,1198.8,1151.2,1294.7,1117.4,963.1,1455.4,1149.7,1256.8,1293.6,1258,3346,3359.1,3375.3,3862,5897.6,16493.9,16387,NA,"101%"
"11","Wages and salaries #",NA,533.2,568.4,563.9,570.3,568,513,602.6,559.8,573.8,575.9,563,694.6,1665.5,1651.3,1736.2,1833.5,6886.6,6880.5,NA,"100%"
"12","Gov. Social contributions #",NA,55.2,55.1,54.9,55,55.1,55.2,55.8,58.2,56.9,56,55.6,57.9,165.3,165.3,171,169.5,671.1,660.3,NA,""
"13","Use of goods and services #",NA,25.8,94.5,95.2,89.2,157.4,177.8,141.4,156.9,217.2,270.1,306.4,529.7,215.5,424.4,515.5,1106.2,2261.5,2257.5,NA,"100%"
