"","X","Jan.Feb","March","April","May","June","July","August","Sep.","Oct.","Nov.","Dec.","Q.1","Q2","Q.3","Q4","Jan...Dec.","X.1","X.2"
"1","","","","","","","","","","","","","","","","","","Budget","Actual as"
"2","","","","","","","","","","","","","","","","","","2020","% of Budget"
"3","1. Social assistance benefits","80.666  121.523","121.229","250.990","110.202","83.902","312.102","114.171","116.550","141.950","119.440","461.760","323.418","445.094","542.823","723.150","2,034.485","",""
"4","Social assistance","35.562 55.483","54.026","184.450","43.201","38.455","197.166","48.645","49.980","55.010","53.600","247.210","145.071","266.106","295.791","355.820","1,062.788","",""
"5","Assistance to vulnerable families","27.486 48.858","50.007","49.361","49.830","28.272","97.756","48.355","49.410","69.730","48.680","197.380","126.351","127.463","195.521","315.790","765.125","",""
"6","Unemployment benefits","17.618 17.182","17.196","17.179","17.171","17.175","17.180","17.171","17.160","17.210","17.160","17.170","51.996","51.525","51.511","51.540","206.572","",""
"7","2. Social security benefits (civilian and military pensions)","77.205  193.171","193.009","189.128","187.436","79.689","289.176","186.991","188.270","187.090","138.760","639.870","463.385","456.253","664.437","965.720","2,549.795","",""
"8","3. Payments to NGOs and civil society & universities","0.323 1.918","7.201","2.826","4.376","1.708","16.981","9.885","23.740","5.700","2.900","43.990","9.442","8.910","50.606","52.590","121.548","",""
"9","4. Compensation for damages & emergency expenditures - Reserves","2.382 0.854","5.032","14.375","0.885","10.700","8.723","9.990","5.080","7.550","12.100","14.620","8.268","25.960","23.793","34.270","92.291","",""
"10","5. Local government support","0.344 1.782","1.194","0.554","1.260","1.318","1.104","2.969","3.190","1.250","4.450","6.580","3.320","3.132","7.263","12.280","25.995","",""
"11","6. Other transfers","- 1.730","1.947","1.541","2.578","1.395","2.012","4.726","7.830","6.260","5.670","21.070","3.677","5.514","14.568","33.000","56.759","",""
"12","7. Educational subsidies & scholarships","- 0.182","-","-","0.079","1.241","-","0.154","0.070","0.970","0.320","0.700","0.182","1.320","0.224","1.990","3.716","",""
"13","Total","160.920  321.160","329.612","459.414","306.816","179.953","630.098","328.886","344.730","350.770","283.640","1,188.590","811.692","946.183","1,303.714","1,823.000","4,884.589","5,770.60","85%"
"14","","","","","","","","","","","","","","","","","","","Feb. 10, 2021"
"15","Table 8b. Fiscal Operations: Transfers, (Cash Basis) December 2020, million NIS.","","","","","","","","","","","","","","","","","",""
"16","","Actual as Jan Febr","March","April","May","June","July","August","Sep.","Oct.","Nov.","Dec.","Q1","Q2","Q3","Q4","Jan - Dec.","Budget",""
"17","","","","","","","","","","","","","","","","","","2020","% of Budget"
"18","1. Social assistance benefits","80.666  120.991","120.982","250.898","29.969","3.141","326.093","6.028","127.306","32.980","96.886","431.068","322.639","284.008","459.427","560.934","1,627.008","",""
"19","Social assistance","35.562 54.979","53.892","184.358","8.497","3.141","200.011","6.024","56.473","12.010","34.114","170.000","144.433","195.996","262.508","216.124","819.061","",""
"20","Assistance to vulnerable families","27.486 48.830","49.894","49.361","21.472","-","92.710","0.004","70.833","20.970","46.097","210.858","126.210","70.833","163.547","277.925","638.515","",""
"21","Unemployment benefits","17.618 17.182","17.196","17.179","-","-","33.372","-","-","-","16.675","50.210","51.996","17.179","33.372","66.885","169.432","",""
"22","2. Social security benefits (civilian and military pensions)","77.205  189.171","191.009","187.128","112.626","-","234.396","60.401","194.296","1.410","111.399","809.644","457.385","299.754","489.093","922.453","2,168.685","",""
"23","3. Payments to NGOs and civil society & universities","- 0.302","1.389","2.133","3.376","1.447","2.592","0.840","20.493","1.270","0.799","240.656","1.691","6.956","23.925","242.725","275.297","",""
"24","4. Compensation for damages & emergency expenditures - Reserves","1.786 0.323","0.156","9.678","0.782","8.239","5.127","6.325","0.992","4.070","8.105","43.342","2.265","18.699","12.444","55.517","88.925","",""
"25","5. Local government support","- 1.192","0.533","0.525","0.676","0.100","0.689","1.260","2.329","1.140","3.595","14.491","1.725","1.301","4.278","19.226","26.530","",""
"26","6. Other transfers","- 0.521","0.587","0.247","2.216","1.141","0.915","1.690","5.894","4.760","4.455","2.776","1.108","3.604","8.499","11.991","25.202","",""
"27","7. Educational subsidies & scholarships","- -","-","-","-","-","-","-","0.023","-","-","10.114","-","-","0.023","10.114","10.137","",""
"28","Total","159.657  312.500","314.656","450.609","149.645","14.068","569.812","76.544","351.333","45.630","225.239","1,552.091","786.813","614.322","997.689","1,822.960","4,221.784","5,770.60","73%"
