"","X","Total","Wages.and","Social","Use.of.goods","Interest","Transfer","Minor.Capital","Development"
"1","","Expenditure","salaries","contributions","and services","payments","Expenditure","Expenditure","Expenditure"
"2","1. General public services","481,321","108,461","3,403","101,755","11,852","182,305","3,657","69,887"
"3","President's Office","20,024","7 ,071","7 02","4 ,225","-","-","5 24","7 ,501"
"4","P.L.O. Institutions","218,785","3 4,552","4 58","4 3,091","-","1 21,168","8 3","1 9,434"
"5","Legislative Council","1,109","8 52","9 4","8 4","-","7 9","-","-"
"6","Ministers' Council","1,923","6 71","3 6","7 99","-","-","3 61","5 6"
"7","General Secretariat for the council of ministers","1,782","9 89","9 5","6 36","-","-","5 3","9"
"8","Office of the Deputy Prime Minister","101","5 1","1","4 9","-","-","-","-"
"9","State Audit & Administrative Control Bureau","1,209","7 57","8 6","2 99","-","-","5 1","1 6"
"10","Ministry of Local Government","20,203","1 ,851","1 79","7 80","-","6 ,580","1 14","1 0,699"
"11","Ministry of Finance & Planning","25,937","8 ,719","5 36","2 ,973","-","1 0,719","3 13","2 ,677"
"12","Ministry of Foreign Affairs","5,345","4 ,661","3 02","3 70","-","-","1 1","-"
"13","Embassies","80,000","3 9,506","-","3 3,051","-","5 ,760","1 ,682","-"
"14","Negotiations Affairs Department","260","1 12","1 2","1 37","-","-","-","-"
"15","General Personnel Office","6,273","4 ,837","5 35","8 22","-","-","7 0","9"
"16","Palestinian Central Bureau of Statistics","3,768","1 ,061","2 35","2 01","-","-","-","2 ,271"
"17","Ministry of Jerusalem Affairs","15,570","8 64","1 3","2 11","-","1 2,112","4 2","2 ,327"
"18","General Authority for crossings and borders","34,698","1 ,646","9 2","8 ,920","-","-","3 52","2 3,687"
"19","Non Governmental Organization","11,445","2 33","2 6","3 79","-","1 0,807","-","-"
"20","Central Election Committee","5,876","-","-","4 ,675","-","-","-","1 ,201"
"21","General Expenditures","12,052","-","-","-","-","1 2,052","-","-"
"22","Public Debt Interest Payments","11,852","-","-","-","1 1,852","-","-","-"
"23","Financial Reserves","3,029","-","-","-","-","3 ,029","-","-"
"24","Leadership and mastery","80","2 8","1","5 2","-","-","-","-"
"25","2. Defense","-","-","-","-","-","-","-","-"
"26","3. Public order and safety","419,186","287,781","24,342","91,072","0","0","2,219","13,772"
"27","Ministry of Interior and National Security","397,018","2 74,824","2 3,047","8 5,669","-","-","2 ,116","1 1,362"
"28","Ministry of Justice","5,761","3 ,834","4 05","1 ,366","-","-","1 4","1 41"
"29","Supreme Judge Department","2,468","1 ,780","1 70","2 90","-","-","2 1","2 07"
"30","High Judicial Council","12,934","6 ,941","7 05","3 ,403","-","-","5 7","1 ,827"
"31","The Supreme Constitutional Court","554","3 50","1 0","1 83","-","-","1 0","-"
"32","Supreme Council for Public Procurement Policies","451","5 1","5","1 60","-","-","-","2 35"
"33","4. Economic affairs","70,095","19,399","2,874","13,310","0","22,298","435","11,779"
"34","Ministry of National Economy","4,255","2 ,978","6 78","5 99","-","-","-","-"
"35","Specifications and Standards Office","1,011","5 98","1 18","2 56","-","-","2","3 7"
"36","Ministry of Agriculture","21,279","5 ,811","1 ,029","6 ,129","-","-","1 00","8 ,211"
