"","X","Total","Wages.and","Social","Use.of.goods","Interest","Transfer","Minor.Capital","Development"
"1","","Expenditure","salaries","contributions","and services","payments","Expenditure","Expenditure","Expenditure"
"2","1. General public services","2,468,602","647,106","40,386","395,460","192,413","907,226","8,614","277,396"
"3","President's Office","134,845","8 4,381","8 ,552","3 2,851","-","-","1 ,237","7 ,824"
"4","P.L.O. Institutions","1,010,637","1 49,541","5 ,562","1 50,532","-","6 73,879","2 09","3 0,914"
"5","Legislative Council","13,812","1 0,513","1 ,172","1 ,031","-","1 ,096","-","-"
"6","Ministers' Council","15,475","6 ,459","4 57","5 ,471","-","-","8 40","2 ,248"
"7","General Secretariat for the council of ministers","14,497","1 0,546","1 ,082","2 ,729","-","-","1 20","1 9"
"8","Office of the Deputy Prime Minister","673","3 40","6","3 25","-","-","1","-"
"9","State Audit & Administrative Control Bureau","12,293","9 ,124","1 ,034","2 ,068","-","-","5 1","1 6"
"10","Ministry of Local Government","155,891","2 2,145","2 ,179","5 ,063","-","2 5,993","1 56","1 00,356"
"11","Ministry of Finance & Planning","180,228","7 4,888","6 ,457","1 8,183","-","6 7,909","1 ,593","1 1,198"
"12","Ministry of Foreign Affairs","67,680","5 7,662","3 ,910","3 ,850","-","-","5 9","2 ,199"
"13","Embassies","244,040","1 21,572","-","1 04,023","-","1 5,313","3 ,132","-"
"14","Negotiations Affairs Department","2,092","1 ,330","1 38","6 24","-","-","-","-"
"15","General Personnel Office","68,479","5 7,175","6 ,694","4 ,354","-","-","1 87","6 9"
"16","Palestinian Central Bureau of Statistics","31,189","1 2,743","1 ,540","4 ,485","-","-","-","1 2,421"
"17","Ministry of Jerusalem Affairs","70,253","9 ,918","1 69","9 40","-","4 1,009","8 5","1 8,132"
"18","General Authority for crossings and borders","140,453","1 5,368","1 ,098","4 1,693","-","-","8 94","8 1,400"
"19","Non Governmental Organization","38,765","3 ,354","3 33","8 91","-","3 4,186","-","-"
"20","Central Election Committee","25,881","-","-","1 5,675","-","-","-","1 0,206"
"21","General Expenditures","27,010","-","-","-","-","2 7,010","-","-"
"22","Public Debt Interest Payments","192,413","-","-","-","1 92,413","-","-","-"
"23","Financial Reserves","20,833","-","-","-","-","2 0,833","-","-"
"24","Leadership and mastery","1,165","4 6","3","6 74","-","-","4 9","3 94"
"25","2. Defense","-","-","-","-","-","-","-","-"
"26","3. Public order and safety","3,597,859","2,715,354","281,694","464,904","0","0","6,853","129,053"
"27","Ministry of Interior and National Security","3,395,448","2 ,566,927","2 66,177","4 34,041","-","-","6 ,562","1 21,740"
"28","Ministry of Justice","60,101","4 5,587","5 ,034","8 ,558","-","-","3 1","8 91"
"29","Supreme Judge Department","28,021","2 1,188","2 ,035","3 ,233","-","-","4 9","1 ,516"
"30","High Judicial Council","106,569","7 6,688","8 ,260","1 7,831","-","-","1 85","3 ,605"
"31","The Supreme Constitutional Court","5,459","4 ,377","1 36","9 20","-","-","2 6","-"
"32","Supreme Council for Public Procurement Policies","2,261","5 87","5 1","3 22","-","-","-","1 ,301"
"33","4. Economic affairs","459,991","228,557","23,109","59,366","0","61,907","768","86,283"
"34","Ministry of National Economy","44,317","3 5,901","4 ,468","3 ,948","-","-","-","-"
"35","Specifications and Standards Office","10,627","7 ,391","7 85","1 ,742","-","-","1 94","5 14"
"36","Ministry of Agriculture","139,014","6 9,472","6 ,756","1 8,376","-","4","1 00","4 4,306"
"37","Ministry of Energy and Natural Resources","89,727","3 ,797","3 25","1 ,595","-","6 1,903","2 9","2 2,077"
"38","Ministry of Transportation","47,357","3 4,155","3 ,329","8 ,276","-","-","1 2","1 ,586"
"39","Ministry of Communications and Information Technology","47,596","2 5,972","2 ,295","1 4,278","-","-","1 96","4 ,855"
"40","Ministry of Tourism and Antiquities","32,326","1 5,197","1 ,407","3 ,757","-","-","1 30","1 1,836"
"41","Ministry of Labor","41,693","3 1,501","3 ,110","6 ,058","-","-","5 0","9 73"
"42","General Authority for Investment Promotion","2,625","1 ,840","2 24","5 44","-","-","1 6","-"
"43","Industrial Zones Board","4,709","3 ,330","4 11","7 91","-","-","4 1","1 36"
"44","5. Environmental protection","14,901","10,480","1,220","1,382","0","0","31","1,787"
"45","Environmental Quality Authority","14,901","1 0,480","1 ,220","1 ,382","-","-","3 1","1 ,787"
"46","6. Housing and community amenities","298,761","79,294","7,357","54,227","0","0","965","156,917"
"47","Ministry of Public Works and Housing","96,388","3 5,548","3 ,587","5 ,640","-","-","2 54","5 1,360"
"48","Land Authority","24,034","1 7,785","1 ,797","3 ,594","-","-","9 4","7 64"
"49","Palestinian Water Authority","152,282","1 5,757","1 ,362","4 3,276","-","-","6 17","9 1,270"
"50","Form of Land & Water  intercession","26,056","1 0,204","6 11","1 ,718","-","-","0","1 3,523"
"51","7. Health","1,846,518","687,332","62,102","958,690","0","0","73,191","65,203"
"52","Ministry of Health","1,846,518","6 87,332","6 2,102","9 58,690","-","-","7 3,191","6 5,203"
"53","8. Recreation, culture, and religion","397,435","227,292","22,834","113,680","0","5,814","2,260","25,554"
"54","Higher Council For Youth And Sports","57,832","2 5,743","2 ,558","2 0,458","-","5 ,814","7 2","3 ,185"
"55","Ministry of Culture","20,676","1 1,137","1 ,231","5 ,710","-","-","8 8","2 ,510"
"56","Ministry of Information","7,613","5 ,658","5 74","1 ,382","-","-","-","-"
"57","Palestinian Broadcasting Corporation","142,765","5 8,993","5 ,366","7 6,494","-","-","1 ,912","-"
"58","The Palestinian News Agency - WAFA","16,092","1 1,526","1 ,328","2 ,364","-","-","2 6","8 48"
"59","Al-Hayat Al-Jadida Press","25,960","4 ,405","2 88","2 ,244","-","-","1 3","1 9,011"
"60","The Ministry of Awqaf and Religious Affairs","120,020","1 05,286","1 1,143","3 ,518","-","-","7 2","-"
"61","Dar Al Fatwa and Islamic Research","6,478","4 ,544","3 47","1 ,510","-","-","7 7","-"
"62","9. Education","2,889,557","2,237,270","226,660","204,133","0","17,608","5","203,880"
"63","Ministry of Education","2,766,329","2 ,157,216","2 18,898","1 97,934","-","-","5","1 92,276"
"64","Ministry of Higher Education and Scientific Research","123,228","8 0,054","7 ,763","6 ,199","-","1 7,608","-","1 1,604"
"65","10. Social protection","3,970,409","53,939","5,695","9,680","0","3,894,420","153","6,521"
"66","Ministry of Social Affairs","1,450,676","4 9,523","5 ,375","7 ,314","-","1 ,382,947","1 03","5 ,414"
"67","Ministry of Women's Affairs","8,011","4 ,098","3 90","2 ,366","-","-","5 1","1 ,107"
"68","Retirees Pension Allowances","2,511,722","3 18","(69)","-","-","2 ,511,473","-","-"
"69","Totals","15,944,032","6,886,625","671,058","2,261,524","192,413","4,886,976","92,842","952,595"
