"","X","X.1","X.2","X.3","Use.of.goodsInterest","X.4","Minor.Capital","Development"
"1","","Total Expenditure","Wages and salaries","Social contributions","Transfer Expenditureand services payments","","Expenditure","Expenditure"
"2","Governance Sector","","","","","","",""
"3","President's Office","134,845","84,381","8,552","32,851","- -","1,237","7,824"
"4","P.L.O. Institutions","1 ,010,637","149,541","5,562","150,532","- 673,879","209","30,914"
"5","Legislative Council","13,812","10,513","1,172","1,031","- 1,096","-","-"
"6","Ministers' Council","15,475","6,459","457","5,471","- -","840","2,248"
"7","General Secretariat for the council of ministers","14,497","10,546","1,082","2,729","- -","120","19"
"8","Office of the Deputy Prime Minister","673","340","6","325","- -","1","-"
"9","State Audit & Administrative Control Bureau","12,293","9,124","1,034","2,068","- -","51","16"
"10","General Personnel Office","68,479","57,175","6,694","4,354","- -","187","69"
"11","Ministry of Finance & Planning","180,228","74,888","6,457","18,183","- 67,909","1,593","11,198"
"12","Ministry of Jerusalem Affairs","70,253","9,918","169","940","- 41,009","85","18,132"
"13","Non Governmental Organization","38,765","3,354","333","891","- 34,186","-","-"
"14","Retirees Pension Allowances","2 ,511,722","318","( 69)","-","- 2,511,473","-","-"
"15","Public Debt Interest Payments","192,413","-","-","- 192,413","-","-","-"
"16","General Expenditures","27,010","-","-","-","- 27,010","-","-"
"17","Financial Reserves","20,833","-","-","-","- 20,833","-","-"
"18","General Authority for crossings and borders","140,453","15,368","1,098","41,693","- -","894","81,400"
"19","Negotiations Affairs Department","2,092","1,330","138","624","- -","-","-"
"20","Embassies","244,040","121,572","-","104,023","- 15,313","3,132","-"
"21","Central Election Committee","25,881","-","-","15,675","- -","-","10,206"
"22","Ministry of Interior and National Security","3 ,395,448","2,566,927","266,177","434,041","- -","6,562","121,740"
"23","Ministry of Justice","60,101","45,587","5,034","8,558","- -","31","891"
"24","High Judicial Council","106,569","76,688","8,260","17,831","- -","185","3,605"
"25","Ministry of Foreign Affairs","67,680","57,662","3,910","3,850","- -","59","2,199"
"26","Supreme Judge Department","28,021","21,188","2,035","3,233","- -","49","1,516"
"27","Supreme Council for Public Procurement Policies","2,261","587","51","322","- -","-","1,301"
"28","The Supreme Constitutional Court","5,459","4,377","136","920","- -","26","-"
"29","Total","8 ,389,937","3,327,844","318,289","850,143 192,413","3,392,706","15,263","293,278"
"30","Infrastructure Sector","","","","","","",""
"31","Palestinian Water Authority","152,282","15,757","1,362","43,276","- -","617","91,270"
"32","Ministry of Energy and Natural Resources","89,727","3,797","325","1,595","- 61,903","29","22,077"
"33","Ministry of Transportation","47,357","34,155","3,329","8,276","- -","12","1,586"
"34","Ministry of Communications and Information Technolog","47,596","25,972","2,295","14,278","- -","196","4,855"
"35","Ministry of Public Works and Housing","96,388","35,548","3,587","5,640","- -","254","51,360"
"36","Ministry of Local Government","155,891","22,145","2,179","5,063","- 25,993","156","100,356"
"37","Environmental Quality Authority","14,901","10,480","1,220","1,382","- -","31","1,787"
"38","Total","604,142","147,855","14,296","79,509","- 87,896","1,296","273,290"
"39","Economic Affairs","","","","","","",""
"40","Palestinian Central Bureau of Statistics","31,189","12,743","1,540","4,485","- -","-","12,421"
"41","Ministry of Tourism and Antiquities","32,326","15,197","1,407","3,757","- -","130","11,836"
"42","Land Authority","24,034","17,785","1,797","3,594","- -","94","764"
"43","Ministry of National Economy","44,317","35,901","4,468","3,948","- -","-","-"
"44","Industrial Zones Board","4,709","3,330","411","791","- -","41","136"
"45","Specifications and Standards Office","10,627","7,391","785","1,742","- -","194","514"
"46","General Authority for Investment Promotion","2,625","1,840","224","544","- -","16","-"
"47","Ministry of Agriculture","139,014","69,472","6,756","18,376","- 4","100","44,306"
"48","Form of Land & Water  intercession","26,056","10,204","611","1,718","- -","0","13,523"
"49","Total","314,897","173,864","17,999","38,955","- 4","574","83,500"
"50","Social Affairs","","","","","","",""
"51","Ministry of Education","2 ,766,329","2,157,216","218,898","197,934","- -","5","192,276"
"52","Ministry of Higher Education and Scientific Research","123,228","80,054","7,763","6,199","- 17,608","-","11,604"
"53","Ministry of Health","1 ,846,518","687,332","62,102","958,690","- -","73,191","65,203"
"54","Ministry of Women's Affairs","8,011","4,098","390","2,366","- -","51","1,107"
"55","Ministry of Social Affairs","1 ,450,676","49,523","5,375","7,314","- 1,382,947","103","5,414"
"56","Ministry of Information","7,613","5,658","574","1,382","- -","-","-"
"57","Palestinian Broadcasting Corporation","142,765","58,993","5,366","76,494","- -","1,912","-"
"58","The Palestinian News Agency - WAFA","16,092","11,526","1,328","2,364","- -","26","848"
"59","Al-Hayat Al-Jadida Press","25,960","4,405","288","2,244","- -","13","19,011"
"60","Higher Council For Youth And Sports","57,832","25,743","2,558","20,458","- 5,814","72","3,185"
"61","Ministry of Culture","20,676","11,137","1,231","5,710","- -","88","2,510"
"62","Dar Al Fatwa and Islamic Research","6,478","4,544","347","1,510","- -","77","-"
"63","The Ministry of Awqaf and Religious Affairs","120,020","105,286","11,143","3,518","- -","72","-"
"64","Ministry of Labor","41,693","31,501","3,110","6,058","- -","50","973"
"65","Leadership and mastery","1,165","46","3","674","- -","49","394"
"66","Total","6 ,635,055","3,237,062","320,473","1,292,916","- 1,406,369","75,709","302,526"
"67","Grand Total","1 5,944,032","6,886,625","671,058","2,261,524 192,413","4,886,976","92,842","952,595"
