"","X","Actual.as.Jan.Feb","March","April","May","June","July","August","Sep.","Oct.","Nov.","Dec.","Q.1","Q2","Q.3","Q4","Jan...Dec.","Budget"
"1","","","","","","","","","","","","","","","","","","2020 % of Budget"
"2","1. Social assistance benefits","80.666 1 21.523","1 21.229","2 50.990","1 10.202","83.902","3 12.102","1 14.171","1 16.550","1 41.950","1 19.440","461.760","3 23.418","4 45.094","542.823","723.150","2,034.485",""
"3","Social assistance","35.562 55.483","54.026","1 84.450","43.201","38.455","1 97.166","48.645","49.980","55.010","53.600","247.210","1 45.071","2 66.106","295.791","355.820","1,062.788",""
"4","Assistance to vulnerable families","27.486 48.858","50.007","49.361","49.830","28.272","97.756","48.355","49.410","69.730","48.680","197.380","1 26.351","1 27.463","195.521","315.790","765.125",""
"5","Unemployment benefits","17.618 17.182","17.196","17.179","17.171","17.175","17.180","17.171","17.160","17.210","17.160","1 7.170","51.996","51.525","5 1.511","5 1.540","206.572",""
"6","2. Social security benefits (civilian and military pensions)","77.205 1 93.171","1 93.009","1 89.128","1 87.436","79.689","2 89.176","1 86.991","1 88.270","1 87.090","1 38.760","639.870","4 63.385","4 56.253","664.437","965.720","2,549.795",""
"7","3. Payments to NGOs and civil society & universities","0.323 1.918","7.201","2.826","4.376","1.708","16.981","9.885","23.740","5.700","2.900","4 3.990","9.442","8.910","5 0.606","5 2.590","121.548",""
"8","4. Compensation for damages & emergency expenditures - Reserves","2.382 0.854","5.032","14.375","0.885","10.700","8.723","9.990","5.080","7.550","12.100","1 4.620","8.268","25.960","2 3.793","3 4.270","9 2.291",""
"9","5. Local government support","0.344 1.782","1.194","0.554","1.260","1.318","1.104","2.969","3.190","1.250","4.450","6.580","3.320","3.132","7.263","1 2.280","2 5.995",""
"10","6. Other transfers","- 1.730","1.947","1.541","2.578","1.395","2.012","4.726","7.830","6.260","5.670","2 1.070","3.677","5.514","1 4.568","3 3.000","5 6.759",""
"11","7. Educational subsidies & scholarships","- 0.182","-","-","0.079","1.241","-","0.154","0.070","0.970","0.320","0.700","0.182","1.320","0.224","1.990","3.716",""
"12","Total","1 60.920 3 21.160","3 29.612","4 59.414","3 06.816","1 79.953","6 30.098","3 28.886","3 44.730","3 50.770","2 83.640","1,188.590","8 11.692","9 46.183","1,303.714","1,823.000","4,884.589","5,770.60 85%"
"13","","","","","","","","","","","","","","","","","","Feb. 10, 2021"
"14","Table 8b. Fiscal Operations: Transfers, (Cash Basis) December 2020, million NIS.","","","","","","","","","","","","","","","","",""
"15","","Actual as Jan Febr","March","April","May","June","July","August","Sep.","Oct.","Nov.","Dec.","Q1","Q2","Q3","Q4","Jan - Dec.","Budget"
"16","","","","","","","","","","","","","","","","","","2020 % of Budget"
"17","1. Social assistance benefits","80.666 1 20.991","1 20.982","2 50.898","29.969","3.141","3 26.093","6.028","1 27.306","32.980","96.886","431.068","3 22.639","2 84.008","459.427","560.934","1,627.008",""
"18","Social assistance","35.562 54.979","53.892","1 84.358","8.497","3.141","2 00.011","6.024","56.473","12.010","34.114","170.000","1 44.433","1 95.996","262.508","216.124","819.061",""
"19","Assistance to vulnerable families","27.486 48.830","49.894","49.361","21.472","-","92.710","0.004","70.833","20.970","46.097","210.858","1 26.210","70.833","163.547","277.925","638.515",""
"20","Unemployment benefits","17.618 17.182","17.196","17.179","-","-","33.372","-","-","-","16.675","5 0.210","51.996","17.179","3 3.372","6 6.885","169.432",""
"21","2. Social security benefits (civilian and military pensions)","77.205 1 89.171","1 91.009","1 87.128","1 12.626","-","2 34.396","60.401","1 94.296","1.410","1 11.399","809.644","4 57.385","2 99.754","489.093","922.453","2,168.685",""
"22","3. Payments to NGOs and civil society & universities","- 0.302","1.389","2.133","3.376","1.447","2.592","0.840","20.493","1.270","0.799","240.656","1.691","6.956","2 3.925","242.725","275.297",""
"23","4. Compensation for damages & emergency expenditures - Reserves","1.786 0.323","0.156","9.678","0.782","8.239","5.127","6.325","0.992","4.070","8.105","4 3.342","2.265","18.699","1 2.444","5 5.517","8 8.925",""
"24","5. Local government support","- 1.192","0.533","0.525","0.676","0.100","0.689","1.260","2.329","1.140","3.595","1 4.491","1.725","1.301","4.278","1 9.226","2 6.530",""
"25","6. Other transfers","- 0.521","0.587","0.247","2.216","1.141","0.915","1.690","5.894","4.760","4.455","2.776","1.108","3.604","8.499","1 1.991","2 5.202",""
"26","7. Educational subsidies & scholarships","- -","-","-","-","-","-","-","0.023","-","-","1 0.114","-","-","0.023","1 0.114","1 0.137",""
"27","Total","1 59.657 3 12.500","3 14.656","4 50.609","1 49.645","14.068","5 69.812","76.544","3 51.333","45.630","2 25.239","1,552.091","7 86.813","6 14.322","997.689","1,822.960","4,221.784","5,770.60 73%"
