"","X","Total","Wages.and","Social","Use.of.goods","Interest","Transfer","Minor.Capital","Development"
"1","","Expenditure","salaries","contributions","and services","payments","Expenditure","Expenditure","Expenditure"
"2","1. General public services","481,321","108,461","3,403","101,755","11,852","182,305","3,657","69,887"
"3","President's Office","20,024","7,071","702","4,225","-","-","524","7,501"
"4","P.L.O. Institutions","218,785","3 4,552","458","43,091","-","121,168","83","19,434"
"5","Legislative Council","1,109","852","94","84","-","79","-","-"
"6","Ministers' Council","1,923","671","36","799","-","-","361","56"
"7","General Secretariat for the council of ministers","1,782","989","95","636","-","-","53","9"
"8","Office of the Deputy Prime Minister","101","51","1","49","-","-","-","-"
"9","State Audit & Administrative Control Bureau","1,209","757","86","299","-","-","51","16"
"10","Ministry of Local Government","20,203","1,851","179","780","-","6,580","114","10,699"
"11","Ministry of Finance & Planning","25,937","8,719","536","2,973","-","1 0,719","313","2,677"
"12","Ministry of Foreign Affairs","5,345","4,661","302","370","-","-","11","-"
"13","Embassies","80,000","3 9,506","-","33,051","-","5,760","1,682","-"
"14","Negotiations Affairs Department","260","112","12","137","-","-","-","-"
"15","General Personnel Office","6,273","4,837","535","822","-","-","70","9"
"16","Palestinian Central Bureau of Statistics","3,768","1,061","235","201","-","-","-","2,271"
"17","Ministry of Jerusalem Affairs","15,570","864","13","211","-","1 2,112","42","2,327"
"18","General Authority for crossings and borders","34,698","1,646","92","8,920","-","-","352","23,687"
"19","Non Governmental Organization","11,445","233","26","379","-","1 0,807","-","-"
"20","Central Election Committee","5,876","-","-","4,675","-","-","-","1,201"
"21","General Expenditures","12,052","-","-","-","-","1 2,052","-","-"
"22","Public Debt Interest Payments","11,852","-","-","-","1 1,852","-","-","-"
"23","Financial Reserves","3,029","-","-","-","-","3,029","-","-"
"24","Leadership and mastery","80","28","1","52","-","-","-","-"
"25","2. Defense","-","-","-","-","-","-","-","-"
"26","3. Public order and safety","419,186","287,781","24,342","91,072","0","0","2,219","13,772"
"27","Ministry of Interior and National Security","397,018","274,824","23,047","85,669","-","-","2,116","11,362"
"28","Ministry of Justice","5,761","3,834","405","1,366","-","-","14","141"
"29","Supreme Judge Department","2,468","1,780","170","290","-","-","21","207"
"30","High Judicial Council","12,934","6,941","705","3,403","-","-","57","1,827"
"31","The Supreme Constitutional Court","554","350","10","183","-","-","10","-"
"32","Supreme Council for Public Procurement Policies","451","51","5","160","-","-","-","235"
"33","4. Economic affairs","70,095","19,399","2,874","13,310","0","22,298","435","11,779"
"34","Ministry of National Economy","4,255","2,978","678","599","-","-","-","-"
"35","Specifications and Standards Office","1,011","598","118","256","-","-","2","37"
"36","Ministry of Agriculture","21,279","5,811","1,029","6,129","-","-","100","8,211"
"37","Ministry of Energy and Natural Resources","23,932","308","26","316","-","2 2,298","18","967"
"38","Ministry of Transportation","5,830","3,098","276","1,789","-","-","6","661"
"39","Ministry of Communications and Information Technology","5,060","2,204","179","2,132","-","-","196","348"
"40","Ministry of Tourism and Antiquities","3,827","1,350","216","736","-","-","85","1,439"
"41","Ministry of Labor","4,011","2,618","257","1,013","-","-","8","115"
"42","General Authority for Investment Promotion","331","150","34","147","-","-","-","-"
"43","Industrial Zones Board","558","284","62","193","-","-","20","-"
"44","5. Environmental protection","1,308","886","97","208","0","0","0","117"
"45","Environmental Quality Authority","1,308","886","97","208","-","-","-","117"
"46","6. Housing and community amenities","53,535","6,098","759","18,260","0","0","523","27,896"
"47","Ministry of Public Works and Housing","13,012","3,013","283","888","-","-","59","8,768"
"48","Land Authority","2,494","1,398","270","537","-","-","82","208"
"49","Palestinian Water Authority","35,502","1,446","110","16,537","-","-","382","17,027"
"50","Form of Land & Water  intercession","2,527","241","95","297","-","-","-","1,894"
"51","7. Health","336,978","59,496","5,199","250,358","0","0","8,420","13,506"
"52","Ministry of Health","336,978","5 9,496","5,199","2 50,358","-","-","8,420","13,506"
"53","8. Recreation, culture, and religion","70,364","22,821","1,888","31,926","0","5,814","1,613","6,302"
"54","Higher Council For Youth And Sports","13,880","2,127","208","3,608","-","5,814","33","2,089"
"55","Ministry of Culture","3,092","936","103","1,421","-","-","56","577"
"56","Ministry of Information","1,073","478","46","550","-","-","-","-"
"57","Palestinian Broadcasting Corporation","35,375","8,770","445","24,722","-","-","1,437","-"
"58","The Palestinian News Agency - WAFA","1,620","944","109","567","-","-","-","-"
"59","Al-Hayat Al-Jadida Press","4,513","473","23","371","-","-","10","3,636"
"60","The Ministry of Awqaf and Religious Affairs","9,914","8,719","925","269","-","-","-","-"
"61","Dar Al Fatwa and Islamic Research","898","374","29","418","-","-","77","-"
"62","9. Education","265,329","184,899","18,842","21,324","0","3,162","0","37,102"
"63","Ministry of Education","249,713","177,556","18,243","20,612","-","-","-","33,302"
"64","Ministry of Higher Education and Scientific Research","15,616","7,343","600","712","-","3,162","-","3,801"
"65","10. Social protection","984,789","4,760","480","1,469","0","976,365","72","1,643"
"66","Ministry of Social Affairs","358,359","4,316","448","984","-","351,294","37","1,280"
"67","Ministry of Women's Affairs","1,283","369","31","485","-","-","35","363"
"68","Retirees Pension Allowances","625,146","75","-","-","-","625,071","-","-"
"69","Totals","2,682,906","694,601","57,883","529,683","11,852","1,189,944","16,939","182,004"
