"","X","X.1","Actual.as.Jan.Feb","Mar","Apr","May","June","July","Aug","Sep","Oct","Nov","Dec","Q1","Q2","Q3","Q4","Jan.Dec","Budget","X.2"
"1","","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2020,"% of Budget"
"2","Total Net Revenue (Commitment Basis)","","1263.5 1201.1",902,765.2,849,742,811.4,962.1,1112.4,1061.4,1064.4,1097.8,3366.6,2356.2,2885.8,3223.6,11832.3,8358,"142%"
"3","Total Net Revenue (Cash Basis)","","1224.5 1159.7",1006.2,1265.3,194.3,258,242.4,286.5,411.4,380.6,299.6,5159,3390.3,1717.6,940.3,5839.2,11887.5,8358,"142%"
"4","Gross Domestic Revenue (Commitment Basis)","","597.7 506.5",243.4,127.3,204.3,295.6,256.7,296.8,449,390.7,315.3,449.8,1347.6,627.2,1002.5,1155.8,4133.2,1863,"222%"
"5","Tax","","376.2 339.3",146,106.7,153.3,213.6,166,186.9,206.4,192.2,222.7,214.4,861.4,473.6,559.2,629.2,2523.5,1184,"213%"
"6","Nontax","","112.3 137.0",86.6,20,39.3,55,75.4,83.7,209.7,167.6,70.1,217.2,335.9,114.2,368.9,454.9,1273.9,553,"230%"
"7","Earmarked Collections (1)","","109.2 30.2",10.8,0.6,11.6,27.1,15.3,26.3,32.8,31,22.5,18.3,150.3,39.3,74.4,71.8,335.8,126,"267%"
"8","Clearance Revenue (Accrued)","","700.5 746.1",717.7,649.8,658.3,476.3,569,684.3,706,684.3,767.5,731.1,2164.3,1784.4,1959.2,2182.9,8090.8,6835,"118%"
"9","Clearance Revenue (Cash Basis)","","658.6 704.2",794.4,1150,0,0,0,0,0,0,0,4734.7,2157.1,1150,0,4734.7,8041.8,6835,"118%"
"10","Clearance Revenue Withheld  (2)","","41.9 41.9",-76.6,-500.2,658.3,476.3,569,684.3,706,684.3,767.5,-4003.6,7.2,634.4,1959.2,-2551.8,49,NA,""
"11","Tax Refunds (Commitment Basis)","","34.7 51.5",59.1,12,13.5,29.8,14.4,19.1,42.6,13.6,18.3,83.1,145.3,55.3,76,115.1,391.8,340,"115%"
"12","Tax Refunds (Cash Basis)","","31.8 51.0",31.6,12,10,37.6,14.3,10.3,37.6,10.1,15.7,25.5,114.4,59.6,62.2,51.3,287.6,340,"85%"
"13","Tax Refund (Arrears)","","2.9 0.5",27.5,0,3.5,-7.8,0,8.7,5,3.5,2.6,57.7,30.9,-4.3,13.8,63.8,104.2,NA,""
"14","Total Expenditure & Net lending (Commitment Basis)","","1009.0 1198.8",1151.2,1294.7,1117.4,963.1,1455.4,1149.7,1256.8,1293.6,1258,3346,3359.1,3375.3,3862,5897.6,16493.9,16387,"101%"
"15","Total Expenditure & Net lending (Cash Basis)","","783.5 1085.7",1028.5,1142,288.6,49.7,1309.7,120.7,1074.1,151.3,662.3,5623.7,2897.8,1480.3,2504.6,6437.3,13320,16387,"81%"
"16","Total Expenditure & Net lending (Arrears)","","225.5 113.1",122.7,152.7,828.9,913.4,145.7,1029,182.7,1142.2,595.8,-2277.7,461.3,1895,1357.4,-539.7,3173.9,NA,""
"17","Wages and salaries (arrears)","","53.8 49.5",51.7,53.6,519.2,513,-13.6,553.4,-54.6,532.2,238.1,-1978.8,155.1,1085.9,485.2,-1208.5,517.6,NA,""
"18","Gov. Social contributions (arrears)","","55.2 34.6",34.4,34.5,46.6,55.2,35.3,58.2,41.9,56,45.6,-49.8,124.3,136.3,135.5,51.8,447.9,NA,""
"19","Use of goods and services (arrears)","","0.2 26.9",27.3,28.8,113.6,155.7,54.5,125.1,151.5,225.7,227.9,133.9,54.4,298.1,331.1,587.5,1271.1,NA,""
"20","Transfers (arrears)","","1.3 8.8",15,9.1,157.7,165.9,60.3,252.3,-6.6,305.1,58.4,-362.1,25,332.6,306,1.4,665.1,NA,""
