"","X","X.1","X.2","Social","Use.of.goods","Interest","Transfer","Minor.Capital","Development"
"1","","Total Expenditure","Wages and salaries","","","","","",""
"2","","","","contributions","and services","payments","Expenditure","Expenditure","Expenditure"
"3","Governance Sector","","","","","","","",""
"4","President's Office","134,845","8 4,381","8 ,552","3 2,851","-","-","1 ,237","7 ,824"
"5","P.L.O. Institutions","1,010,637","1 49,541","5 ,562","1 50,532","-","6 73,879","209","3 0,914"
"6","Legislative Council","13,812","1 0,513","1 ,172","1 ,031","-","1 ,096","-","-"
"7","Ministers' Council","15,475","6 ,459","457","5 ,471","-","-","840","2 ,248"
"8","General Secretariat for the council of ministers","14,497","1 0,546","1 ,082","2 ,729","-","-","120","1 9"
"9","Office of the Deputy Prime Minister","6 73","340","6","325","-","-","1","-"
"10","State Audit & Administrative Control Bureau","12,293","9 ,124","1 ,034","2 ,068","-","-","5 1","1 6"
"11","General Personnel Office","68,479","5 7,175","6 ,694","4 ,354","-","-","187","6 9"
"12","Ministry of Finance & Planning","180,228","7 4,888","6 ,457","1 8,183","-","6 7,909","1 ,593","1 1,198"
"13","Ministry of Jerusalem Affairs","70,253","9 ,918","169","940","-","4 1,009","8 5","1 8,132"
"14","Non Governmental Organization","38,765","3 ,354","333","891","-","3 4,186","-","-"
"15","Retirees Pension Allowances","2,511,722","318","(69)","-","-","2 ,511,473","-","-"
"16","Public Debt Interest Payments","192,413","-","-","-","1 92,413","-","-","-"
"17","General Expenditures","27,010","-","-","-","-","2 7,010","-","-"
"18","Financial Reserves","20,833","-","-","-","-","2 0,833","-","-"
"19","General Authority for crossings and borders","140,453","1 5,368","1 ,098","4 1,693","-","-","894","8 1,400"
"20","Negotiations Affairs Department","2,092","1 ,330","138","624","-","-","-","-"
"21","Embassies","244,040","1 21,572","-","1 04,023","-","1 5,313","3 ,132","-"
"22","Central Election Committee","25,881","-","-","1 5,675","-","-","-","1 0,206"
"23","Ministry of Interior and National Security","3,395,448","2 ,566,927","2 66,177","4 34,041","-","-","6 ,562","1 21,740"
"24","Ministry of Justice","60,101","4 5,587","5 ,034","8 ,558","-","-","3 1","891"
"25","High Judicial Council","106,569","7 6,688","8 ,260","1 7,831","-","-","185","3 ,605"
"26","Ministry of Foreign Affairs","67,680","5 7,662","3 ,910","3 ,850","-","-","5 9","2 ,199"
"27","Supreme Judge Department","28,021","2 1,188","2 ,035","3 ,233","-","-","4 9","1 ,516"
"28","Supreme Council for Public Procurement Policies","2,261","587","5 1","322","-","-","-","1 ,301"
"29","The Supreme Constitutional Court","5,459","4 ,377","136","920","-","-","2 6","-"
"30","Total","8,389,937","3,327,844","3 18,289","8 50,143","1 92,413","3,392,706","1 5,263","2 93,278"
"31","Infrastructure Sector","","","","","","","",""
"32","Palestinian Water Authority","152,282","1 5,757","1 ,362","4 3,276","-","-","617","9 1,270"
"33","Ministry of Energy and Natural Resources","89,727","3 ,797","325","1 ,595","-","6 1,903","2 9","2 2,077"
