"","�.س�.�..�.�.�.ع�.ي.�.�.","X","X.1","X.2","X.3","X.4"
"1","","الموازنة 2020","كانون ثاني - شباط","شباط","كانون ثاني",""
"2","المولزنة","","","","",""
"3","","","2464.6","1201.1","1263.5","اجمالي صافي الایرادات  )أساس الالتزام("
"4","","","2384.1","1159.7","1224.5","اجمالي صافي الایرادات  )أساس النقدي("
"5","","","1104.2","506.5","597.7","اجمالي الایرادات المحلیة"
"6","","","715.4","339.3","376.2","الایرادات الضریبیة"
"7","","","249.3","137.0","112.3","الایرادات غیر الضریبیة"
"8","","","139.5","30.2","109.2","تحصیلات مخصصة  (1)"
"9","","","1446.6","746.1","700.5","اجمالي ایرادات المقاصة )أساس الالتزام("
"10","","","1362.8","704.2","658.6","اجمالي ایرادات المقاصة )أساس النقدي("
"11","","","83.8","41.9","41.9","(2)تعدیلات ایرادات المقاصة"
"12","","","86.2","51.5","34.7","الارجاعات الضریبیة )أساس الالتزام("
"13","","","82.9","51.0","31.8","الارجاعات الضریبیة )الاساس النقدي("
"14","","","3.4","0.5","2.9","الارجاعات الضریبیة )متأخرات("
"15","","","2207.9","1198.8","1009.0","اجمالي النفقات و صافي الاقراض ) اساس الالتزام ("
"16","","","1869.2","1085.7","783.5","اجمالي النفقات  )نقدي("
"17","","","338.6","113.1","225.5","اجمالي النفقات  )متأخرات("
"18","","","103.3","49.5","53.8",""
"19","","","89.8","34.6","55.2","الرواتب و الأجور ) متأخرات("
"20","","","27.1","26.9","0.2","مساھمات اجتماعیة )متأخرات( ) الحكومة ("
"21","","","10.1","8.8","1.3","السلع و الخدمات ) متأخرات("
"22","","","0.2","0.2","0.0","تحویلیة ) متأخرات("
"23","","","5.8","0.0","5.8","رأسمالیة صغرى ) متأخرات("
"24","","","5.8","0.0","5.8","فائدة ) متأخرات("
"25","","","0.0","0.0","0.0","محلي ) متأخرات ("
"26","","","102.3","-6.9","109.2","صافي الاقراض ) متأخرات (3)("
"27","","","256.7","2.3","254.4","دفعات مخصصة ) متأخرات (1)("
"28","","","514.9","74.0","440.9","الرصید الحالي ) التزام("
"29","","","71.6","65.3","6.3","الرصید الحالي ) نقدي("
"30","","","29.6","23.3","6.2","النفقات التطویریة ) أساس الالتزام("
"31","","","42.0","42.0","0.0","النفقات التطویریة ) أساس النقدي("
"32","","","185.1","-63.0","248.1","النفقات التطویریة ) متأخرات("
"33","","","485.3","50.6","434.7","الرصید )أساس الالتزام("
