"","�.س�.�..�.�.�.ع�.ي.�.�.","X","X.1","X.2","X.3","X.4","X.5","X.6"
"1","","الموازنة 2020","كانون ثاني - شباط","شباط","كانون ثاني","",NA,""
"2","الموازنة","","","","","",NA,""
"3","","","152.9","150.8","2.1","اجمالي التمویل الخارجي",NA,""
"4","","","138.4","138","-","1 دعم الموازنة",1,""
"5","","","52.4","52","-","أ.المنح العربیة",NA,""
"6","","","52.4","52","-","المملكة العربیة السعودیة",NA,""
"7","","","-","-","-","الجزائر",NA,""
"8","","","-","-","-","قطر",NA,""
"9","","","-","-","-","عمان",NA,""
"10","","","-","-","-","مصر",NA,""
"11","","","-","-","-","الكویت",NA,""
"12","","","86.0","86.0","-","ب. الدول المانحة",NA,""
"13","","","-","-","-","الولایات المتحدة الأمریكیة",NA,""
"14","","","-","-","-","الھند",NA,""
"15","","","-","-","-","فرنسا",NA,""
"16","","","-","-","-","مالیزیا",NA,""
"17","","","-","-","-","تركیا",NA,""
"18","","","-","-","-","الألیة الفلسطینیة الاوروبیة لدعم وإدارة المساعدات الاجتماعیة وا لاقتصادیة",NA,""
"19","","","-","-","-","1)(موظفي الخدمة المدنیة و المتقاعدین",NA,""
"20","","","-","-","-","دعم حالات اجتماعیة",NA,""
"21","","","-","-","-","دعم مستشفیات القدس",NA,""
"22","","","86.0","86.0","-","البنك الدولي",NA,""
"23","","","86.0","86.0","-","منح من خلال البنك الدولي )دول متعددة(",NA,""
"24","","","-","-","-","منح تطویریة",NA,""
"25","","","-","-","-","منحة استقرار السیاسة المالیة وتنمیة بیئة الأعمال",NA,""
"26","","","-","-","-","برنامج دعم الخدمات الطارئ",NA,""
"27","","","-","-","-","مشروع أزمة الغذاء العالمي",NA,""
"28","","","-","-","-","شبكة الأمان الاجتماعي",NA,""
"29","","","-","-","-","منحة قروض البنك الدولي IDA",NA,""
"30","","","-","-","-","مشروع تحسین الحمایة الاجتماعیة",NA,""
"31","","","14.5","12.3","2.1","2 التمویل التطویري",2,""
"32","","","-","-","-","بناء قدرات للمؤسسات الفلسطینیة التنظیمیة و الاقتصادیة",NA,"CBPERIP"
"33","","","-","-","-","التمویل المشترك لدعم مشاریع وزارة التربیة والتعلیم",NA,""
"34","","","-","-","-","دعم المنطقة الصناعیة: أریحا و الأغوار",NA,""
"35","","","-","-","-","مساعدة الزراعة في الضفة الغربیة",NA,""
"36","","","-","-","-","اعادة اعمار القطاع الخاص في غزة",NA,""
"37","","","2.3","0.2","2.1","منح قدیمة لصالح الوزارات",NA,"Old Grants for Line Ministries"
"38","","","-","-","-","اصلاح نظام الشراء",NA,""
"39","","","12.2","12.2","-","اخرى",NA,"Development Financing"
