"","X","X.1","X.2","X.3","X.4","Budget","Actual.as"
"1","",NA,"Jan","Feb","Jan‐Feb",NA,""
"2","",NA,"","","",2020,"% of Budget"
"3","Total Net Revenue",NA,"1263.5","1201.1","2464.6",NA,""
"4","Gross Domestic Revenue",NA,"597.7","506.5","1104.2",NA,""
"5","Tax Revenue",NA,"376.2","339.3","715.4",NA,""
"6","Nontax Revenue",NA,"112.3","137.0","249.3",NA,""
"7","Earmarked Collections (1)",NA,"109.2","30.2","139.5",NA,""
"8","Clearance Revenue",NA,"700.5","746.1","1446.6",NA,""
"9","Tax Refunds (‐)",NA,"34.7","51.5","86.2",NA,""
"10","Fuel",NA,"30.0","50.0","80.0",NA,""
"11","Other (2)",NA,"4.7","1.5","6.2",NA,""
"12","Total Expenditure & Net lending",NA,"1009.0","1198.8","2207.9",NA,""
"13","Wages and salaries",221,"533.2","568.4","1101.6",NA,""
"14","Gov. Social contributions",222,"55.2","55.1","110.3",NA,""
"15","Use of goods and services",231,"25.8","94.5","120.3",NA,""
"16","Transfers",232,"160.9","321.4","482.4",NA,""
"17","Minor capital",233,"0.0","0.2","0.2",NA,""
"18","Interest",NA,"18.1","5.6","23.7",NA,""
"19","Domestic",NA,"18.1","5.6","23.7",NA,""
"20","External",NA,"0.0","0.0","0.0",NA,""
"21","Net lending  (3)",NA,"106.7","123.2","229.9",NA,""
"22","Earmarked Payments (1)",NA,"109.2","30.2","139.5",NA,""
"23","Property Tax",NA,"87.4","16.4","103.8",NA,""
"24","Transportation Fees",NA,"12.5","12.1","24.7",NA,""
"25","others",NA,"9.3","1.7","11.0",NA,""
"26","Current Balance",NA,"254.4","2.3","256.7",NA,""
"27","Development Expenditure",NA,"6.3","65.3","71.6",NA,""
"28","Balance",NA,"248.1","‐63.0","185.1",NA,""
