"","X","X.1","Dec..2019","Jan..2020","Feb..2020"
"1","Total Public Debt",NA,"2,795.1","2 ,868.0","2,892.6"
"2","A. Total Domestic Debt",NA,"1,577.2","1,626.9","1,629.6"
"3","Total Domestic debt ( short term)",NA,"1,235.0","1,298.8","1,337.0"
"4","Total Domestic debt ( long term)",NA,"342.2","328.1","292.6"
"5","Bank Loans",NA,"943.6","934.7","921.9"
"6","Short term",NA,"601.4","606.6","629.3"
"7","Long term",NA,"342.2","328.1","292.6"
"8","Overdraft",NA,"315.5","372.5","386.1"
"9","Short term",NA,"315.5","372.5","386.1"
"10","Petroleum Authority loans",NA,"303.4","305.1","306.8"
"11","Short term",NA,"303.4","305.1","306.8"
"12","Other public institutions  loans(1)",NA,"1 4.6","1 4.7","1 4.7"
"13","Short term",NA,"1 4.6","1 4.7","1 4.7"
"14","B. Total Foreign Debt**",NA,"1,218.0","1,241.1","1,263.0"
"15","Total Foreign Debtt (short term)",NA,"155.6","156.8","149.5"
"16","Total Foreign Deb (long term)",NA,"1,062.4","1,084.3","1,113.5"
"17","1. Arab Financial Institutions",NA,"739.2","764.0","788.6"
"18","Al Aqsa Fund",NA,"5 13.0","513.0","513.0"
"19","Arab Fund for Economic & Social Development",NA,"1 4.3","14.2","14.1"
"20","Islamic Development Bank",NA,"36.9","36.7","36.5"
"21","Qatar National Bank  (2)",NA,"175.0","200.0","225.0"
"22","2. International and Regional Institutions",NA,"336.3","336.1","335.7"
"23","World Bank (3)",NA,"272.7","272.9","273.2"
"24","European Investment Bank",NA,"39.0","38.6","38.0"
"25","IFAD",NA,"2.0","2.0","2.0"
"26","OPEC",NA,"22.4","22.4","22.4"
"27","KFW(4)",NA,"0.2","0.2","0.2"
"28","3. Bilateral Loans",NA,"142.5","141.0","138.7"
"29","Spain",NA,"7 8.2","77.4","76.1"
"30","Italy(5)",NA,"64.3","63.6","62.6"
