"","X","Total","Wages.and","Social","Use.of.goods","Interest","Transfer","Minor.Capital","Development"
"1","","Expenditure","salaries","contributions","and services","payments","Expenditure","Expenditure","Expenditure"
"2","1. General public services","168,290","51,988","3,350","27,103","5,643","63,473","29","16,704"
"3","President's Office","9,256","7,055","720","1 ,481","‐","‐","‐","‐"
"4","P.L.O. Institutions","80,623","11,502","463","10,411","‐","57,224","‐","1,022"
"5","Legislative Council","1,137","863","95","86","‐","92","‐","‐"
"6","Ministers' Council","1,050","559","38","385","‐","‐","6","62"
"7","General Secretariat for the council of ministers","1,140","844","90","204","‐","‐","1","‐"
"8","Office of the Deputy Prime Minister","39","29","1","9","‐","‐","‐","‐"
"9","State Audit & Administrative Control Bureau","998","769","87","143","‐","‐","‐","‐"
"10","Ministry of Local Government","12,192","1,867","183","304","‐","1,782","‐","8,057"
"11","Ministry of Finance & Planning","9,041","5,981","532","1 ,125","‐","55","‐","1,349"
"12","Ministry of Foreign Affairs","5,371","4,815","316","218","‐","‐","22","‐"
"13","Embassies","18,108","9,262","‐","7 ,737","‐","1,109","‐","‐"
"14","Negotiations Affairs Department","180","108","11","60","‐","‐","‐","‐"
"15","General Personnel Office","5,706","4,896","561","249","‐","‐","‐","‐"
"16","Palestinian Central Bureau of Statistics","3,739","1,059","119","619","‐","‐","‐","1,941"
"17","Ministry of Jerusalem Affairs","1,141","834","14","18","‐","275","‐","‐"
"18","General Authority for crossings and borders","7,819","1,263","92","2 ,936","‐","‐","‐","3,528"
"19","Non Governmental Organization","1,081","281","28","53","‐","718","‐","‐"
"20","Central Election Committee","1,809","‐","‐","1 ,063","‐","‐","‐","745"
"21","General Expenditures","1,730","‐","‐","‐","‐","1,730","‐","‐"
"22","Public Debt Interest Payments","5,643","‐","‐","‐","5,643","‐","‐","‐"
"23","Financial Reserves","488","‐","‐","‐","‐","488","‐","‐"
"24","2. Defense","0","‐","‐","‐","‐","‐","‐","‐"
"25","3. Public order and safety","277,463","224,200","23,408","15,844","0","0","41","13,970"
"26","Ministry of Interior and National Security","260,981","211,911","22,113","14,046","‐","‐","40","12,871"
"27","Ministry of Justice","4,826","3,822","423","561","‐","‐","1","19"
"28","Supreme Judicial Council","8,559","6,246","687","943","‐","‐","‐","683"
"29","The Higher Judicial Council","2,202","1,788","169","245","‐","‐","‐","‐"
"30","The Supreme Constitutional Court","430","386","11","32","‐","‐","‐","‐"
"31","Supreme Council for Public Procurement Policies","465","47","4","16","‐","‐","‐","397"
"32","4. Economic affairs","25,215","19,355","1,852","2,792","0","0","29","1,188"
"33","Ministry of National Economy","3,712","3,043","344","325","‐","‐","‐","‐"
"34","Specifications and Standards Office","779","621","61","96","‐","‐","‐","‐"
"35","Ministry of Agriculture","7,600","5,928","525","391","‐","‐","‐","755"
"36","Ministry of Energy and Natural Resources","512","303","27","103","‐","‐","‐","79"
"37","Ministry of Transportation","3,443","2,833","278","331","‐","‐","‐","‐"
"38","Ministry of Communications and Information Technology","2,678","2,194","196","287","‐","‐","‐","‐"
"39","Ministry of Tourism and Antiquities","2,214","1,263","108","459","‐","‐","29","354"
"40","Ministry of Labor","3,723","2,731","260","733","‐","‐","‐","‐"
"41","General Authority for Investment Promotion","211","152","17","42","‐","‐","‐","‐"
"42","Industrial Zones Board","343","287","34","23","‐","‐","‐","‐"
