"","X","Total","Wages.and","Social","Use.of.goods","Interest","X.1","Transfer","Minor.Capital","Development"
"1","","Expenditure","salaries","contributions","and services","payments",NA,"Expenditure","Expenditure","Expenditure"
"2","5. Environmental protection","1,226","880","103","77","0",NA,"0","0","166"
"3","Environmental Quality Authority","1,226","880","103","77","‐",NA,"‐","‐","166"
"4","6. Housing and community amenities","21,922","7,710","606","2,177","0",NA,"0","0","11,429"
"5","Ministry of Public Works and Housing","6,509","2,973","303","390","‐",NA,"‐","‐","2,844"
"6","Land Authority","1,907","1,552","140","215","‐",NA,"‐","‐","‐"
"7","Palestinian Water Authority","11,455","1,315","116","1 ,480","‐",NA,"‐","‐","8,546"
"8","Form of Land & Water  intercession","2,050","1,871","47","93","‐",NA,"‐","0","39"
"9","7. Health","95,875","57,859","5,110","30,620","0",NA,"0","0","2,286"
"10","Ministry of Health","95,875","57,859","5,110","30,620","‐",NA,"‐","‐","2,286"
"11","8. Recreation, culture, and religion","25,106","19,098","1,921","3,804","0",NA,"0","131","152"
"12","Higher Council For Youth And Sports","3,298","2,185","217","895","‐",NA,"‐","‐","‐"
"13","Ministry of Culture","1,341","927","102","160","‐",NA,"‐","‐","152"
"14","Ministry of Information","643","489","49","105","‐",NA,"‐","‐","‐"
"15","Palestinian Broadcasting Corporation","6,977","4,889","448","1 ,581","‐",NA,"‐","59","‐"
"16","The Palestinian News Agency ‐ WAFA","1,283","989","113","180","‐",NA,"‐","‐","‐"
"17","Al‐Hayat Al‐Jadida Press","693","346","24","323","‐",NA,"‐","‐","‐"
"18","The Ministry of Awqaf and Religious Affairs","10,397","8,897","939","489","‐",NA,"‐","72","‐"
"19","Dar Al Fatwa and Islamic Research","474","375","28","71","‐",NA,"‐","‐","‐"
"20","9. Education","233,161","182,806","18,297","11,405","0",NA,"1,382","0","19,269"
"21","Ministry of Education","223,914","176,480","17,646","10,950","‐",NA,"‐","‐","18,838"
"22","Ministry of Higher Education and Scientific Research","9,247","6,327","651","455","‐",NA,"1,382","‐","432"
"23","10. Social protection","262,445","4,507","482","703","0",NA,"256,579","0","173"
"24","Ministry of Social Affairs","71,673","4,142","448","576","‐",NA,"66,334","‐","173"
"25","Ministry of Women's Affairs","505","344","34","127","‐",NA,"‐","‐","0"
"26","Retirees Pension Allowances","190,267","21","‐","‐","‐",NA,"190,246","‐","‐"
"27","Totals","1,110,703","568,404","55,128","94,525","5,643",NA,"321,434","230","65,338"
