"","X","X.1","X.2","X.3","Budget","Actual.as"
"1","","Jan","Feb","Jan‐Feb",NA,""
"2","","","","",2020,"% of Budget"
"3","Total Net Revenues (1)","1263.5","1201.1","2464.6",NA,""
"4","A.  Net Tax Revenues","1151.2","1064.1","2215.3",NA,""
"5","1.  Domestic Tax Revenues","376.2","339.3","715.4",NA,""
"6","Income Tax","115.1","151.9","267.0",NA,""
"7","Value Added Tax","158.7","99.2","257.9",NA,""
"8","Customs","73.5","71.0","144.4",NA,""
"9","Excises on Beverages","0.9","0.4","1.3",NA,""
"10","Excises on Tobacco","18.4","16.1","34.5",NA,""
"11","Property Tax","9.7","0.6","10.3",NA,""
"12","2.  Clearance Revenue *","700.5","746.1","1446.6",NA,""
"13","Customs","314.3","330.9","645.2",NA,""
"14","Value Added Tax","168.6","187.6","356.2",NA,""
"15","Purchase Tax","1.8","‐3.9","‐2.2",NA,""
"16","Petroleum Excise","215.8","231.5","447.4",NA,""
"17","Income Tax","‐","‐","0.0",NA,""
"18","Other","‐","‐","‐",NA,""
"19","3. Earmarked Collections (3)","109.2","30.2","139.5",NA,""
"20","Property Tax","87.4","16.4","103.8",NA,""
"21","Transportation","12.5","12.1","24.7",NA,""
"22","other","9.3","1.7","11.0",NA,""
"23","4.  Tax Refunds (‐)","34.7","51.5","86.2",NA,""
"24","Fuel","30.0","50.0","80.0",NA,""
"25","Other (2)","4.7","1.5","6.2",NA,""
"26","B.  Nontax Revenues","112.3","137.0","249.3",NA,""
"27","1.  Domestic Fees and Charges","111.7","96.5","208.2",NA,""
"28","Civil Registration Fees","0.5","0.7","1.2",NA,""
"29","Health Fees","8.8","7.9","16.7",NA,""
"30","Health Insurance","30.8","20.3","51.0",NA,""
"31","Transportation","12.5","12.1","24.7",NA,""
"32","Local Government","0.4","0.6","1.0",NA,""
"33","Ministry of Economy","1.3","1.3","2.7",NA,""
"34","Shari'a Courts Fees","0.5","0.4","0.9",NA,""
"35","Land Registration","6.1","8.8","14.9",NA,""
"36","Ministry of Housing","0.0","1.4","1.4",NA,""
"37","Agriculture Services","0.4","0.5","0.9",NA,""
"38","Tourist Fees","0.3","0.3","0.6",NA,""
"39","Telecommunication Fees","5.9","5.4","11.2",NA,""
"40","Ministry of Education","1.6","1.1","2.7",NA,""
"41","High Court of Justice Fees","5.2","5.2","10.5",NA,""
"42","Foreign Affairs","0.1","0.1","0.3",NA,""
"43","Licenses","0.3","0.3","0.6",NA,""
"44","Others","37.0","30.0","66.9",NA,""
"45","Training fees","0.0","0.0","0.0",NA,""
"46","2.  Investments Profits","0.5","40.6","41.1",NA,""
