"","Social.Affairs","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7"
"1","Ministry of Education","223,914","1 76,480","17,646","10,950","‐","‐","‐","1 8,838"
"2","Ministry of Higher Education and Scientific Research","9,247","6,327","6 51","4 55","‐","1 ,382","‐","432"
"3","Ministry of Health","95,875","5 7,859","5 ,110","30,620","‐","‐","‐","2 ,286"
"4","Ministry of Women's Affairs","505","344","34","1 27","‐","‐","‐","0"
"5","Ministry of Social Affairs","71,673","4,142","4 48","5 76","‐","6 6,334","‐","1 73"
"6","Ministry of Information","643","489","49","1 05","‐","‐","‐","‐"
"7","Palestinian Broadcasting Corporation","6,977","4,889","4 48","1 ,581","‐","‐","5 9","‐"
"8","The Palestinian News Agency ‐ WAFA","1,283","989","1 13","1 80","‐","‐","‐","‐"
"9","Al‐Hayat Al‐Jadida Press","693","346","24","3 23","‐","‐","‐","‐"
"10","Higher Council For Youth And Sports","3,298","2,185","2 17","8 95","‐","‐","‐","‐"
"11","Ministry of Culture","1,341","927","1 02","1 60","‐","‐","‐","152"
"12","Dar Al Fatwa and Islamic Research","474","375","28","7 1","‐","‐","‐","‐"
"13","The Ministry of Awqaf and Religious Affairs","10,397","8,897","9 39","4 89","‐","‐","7 2","‐"
"14","Ministry of Labor","3,723","2,731","2 60","7 33","‐","‐","‐","‐"
"15","Total","4 30,044","266,980","2 6,070","47,266","‐","67,716","1 31","21,881"
"16","Grand Total","1,110,703","568,404","55,128","94,525","5 ,643","3 21,434","2 30","65,338"
