"","X","X.1","Wages.and","Social","Use.of.goods","Interest","Transfer","Minor.Capital","Development"
"1","","Total Expenditure","","","","","","",""
"2","","","salaries","contributions","and services","payments","Expenditure","Expenditure","Expenditure"
"3","Governance Sector","","","","","","","",""
"4","President's Office","17,443","1 4,135","1 ,452","1 ,856","‐","‐","‐","‐"
"5","P.L.O. Institutions","121,266","1 5,835","9 18","10,705","‐","9 2,786","‐","1 ,022"
"6","Legislative Council","2,270","1,723","1 91","1 72","‐","185","‐","‐"
"7","Ministers' Council","1,676","1,061","77","4 71","‐","‐","6","62"
"8","General Secretariat for the council of ministers","2,165","1,700","1 80","2 83","‐","‐","1","‐"
"9","Office of the Deputy Prime Minister","59","49","1","9","‐","‐","‐","‐"
"10","State Audit & Administrative Control Bureau","1,966","1,545","1 75","2 46","‐","‐","‐","‐"
"11","General Personnel Office","11,229","9,645","1 ,112","4 72","‐","‐","‐","‐"
"12","Ministry of Finance & Planning","19,085","1 2,007","1 ,068","2 ,053","‐","2 ,109","‐","1 ,848"
"13","Ministry of Jerusalem Affairs","1,968","1,634","30","29","‐","275","‐","‐"
"14","Non Governmental Organization","1,753","572","57","82","‐","1 ,041","‐","‐"
"15","Retirees Pension Allowances","267,390","32","‐","‐","‐","267,358","‐","‐"
"16","Public Debt Interest Payments","23,706","‐","‐","‐","2 3,706","‐","‐","‐"
"17","General Expenditures","1,730","‐","‐","‐","‐","1 ,730","‐","‐"
"18","Financial Reserves","817","‐","‐","‐","‐","817","‐","‐"
"19","General Authority for crossings and borders","9,343","2,621","1 84","3 ,010","‐","‐","‐","3 ,528"
"20","Negotiations Affairs Department","306","220","22","65","‐","‐","‐","‐"
"21","Embassies","18,108","9,262","‐","7 ,737","‐","1 ,109","‐","‐"
"22","Central Election Committee","1,809","‐","‐","1 ,063","‐","‐","‐","745"
"23","Ministry of Interior and National Security","480,007","4 01,658","44,103","15,689","‐","‐","4 0","1 8,518"
"24","Ministry of Justice","9,335","7,665","8 44","8 03","‐","‐","1","22"
"25","Supreme Judicial Council","16,033","1 2,613","1 ,385","1 ,352","‐","‐","‐","683"
"26","Ministry of Foreign Affairs","10,682","9,609","7 35","3 16","‐","‐","2 2","‐"
"27","The Higher Judicial Council","4,393","3,679","3 45","3 69","‐","‐","‐","‐"
"28","Supreme Council for Public Procurement Policies","521","94","8","2 2","‐","‐","‐","397"
"29","The Supreme Constitutional Court","836","768","22","4 6","‐","‐","‐","‐"
"30","Total","1,025,896","508,127","52,910","46,849","23,706","3 67,409","70","26,825"
"31","Infrastructure Sector","","","","","","","",""
"32","Palestinian Water Authority","13,006","2,635","2 29","1 ,596","‐","‐","‐","8 ,546"
"33","Ministry of Energy and Natural Resources","853","596","54","1 25","‐","‐","‐","79"
"34","Ministry of Transportation","6,745","5,650","5 56","5 38","‐","‐","‐","‐"
"35","Ministry of Communications and Information Techno","5,168","4,382","3 90","3 95","‐","‐","‐","‐"
"36","Ministry of Public Works and Housing","10,001","5,995","6 04","5 57","‐","‐","‐","2 ,844"
"37","Ministry of Local Government","14,679","3,695","3 62","4 39","‐","2 ,126","‐","8 ,057"
"38","Environmental Quality Authority","2,259","1,761","2 02","1 30","‐","‐","‐","166"
"39","Total","5 2,711","24,714","2,398","3,782","‐","2,126","‐","19,691"
"40","Economic Affairs","","","","","","","",""
"41","Palestinian Central Bureau of Statistics","5,063","2,120","2 37","7 65","‐","‐","‐","1 ,941"
"42","Ministry of Tourism and Antiquities","3,713","2,512","2 16","6 01","‐","‐","2 9","3 54"
"43","Land Authority","3,722","3,101","2 79","3 42","‐","‐","‐","‐"
"44","Ministry of National Economy","7,358","6,138","7 05","5 14","‐","‐","‐","‐"
"45","Industrial Zones Board","662","558","65","40","‐","‐","‐","‐"
"46","Specifications and Standards Office","1,519","1,237","1 22","1 60","‐","‐","‐","‐"
"47","General Authority for Investment Promotion","398","305","35","57","‐","‐","‐","‐"
"48","Ministry of Agriculture","14,303","1 1,769","1 ,051","7 27","‐","‐","‐","755"
"49","Form of Land & Water  intercession","4,022","3,798","93","90","‐","‐","0","42"
"50","Total","4 0,759","31,538","2,804","3,295","‐","‐","29","3,092"
