"","�.س�.�..�.�.�.ع�.ي.�.�.","X","X.1","X.2","X.3","X.4"
"1","المولزنة","الموازنة 2020","كانون ثاني - شباط","شباط","كانون ثاني",""
"2","","","2464.6","1201.1","1263.5","اجمالي صافي الايرادات  )أساس الالتزام("
"3","","","2384.1","1159.7","1224.5","اجمالي صافي الايرادات  )أساس النقدي("
"4","","","1104.2","506.5","597.7","اجمالي الايرادات المحلية )أساس الالتزام ("
"5","","","715.4","339.3","376.2","الايرادات الضريبية"
"6","","","249.3","137.0","112.3","الايرادات غير الضريبية"
"7","","","139.5","30.2","109.2","تحصيلات مخصصة  (1)"
"8","","","1446.6","746.1","700.5","اجمالي ايرادات المقاصة )أساس الالتزام("
"9","","","1362.8","704.2","658.6","اجمالي ايرادات المقاصة )أساس النقدي("
"10","","","83.8","41.9","41.9","(2)تعديلات ايرادات المقاصة"
"11","","","86.2","51.5","34.7","الارجاعات الضريبية )أساس الالتزام("
"12","","","82.9","51.0","31.8","الارجاعات الضريبية )الاساس النقدي("
"13","","","3.4","0.5","2.9","الارجاعات الضريبية )متأخرات("
"14","","","2207.9","1198.8","1009.0","اجمالي النفقات و صافي الاقراض ) اساس الالتزام ("
"15","","","1869.2","1085.7","783.5","اجمالي النفقات  )نقدي("
"16","","","338.6","113.1","225.5","اجمالي النفقات  )متأخرات("
"17","","","103.3","49.5","53.8","الرواتب و الأجور ) متأخرات("
"18","","","89.8","34.6","55.2","مساهمات اجتماعية )متأخرات( ) الحكومة ("
"19","","","27.1","26.9","0.2","السلع و الخدمات ) متأخرات("
"20","","","10.1","8.8","1.3","تحويلية ) متأخرات("
"21","","","0.2","0.2","0.0","رأسمالية صغرى ) متأخرات("
"22","","","5.8","0.0","5.8","فائدة ) متأخرات("
"23","","","5.8","0.0","5.8","محلي ) متأخرات ("
"24","","","0.0","0.0","0.0","خارجي ) متأخرات("
"25","","","102.3","-6.9","109.2","دفعات مخصصة ) متأخرات (1)("
"26","","","256.7","2.3","254.4","الرصيد الحالي ) التزام("
"27","","","514.9","74.0","440.9","الرصيد الحالي ) نقدي("
"28","","","71.6","65.3","6.3","النفقات التطويرية ) أساس الالتزام("
"29","","","29.6","23.3","6.2","النفقات التطويرية ) أساس النقدي("
"30","","","42.0","42.0","0.0","النفقات التطويرية ) متأخرات("
"31","","","185.1","-63.0","248.1","الرصيد )أساس الالتزام("
"32","","","485.3","50.6","434.7","الرصيد )الأساس النقدي("
