"","�.س�.�..�.�.�.ع�.ي.�.�.","X","X.1","X.2","X.3","X.4","X.5","X.6"
"1","الموازنة","الموازنة 2020","كانون ثاني - شباط","شباط","كانون ثاني","",NA,NA
"2","","","152.9","150.8","2.1","اجمالي التمويل الخارجي",NA,NA
"3","","","138.4","138","-","دعم الموازنة1",NA,1
"4","","","52.4","52","-","أ.المنح العربية",NA,NA
"5","","","52.4","52","-","المملكة العربية السعودية",NA,NA
"6","","","-","-","-","الجزائر",NA,NA
"7","","","-","-","-","قطر",NA,NA
"8","","","-","-","-","عمان",NA,NA
"9","","","-","-","-","مصر",NA,NA
"10","","","-","-","-","الكويت",NA,NA
"11","","","86.0","86.0","-","ب. الدول المانحة",NA,NA
"12","","","-","-","-","الولايات المتحدة الأمريكية",NA,NA
"13","","","-","-","-","الهند",NA,NA
"14","","","-","-","-","فرنسا",NA,NA
"15","","","-","-","-","ماليزيا",NA,NA
"16","","","-","-","-","تركيا",NA,NA
"17","","","-","-","-","الألية الفلسطينية الاوروبية لدعم وإدارة المساعدات الاجتماعية و الاقتصادية",NA,NA
"18","","","-","-","-","1)(موظفي الخدمة المدنية و المتقاعدين",NA,NA
"19","","","-","-","-","دعم حالات اجتماعية",NA,NA
"20","","","-","-","-","دعم مستشفيات القدس",NA,NA
"21","","","86.0","86.0","-","البنك الدولي",NA,NA
"22","","","86.0","86.0","-","منح من خلال البنك الدولي )دول متعددة(",NA,NA
"23","","","-","-","-","منح تطويرية",NA,NA
"24","","","-","-","-","منحة استقرار السياسة المالية وتنمية بيئة الأعمال",NA,NA
"25","","","-","-","-","برنامج دعم الخدمات الطارئ",NA,NA
"26","","","-","-","-","مشروع أزمة الغذاء العالمي",NA,NA
"27","","","-","-","-","شبكة الأمان الاجتماعي",NA,NA
"28","","","-","-","-","منحة قروض البنك الدولي IDA",NA,NA
"29","","","-","-","-","مشروع تحسين الحماية الاجتماعية",NA,NA
"30","","","14.5","12.3","2.1","2 التمويل التطويري",NA,2
"31","","","-","-","-","بناء قدرات للمؤسسات الفلسطينية التنظيمية و الاقتصادية",NA,NA
"32","","","-","-","-","التمويل المشترك لدعم مشاريع وزارة التربية والتعليم",NA,NA
"33","","","-","-","-","دعم المنطقة الصناعية: أريحا و الأغوار",NA,NA
"34","","","-","-","-","مساعدة الزراعة في الضفة الغربية",NA,NA
"35","","","-","-","-","اعادة اعمار القطاع الخاص في غزة",NA,NA
"36","","","2.3","0.2","2.1","منح قديمة لصالح الوزارات",NA,NA
"37","","","-","-","-","اصلاح نظام الشراء",NA,NA
"38","","","12.2","12.2","-","اخرى",NA,NA
