"","�.س�.�..�.�.�.غ�.ي","�.�.�.�.�.ز�.�.","X","X.1","X.2","X.3"
"1","من الموازنة",2020,"كانون ثاني","","",""
"2","",NA,"1,224.5","","","اجمالي صافي الايرادات"
"3","",NA,"597.7","","","اجمالي الايرادات المحلية"
"4","",NA,"376.2","","","الضريبية"
"5","",NA,"112.3","","","غير الضريبية"
"6","",NA,"109.2","","","تحصيلات مخصصة (1)"
"7","",NA,"658.6","","","ايرادات المقاصة"
"8","",NA,"31.8","","","(-)الارجاعات الضريبية"
"9","",NA,"30.0","","","وقود"
"10","",NA,"1.8","","","أخرى"
"11","",NA,"783.5","","","اجمالي النفقات و صافي الاقراض"
"12","",NA,"479.3","","","الرواتب والأجور"
"13","",NA,"-","","","مساهمات اجتماعية  ) الحكومة("
"14","",NA,"25.6","#","","استخدام السلع و الخدمات"
"15","",NA,"159.7","#","","تحويلية"
"16","",NA,"-","#","","رأسمالية صغرى"
"17","",NA,"12.3","","","فائدة"
"18","",NA,"12.3","","","محلي"
"19","",NA,"0.0","","","خارجي"
"20","",NA,"106.7","","","صافي الاقراض (2)"
"21","",NA,"-","","","دفعات مخصصة (1)"
"22","",NA,"-","","","ضريبة الأملاك"
"23","",NA,"-","","","رسوم المواصلات"
"24","",NA,"-","","","أخرى"
"25","",NA,"440.9","","","الرصيد الحالي"
"26","",NA,"6.2","","","النفقات التطويرية"
"27","",NA,"434.7","","","الرصيد"
"28","",NA,"-434.7","","","مصادر التمويل"
"29","",NA,"0.0","","","الدعم الخارجي للموازنة"
"30","",NA,"2.1","","","التمويل التطويري"
"31","",NA,"-389.2","","(3)","صافي التمويل من البنوك المحلية"
"32","",NA,"-46.9","","متأخرات السلع والخدمات والتطويري  (4)",""
"33","",NA,"-0.7","","","الرصيد المتبقي"
"34","",NA,"","","","سعر الدولار، الموازنة"
"35","",NA,"3.46","","سعر الدولار، فعلي )معدل شهري(",""
