"","�.س�.�..�.�.�.غ�.ي","�.�.�.�.�.ز�.�.","X","X.1"
"1","من الموازنة",2020,"كانون ثاني",""
"2","",NA,"1263.5","اجمالي صافي الايرادات  (1)"
"3","",NA,"1151.2","أ. صافي الضرائب"
"4","",NA,"376.2","ايرادات الضرائب المحلية1"
"5","",NA,"115.1","ضريبة الدخل"
"6","",NA,"158.7","ضريبة القيمة المضافة"
"7","",NA,"73.5","الجمارك"
"8","",NA,"0.9","مكوس المشروبات"
"9","",NA,"18.4","مكوس السجائر"
"10","",NA,"9.7","ضريبة الأملاك"
"11","",NA,"700.5","ايرادات المقاصة  *2"
"12","",NA,"314.3","الجمارك"
"13","",NA,"168.6","ضريبة القيمة المضافة"
"14","",NA,"1.8","ضريبة الشراء"
"15","",NA,"215.8","ضريبة المحروقات"
"16","",NA,"-","ضريبة الدخل"
"17","",NA,"-","أخرى"
"18","",NA,"109.2","تحصيلات مخصصة  (3)3"
"19","",NA,"87.4","ضريبة الأملاك"
"20","",NA,"12.5","اتنقل والمواصلات"
"21","",NA,"9.3","أخرى"
"22","",NA,"34.7","الارجاعات الضريبية (-)4"
"23","",NA,"30.0","وقود"
"24","",NA,"4.7","أخرى  (2)"
"25","",NA,"112.3","ب. الايرادات غير الضريبية"
"26","",NA,"111.7","ايرادات الرسوم غير الضريبية المحلية.1"
"27","",NA,"0.5","ضرائب التسجيل المدني"
"28","",NA,"8.8","رسوم خدمات صحية"
"29","",NA,"30.8","رسوم تأمين صحي"
"30","",NA,"12.5","رسوم المواصلات"
"31","",NA,"0.4","رسوم الحكم المحلي"
"32","",NA,"1.3","رسوم وزارة الاقتصاد"
"33","",NA,"0.5","رسوم المحاكم الشرعية"
"34","",NA,"6.1","رسوم سلطة الأراضي"
"35","",NA,"0.0","وزارة الاسكان"
"36","",NA,"0.4","رسوم وزارة الزراعة"
"37","",NA,"0.3","رسوم السياحة"
"38","",NA,"5.9","رسوم البريد والاتصالات"
"39","",NA,"1.6","رسوم التربية والتعليم"
"40","",NA,"5.2","رسوم مجلس القضاء الأعلى"
"41","",NA,"0.1","رسوم خارجية"
"42","",NA,"0.3","رخص مزاولة المهنة"
"43","",NA,"37.0","أخرى"
"44","",NA,"0.0","رسوم تدريب"
"45","",NA,"0.5","عوائد استثمارية.3"
