"","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","�.�.�.�.�.�..�.�.�.�.تص�.�.ي�."
"1","",0,"-","-","-","146","118","1,060","1,324","الجهاز المرك زي للإحصاء الفلسطيني"
"2","-",NA,"-","-","-","142","108","1,249","1,499","وزارة السيا حة والآثار"
"3","-",NA,"-","-","-","127","139","1,549","1,815","سلطة الأرا ضي"
"4","-",NA,"-","-","-","189","361","3,095","3,646","وزارة الاقت صاد الوطني"
"5","-",NA,"-","-","-","16","31","271","319","مجلس المنا طق الصناعية"
"6","-",NA,"-","-","-","63","61","616","740","مكتب الموا صفات والمقاييس"
"7","-",NA,"-","-","-","15","18","154","187","الهيئة العامة لتشجيع الاستثمار"
"8","-",NA,"-","-","-","337","526","5,841","6,703","وزارة الزرا عة"
"9","",2,"-","-","-","(3)","46","1,926","1,972","هيئة تسوية ال مياه والأراضي"
"10","",2,"-","-","-","1,032","1,407","15,762","18,203","مجموع"
"11","",NA,"","","","","","","","الشؤون الاجتماعية"
"12","21",NA,"-","-","-","8,235","17,783","180,386","206,425","وزارة التربي ة والتعليم"
"13","-",NA,"-","-","-","389","631","6,715","7,736","وزارة التربي ة والتعليم العالي"
"14","-",NA,"-","-","-","9,037","5,091","56,605","70,733","وزارة الصح ة"
"15","-",NA,"-","-","-","27","32","321","380","وزارة شؤو ن المرأة"
"16","94",NA,"-","45,104","-","292","446","4,133","50,069","وزارة الشؤو ن الاجتماعية"
"17","-",NA,"-","-","-","31","49","479","558","وزارة الإعلا م"
"18","-",NA,"-","-","-","361","445","5,013","5,818","هيئة الاذاعة الفلسطينية"
"19","-",NA,"-","-","-","69","114","986","1,168","وكالة الأنباء الفلسطينية - وفا"
"20","-",NA,"-","-","-","17","24","349","390","مطبعة الحياة  الجديدة"
"21","-",NA,"-","-","-","121","213","2,155","2,489","المجلس الاع لى للشباب والرياضة"
"22","-",NA,"-","-","-","67","102","919","1,087","وزارة الثقافة"
"23","-",NA,"-","-","-","26","27","368","421","دار الفتوى و  البحوث الإسلامية"
"24","-",NA,"-","-","-","284","939","9,024","10,247","وزارة الأوقا ف والشؤون الدينية"
"25","-",NA,"-","-","-","160","264","2,743","3,166","وزارة العمل"
"26","115",NA,"-","45,104","-","19,114","26,161","270,195","360,68 9","مجموع"
"27","6,267",NA,"-","160,920","18,063","25,781","55,215","533,150","799,39 6","المبلغ الإجمال ي"
