"","X.","�.�.�.�.�.","X"
"1","-","فرنسا",NA
"2","-","ماليزيا",NA
"3","-","تركيا",NA
"4","-","الألية الفلسطينية الاوروبية لدعم وإدارة المساعدات الاجتماعية والاقتصادية",NA
"5","-","1)(موظفي الخدمة المدنية و المتقاعدين",NA
"6","-","دعم حالات اجتماعية",NA
"7","-","دعم مستشفيات القدس",NA
"8","-","البنك الدولي",NA
"9","-","منح من خلال البنك الدولي )دول متعددة(",NA
"10","-","منح تطويرية",NA
"11","-","منحة استقرار السياسة المالية وتنمية بيئة الأعمال",NA
"12","-","برنامج دعم الخدمات الطارئ",NA
"13","-","مشروع أزمة الغذاء العالمي",NA
"14","-","شبكة الأمان الاجتماعي",NA
"15","-","منحة قروض البنك الدولي IDA",NA
"16","-","مشروع تحسين الحماية الاجتماعية",NA
"17","2.1","2 التمويل التطويري",2
"18","-","بناء قدرات للمؤسسات الفلسطينية التنظيمية و الاقتصادية",NA
"19","-","التمويل المشترك لدعم مشاريع وزارة التربية والتعليم",NA
