"","X","Total","Wages.and","Social","Use.of.goods","Interest","Transfer","Minor.Capital","Development"
"1","","Expenditure","salaries","contributions","and services","payments","Expenditure","Expenditure","Expenditure"
"2","1. General public services","114,636","35,891","3,363","10,501","15,647","42,969","37","6,227"
"3","President's Office","13,523","7,176","715","5,633","-","-","-","-"
"4","P.L.O. Institutions","43,960","4,439","475","396","-","38,634","0","15"
"5","Legislative Council","1,118","8 61","96","84","-","77","-","-"
"6","Ministers' Council","690","5 00","38","152","-","-","-","-"
"7","General Secretariat for the council of ministers","1,151","9 79","78","90","-","-","4","-"
"8","Office of the Deputy Prime Minister","35","30","1","5","-","-","-","-"
"9","State Audit & Administrative Control Bureau","990","7 90","87","113","-","-","-","-"
"10","Ministry of Local Government","5,653","1,819","181","190","-","1,502","-","1,961"
"11","Ministry of Finance & Planning","7,823","6,200","547","956","-","-","32","89"
"12","Ministry of Foreign Affairs","5,138","4,735","311","92","-","-","-","-"
"13","Embassies","0","-","-","-","-","-","-","-"
"14","Negotiations Affairs Department","127","1 10","12","5","-","-","-","-"
"15","General Personnel Office","5,520","4,742","567","211","-","-","-","-"
"16","Palestinian Central Bureau of Statistics","2,528","1,063","118","341","-","-","-","1,006"
"17","Ministry of Jerusalem Affairs","2,130","8 56","13","14","-","1,090","-","157"
"18","General Authority for crossings and borders","3,581","1,292","98","2,192","-","-","-","-"
"19","Non Governmental Organization","1,010","2 61","26","27","-","6 96","-","-"
"20","Central Election Committee","3,000","-","-","-","-","-","-","3,000"
"21","General Expenditures","0","-","-","-","-","-","-","-"
"22","Public Debt Interest Payments","15,647","-","-","-","15,647","-","-","-"
"23","Financial Reserves","970","-","-","-","-","9 70","-","-"
"24","Leadership and mastery","41","39","1","1","-","-","-","-"
"25","2. Defense","-","-","-","-","-","-","-","-"
"26","3. Public order and safety","241,795","205,130","23,700","3,603","0","0","167","9,196"
"27","Ministry of Interior and National Security","224,797","1 92,602","22,416","2,452","-","-","1 40","7,188"
"28","Ministry of Justice","6,667","3,877","422","381","-","-","-","1,987"
"29","Supreme Judge Department","2,044","1,788","169","86","-","-","-","-"
"30","High Judicial Council","7,814","6,446","676","663","-","-","27","2"
"31","The Supreme Constitutional Court","394","3 67","13","15","-","-","-","-"
"32","Supreme Council for Public Procurement Policies","80","50","5","6","-","-","-","19"
"33","4. Economic affairs","24,218","19,263","1,818","1,488","0","0","15","1,633"
"34","Ministry of National Economy","3,626","3,011","341","274","-","-","-","-"
"35","Specifications and Standards Office","727","6 07","60","60","-","-","-","-"
"36","Ministry of Agriculture","7,325","5,819","515","366","-","-","-","625"
"37","Ministry of Energy and Natural Resources","356","3 04","27","25","-","-","-","-"
"38","Ministry of Transportation","3,609","3,048","278","284","-","-","-","-"
"39","Ministry of Communications and Information Technology","3,201","2,124","184","117","-","-","-","776"
"40","Ministry of Tourism and Antiquities","1,546","1,243","108","174","-","-","15","6"
"41","Ministry of Labor","3,329","2,690","260","153","-","-","-","227"
"42","General Authority for Investment Promotion","170","1 41","16","13","-","-","-","-"
"43","Industrial Zones Board","329","2 76","31","21","-","-","-","-"
"44","5. Environmental protection","1,008","855","98","55","0","0","0","0"
"45","Environmental Quality Authority","1,008","8 55","98","55","-","-","-","-"
"46","6. Housing and community amenities","15,528","6,571","573","553","0","0","0","7,831"
"47","Ministry of Public Works and Housing","3,390","2,884","270","236","-","-","-","-"
"48","Land Authority","1,952","1,529","135","107","-","-","-","180"
"49","Palestinian Water Authority","6,886","1,336","112","145","-","-","-","5,293"
"50","Form of Land & Water  intercession","3,301","8 22","56","65","-","-","-","2,357"
"51","7. Health","89,134","60,446","5,229","22,304","0","0","0","1,155"
"52","Ministry of Health","89,134","60,446","5,229","22,304","-","-","-","1,155"
"53","8. Recreation, culture, and religion","21,306","17,882","1,865","1,287","0","0","0","272"
"54","Higher Council For Youth And Sports","3,067","2,383","211","284","0","-","-","190"
"55","Ministry of Culture","1,154","9 18","102","114","-","-","-","20"
"56","Ministry of Information","543","4 57","47","39","-","-","-","-"
"57","Palestinian Broadcasting Corporation","4,504","3,730","428","345","-","-","-","-"
"58","The Palestinian News Agency - WAFA","1,170","9 43","110","117","-","-","-","-"
"59","Al-Hayat Al-Jadida Press","504","3 50","24","69","-","-","-","62"
"60","The Ministry of Awqaf and Religious Affairs","9,902","8,712","915","276","-","-","-","-"
"61","Dar Al Fatwa and Islamic Research","462","3 89","29","43","-","-","-","-"
"62","9. Education","236,263","200,378","19,471","13,573","0","361","0","2,480"
"63","Ministry of Education","225,897","1 91,695","18,718","13,003","-","-","-","2,480"
"64","Ministry of Higher Education and Scientific Research","10,366","8,683","753","570","-","3 61","-","-"
"65","10. Social protection","130,107","4,532","482","359","0","124,424","0","312"
"66","Ministry of Social Affairs","49,818","4,138","450","297","-","44,621","-","312"
"67","Ministry of Women's Affairs","451","3 58","32","62","-","-","-","-"
"68","Retirees Pension Allowances","79,838","36","-","-","-","79,802","-","-"
"69","Totals","873,996","550,948","56,600","53,723","15,647","167,754","218","29,107"
