"","X","X.1","Wages.and","Social","Use.of.goods","Interest","X.2","Transfer","Minor.Capital","Development"
"1","","Total Expenditure","","","","",NA,"","",""
"2","","","salaries","contributions","and services","payments",NA,"Expenditure","Expenditure","Expenditure"
"3","Governance Sector","","","","","",NA,"","",""
"4","President's Office","1 3,523","7 ,175.62","7 14.67","5 ,633.17","-",NA,"-","-","-"
"5","P.L.O. Institutions","4 3,960","4 ,438.79","4 75.38","3 96.34","-",NA,"3 8,634.22","0 .27","1 4.76"
"6","Legislative Council","1,118","860.80","9 5.95","8 4.43","-",NA,"7 6.56","-","-"
"7","Ministers' Council","690","500.04","3 7.81","1 52.08","-",NA,"-","-","-"
"8","General Secretariat for the council of ministers","1,151","978.96","7 8.11","8 9.83","-",NA,"-","4 .46","-"
"9","Office of the Deputy Prime Minister","3 5","3 0.11","0 .53","4 .62","-",NA,"-","-","-"
"10","State Audit & Administrative Control Bureau","990","789.84","8 7.06","1 12.97","-",NA,"-","-","-"
"11","General Personnel Office","5,520","4 ,741.81","5 66.78","2 11.30","-",NA,"-","-","-"
"12","Ministry of Finance & Planning","7,823","6 ,200.03","5 46.56","9 55.53","-",NA,"-","3 1.88","8 9.22"
"13","Ministry of Jerusalem Affairs","2,130","855.76","1 3.44","1 4.28","-",NA,"1 ,090.11","-","1 56.54"
"14","Non Governmental Organization","1,010","260.75","2 6.33","2 7.30","-",NA,"696.04","-","-"
"15","Retirees Pension Allowances","7 9,838","3 5.90","-","-","-",NA,"7 9,802.19","-","-"
"16","Public Debt Interest Payments","1 5,647","-","-","-","1 5,647.32",NA,"-","-","-"
"17","General Expenditures","-","-","-","-","-",NA,"-","-","-"
"18","Financial Reserves","970","-","-","-","-",NA,"969.92","-","-"
"19","General Authority for crossings and borders","3,581","1 ,291.81","9 7.93","2 ,191.53","-",NA,"-","-","-"
"20","Negotiations Affairs Department","127","110.38","1 1.82","4 .95","-",NA,"-","-","-"
"21","Embassies","-","-","-","-","-",NA,"-","-","-"
"22","Central Election Committee","3,000","-","-","-","-",NA,"-","-","3 ,000.00"
"23","Ministry of Interior and National Security","224,797","192,601.55","2 2,415.68","2 ,451.82","-",NA,"-","1 39.51","7 ,188.15"
"24","Ministry of Justice","6,667","3 ,877.12","4 22.33","3 80.99","-",NA,"-","-","1 ,986.68"
"25","High Judicial Council","7,814","6 ,445.56","6 75.66","6 63.41","-",NA,"-","2 7.00","2.28"
"26","Ministry of Foreign Affairs","5,138","4 ,735.30","3 10.68","9 1.52","-",NA,"-","-","-"
"27","Supreme Judge Department","2,044","1 ,788.37","1 69.25","8 5.94","-",NA,"-","-","-"
"28","Supreme Council for Public Procurement Policies","8 0","5 0.40","4 .53","5 .90","-",NA,"-","-","1 8.92"
"29","The Supreme Constitutional Court","394","366.96","1 2.56","1 4.91","-",NA,"-","-","-"
