"","X","X.1","Dec..2019","Jan..2020","Feb..2020","Mar..2020","Apr..2020","May.2020","Jun..2020","Jul..2020"
"1","Total Public Debt",NA,"2,795.1","2,868.0","2,892.6","2,886.6","2,926.5","2,946.8","3,081.0","3,225.6"
"2","A. Total Domestic Debt",NA,"1,577.2","1,626.9","1,629.6","1,597.3","1,637.9","1,656.9","1,786.9","1,923.0"
"3","Total Domestic debt ( short term)",NA,"1,235.0","1,298.8","1,337.0","1,307.4","1,350.1","1,370.6","1,338.9","1,418.3"
"4","Total Domestic debt ( long term)",NA,"342.2","328.1","292.6","289.9","287.8","286.3","448.0","504.6"
"5","Bank Loans",NA,"943.6","934.7","921.9","902.7","912.0","912.8","1,091.7","1,161.35"
"6","Short term",NA,"601.4","606.6","629.3","612.8","624.2","626.6","643.7","656.73"
"7","Long term",NA,"342.2","328.1","292.6","289.9","287.8","286.3","448.0","504.62"
"8","Overdraft",NA,"315.5","372.5","386.1","386.0","433.5","444.8","380.3","446.0"
"9","Short term",NA,"315.5","372.5","386.1","386.0","433.5","444.8","380.3","445.96"
"10","Petroleum Authority loans",NA,"303.4","305.1","306.8","294.4","277.9","284.9","300.2","300.82"
"11","Short term",NA,"303.4","305.1","306.8","294.4","277.9","284.9","300.2","300.82"
"12","Other public institutions  loans(1)",NA,"14.6","14.7","14.7","14.2","14.5","14.4","14.7","14.83"
"13","Short term",NA,"14.6","14.7","14.7","14.2","14.5","14.4","14.7","14.83"
"14","B. Total Foreign Debt**",NA,"1,218.0","1,241.1","1,263.0","1,289.3","1,288.6","1,289.9","1,294.1","1,302.7"
"15","Total Foreign Debtt (short term)",NA,"155.6","156.8","149.5","151.7","154.9","154.1","157.1","158.69"
"16","Total Foreign Deb (long term)",NA,"1,062.4","1,084.3","1,113.5","1,137.7","1,133.7","1,135.8","1,136.9","1144.00"
"17","1. Arab Financial Institutions",NA,"739.2","764.0","788.6","815.4","816.4","814.2","8 14.7","815.19"
"18","Al Aqsa Fund",NA,"513.0","513.0","513.0","513.0","513.0","513.0","513.0","513.04"
"19","Arab Fund for Economic & Social Development",NA,"14.3","14.2","14.1","13.7","14.0","14.0","14.0","14.12"
"20","Islamic Development Bank",NA,"36.9","36.7","36.5","36.4","3 6.4","3 6.5","37.0","37.44"
"21","Qatar National Bank  (2)",NA,"175.0","200.0","225.0","252.2","253.0","250.6","250.6","250.60"
"22","2. International and Regional Institutions",NA,"336.3","336.1","335.7","334.0","333.8","334.5","335.2","3 37.1"
"23","World Bank (3)",NA,"272.7","272.9","273.2","273.2","273.4","273.5","273.6","273.77"
"24","European Investment Bank",NA,"39.0","38.6","38.0","36.2","35.8","36.5","37.0","38.59"
"25","IFAD",NA,"2.0","2.0","2 .0","2.0","2.0","2.0","2.0","2.02"
"26","OPEC",NA,"22.4","22.4","22.4","22.4","22.4","22.4","22.5","22.47"
"27","KFW(4)",NA,"0.2","0.2","0.2","0.2","0.2","0.2","0.2","0.20"
"28","3. Bilateral Loans",NA,"142.5","141.0","138.7","139.9","138.4","141.1","144.2","1 50.4"
"29","Spain",NA,"78.2","77.4","76.1","76.8","75.9","7 7.4","78.4","81.78"
"30","Italy(5)",NA,"64.3","6 3.6","62.6","63.1","62.5","63.7","65.8","68.67"
