"","X","Total","Wages.and","Social","Use.of.goods","Interest","Transfer","Minor.Capital","Development"
"1","","Expenditure","salaries","contributions","and services","payments","Expenditure","Expenditure","Expenditure"
"2","1. General public services","213,971","58,634","3,342","36,689","17,011","78,284","979","19,033"
"3","President's Office","9,627","7,177","710","1 ,700","‐","‐","39","‐"
"4","P.L.O. Institutions","88,671","15,009","468","14,429","‐","58,440","9","316"
"5","Legislative Council","1,126","855","94","85","‐","92","‐","‐"
"6","Ministers' Council","1,081","677","41","230","‐","‐","52","81"
"7","General Secretariat for the council of ministers","1,114","892","90","133","‐","‐","‐","‐"
"8","Office of the Deputy Prime Minister","61","37","1","23","‐","‐","‐","‐"
"9","State Audit & Administrative Control Bureau","982","771","86","126","‐","‐","‐","‐"
"10","Ministry of Local Government","6,798","1,918","181","229","‐","1,103","‐","3,366"
"11","Ministry of Finance & Planning","16,433","6,571","533","798","‐","7,969","316","246"
"12","Ministry of Foreign Affairs","5,405","4,939","321","146","‐","‐","‐","‐"
"13","Embassies","24,035","11,265","‐","11,342","‐","1,105","323","‐"
"14","Negotiations Affairs Department","142","118","12","12","‐","‐","‐","‐"
"15","General Personnel Office","5,598","4,816","555","228","‐","‐","‐","‐"
"16","Palestinian Central Bureau of Statistics","2,652","1,079","117","440","‐","‐","‐","1,016"
"17","Ministry of Jerusalem Affairs","6,085","810","14","29","‐","2,790","‐","2,442"
"18","General Authority for crossings and borders","17,781","1,410","91","4 ,868","‐","‐","240","11,172"
"19","Non Governmental Organization","6,422","291","28","38","‐","6,065","‐","‐"
"20","Central Election Committee","1,833","‐","‐","1 ,833","‐","‐","‐","‐"
"21","General Expenditures","129","‐","‐","‐","‐","129","‐","‐"
"22","Public Debt Interest Payments","17,011","‐","‐","‐","17,011","‐","‐","‐"
"23","Financial Reserves","590","‐","‐","‐","‐","590","‐","‐"
"24","Leadership and mastery","394","‐","‐","‐","‐","‐","‐","394"
"25","2. Defense","0","‐","‐","‐","‐","‐","‐","‐"
"26","3. Public order and safety","333,248","238,305","23,420","48,865","0","0","226","22,431"
"27","Ministry of Interior and National Security","317,217","225,724","22,133","46,881","‐","‐","226","22,252"
"28","Ministry of Justice","5,012","3,781","417","767","‐","‐","‐","49"
"29","Supreme Judge Council","8,222","6,520","686","1 ,016","‐","‐","‐","‐"
"30","The Higher Judicial Council","2,205","1,835","169","157","‐","‐","‐","44"
"31","The Supreme Constitutional Court","439","390","11","38","‐","‐","‐","‐"
"32","Supreme Council for Public Procurement Policies","152","56","4","6","‐","‐","‐","86"
"33","4. Economic affairs","43,817","18,861","1,832","4,174","0","11,593","2","7,355"
"34","Ministry of National Economy","3,564","3,005","345","214","‐","‐","‐","‐"
"35","Specifications and Standards Office","812","662","61","89","‐","‐","‐","‐"
"36","Ministry of Agriculture","8,685","5,118","517","693","‐","‐","‐","2,357"
"37","Ministry of Energy and Natural Resources","16,737","341","27","54","‐","11,593","‐","4,721"
"38","Ministry of Transportation","3,653","2,921","276","456","‐","‐","‐","‐"
"39","Ministry of Communications and Information Technology","4,664","2,265","190","2 ,209","‐","‐","‐","‐"
"40","Ministry of Tourism and Antiquities","1,822","1,321","109","231","‐","‐","‐","162"
"41","Ministry of Labor","3,332","2,771","258","186","‐","‐","2","115"
"42","General Authority for Investment Promotion","194","158","17","19","‐","‐","‐","‐"
"43","Industrial Zones Board","354","298","31","25","‐","‐","‐","‐"
