"","X","Total","Wages.and","Social","Use.of.goods","Interest","X.1","Transfer","Minor.Capital","Development"
"1","","Expenditure","salaries","contributions","and services","payments",NA,"Expenditure","Expenditure","Expenditure"
"2","5. Environmental protection","1,071","857","98","64","0",NA,"0","0","52"
"3","Environmental Quality Authority","1,071","857","98","64","‐",NA,"‐","‐","52"
"4","6. Housing and community amenities","19,964","6,903","598","2,003","0",NA,"0","0","10,461"
"5","Ministry of Public Works and Housing","6,649","2,934","298","277","‐",NA,"‐","‐","3,141"
"6","Land Authority","2,006","1,653","140","148","‐",NA,"‐","‐","65"
"7","Palestinian Water Authority","7,916","1,466","113","1 ,510","‐",NA,"‐","‐","4,826"
"8","Form of Land & Water  intercession","3,394","850","47","69","‐",NA,"‐","‐","2,428"
"9","7. Health","104,174","62,083","5,135","34,021","0",NA,"0","933","2,003"
"10","Ministry of Health","104,174","62,083","5,135","34,021","‐",NA,"‐","933","2,003"
"11","8. Recreation, culture, and religion","29,665","19,485","1,897","4,125","0",NA,"0","39","4,119"
"12","Higher Council For Youth And Sports","3,316","2,346","213","718","‐",NA,"‐","39","‐"
"13","Ministry of Culture","1,468","965","104","258","‐",NA,"‐","‐","141"
"14","Ministry of Information","570","491","48","31","‐",NA,"‐","‐","‐"
"15","Palestinian Broadcasting Corporation","8,061","5,099","445","2 ,517","‐",NA,"‐","‐","‐"
"16","The Palestinian News Agency ‐ WAFA","1,273","996","112","165","‐",NA,"‐","‐","‐"
"17","Al‐Hayat Al‐Jadida Press","4,616","495","24","119","‐",NA,"‐","‐","3,978"
"18","The Ministry of Awqaf and Religious Affairs","9,922","8,723","923","277","‐",NA,"‐","‐","‐"
"19","Dar Al Fatwa and Islamic Research","438","370","28","40","‐",NA,"‐","‐","‐"
"20","9. Education","238,540","192,972","19,040","11,001","0",NA,"2,417","0","13,109"
"21","Ministry of Education","228,247","186,667","18,404","10,565","‐",NA,"‐","‐","12,611"
"22","Ministry of Higher Education and Scientific Research","10,292","6,305","637","436","‐",NA,"2,417","‐","498"
"23","10. Social protection","543,714","4,500","481","457","0",NA,"537,805","0","471"
"24","Ministry of Social Affairs","257,039","4,217","449","392","‐",NA,"251,544","‐","438"
"25","Ministry of Women's Affairs","479","348","32","65","‐",NA,"‐","‐","33"
"26","Retirees Pension Allowances","286,196","(65)","‐","‐","‐",NA,"286,261","‐","‐"
"27","Totals","1,528,165","602,601","55,843","141,398","17,011",NA,"630,099","2,180","79,034"
