"","X","X.1","Wages.and","Social","Use.of.goods","Interest","Transfer","Minor.Capital","Development"
"1","","Total Expenditure","","","","","","",""
"2","","","salaries","contributions","and services","payments","Expenditure","Expenditure","Expenditure"
"3","Governance Sector","","","","","","","",""
"4","President's Office","9,627","7 ,177","710","1,700","‐","‐","39","‐"
"5","P.L.O. Institutions","88,671","15,009","468","1 4,429","‐","5 8,440","9","3 16"
"6","Legislative Council","1,126","855","9 4","8 5","‐","92","‐","‐"
"7","Ministers' Council","1,081","677","4 1","230","‐","‐","52","8 1"
"8","General Secretariat for the council of ministers","1,114","892","9 0","133","‐","‐","‐","‐"
"9","Office of the Deputy Prime Minister","61","37","1","2 3","‐","‐","‐","‐"
"10","State Audit & Administrative Control Bureau","982","771","8 6","126","‐","‐","‐","‐"
"11","General Personnel Office","5,598","4 ,816","555","228","‐","‐","‐","‐"
"12","Ministry of Finance & Planning","16,433","6 ,571","533","798","‐","7 ,969","316","2 46"
"13","Ministry of Jerusalem Affairs","6,085","810","1 4","2 9","‐","2 ,790","‐","2,442"
"14","Non Governmental Organization","6,422","291","2 8","3 8","‐","6 ,065","‐","‐"
"15","Retirees Pension Allowances","286,196","(65)","‐","‐","‐","286,261","‐","‐"
"16","Public Debt Interest Payments","17,011","‐","‐","‐","1 7,011","‐","‐","‐"
"17","General Expenditures","129","‐","‐","‐","‐","129","‐","‐"
"18","Financial Reserves","590","‐","‐","‐","‐","590","‐","‐"
"19","General Authority for crossings and borders","17,781","1 ,410","9 1","4,868","‐","‐","240","11,172"
"20","Negotiations Affairs Department","142","118","1 2","1 2","‐","‐","‐","‐"
"21","Embassies","24,035","11,265","‐","1 1,342","‐","1 ,105","323","‐"
"22","Central Election Committee","1,833","‐","‐","1,833","‐","‐","‐","‐"
"23","Ministry of Interior and National Security","317,217","225,724","22,133","4 6,881","‐","‐","226","22,252"
"24","Ministry of Justice","5,012","3 ,781","417","767","‐","‐","‐","4 9"
"25","Supreme Judge Council","8,222","6 ,520","686","1,016","‐","‐","‐","‐"
"26","Ministry of Foreign Affairs","5,405","4 ,939","321","146","‐","‐","‐","‐"
"27","The Higher Judicial Council","2,205","1 ,835","169","157","‐","‐","‐","4 4"
"28","Supreme Council for Public Procurement Policies","152","56","4","6","‐","‐","‐","8 6"
"29","The Supreme Constitutional Court","439","390","1 1","3 8","‐","‐","‐","‐"
"30","Total","823,571","293,878","26,464","84,884","1 7,011","3 63,441","1 ,205","3 6,688"
"31","Infrastructure Sector","","‐","‐","‐","‐","‐","‐","‐"
"32","Palestinian Water Authority","7,916","1 ,466","113","1,510","‐","‐","‐","4,826"
"33","Ministry of Energy and Natural Resources","16,737","341","2 7","5 4","‐","1 1,593","‐","4,721"
"34","Ministry of Transportation","3,653","2 ,921","276","456","‐","‐","‐","‐"
"35","Ministry of Communications and Information Technolo","4,664","2 ,265","190","2,209","‐","‐","‐","‐"
"36","Ministry of Public Works and Housing","6,649","2 ,934","298","277","‐","‐","‐","3,141"
"37","Ministry of Local Government","6,798","1 ,918","181","229","‐","1 ,103","‐","3,366"
"38","Environmental Quality Authority","1,071","857","9 8","6 4","‐","‐","‐","5 2"
"39","Total","47,487","12,702","1,184","4,799","‐","1 2,697","‐","1 6,106"
