"","Economic.Affairs","X","�..","�...1","�...2","�...3","�...4","�...5","�...6"
"1","Palestinian Central Bureau of Statistics","2,652","1 ,079","117","440","‐","‐","‐","1,016"
"2","Ministry of Tourism and Antiquities","1,822","1 ,321","109","231","‐","‐","‐","1 62"
"3","Land Authority","2,006","1 ,653","140","148","‐","‐","‐","6 5"
"4","Ministry of National Economy","3,564","3 ,005","345","214","‐","‐","‐","‐"
"5","Industrial Zones Board","354","298","3 1","2 5","‐","‐","‐","‐"
"6","Specifications and Standards Office","812","662","6 1","8 9","‐","‐","‐","‐"
"7","General Authority for Investment Promotion","194","158","1 7","1 9","‐","‐","‐","‐"
"8","Ministry of Agriculture","8,685","5 ,118","517","693","‐","‐","‐","2,357"
"9","Form of Land & Water  intercession","3,394","850","4 7","6 9","‐","‐","‐","2,428"
"10","Total","23,484","14,145","1,384","1,926","‐","‐","‐","6,029"
"11","Social Affairs","","‐","‐","‐","‐","‐","‐","‐"
"12","Ministry of Education","228,247","186,667","18,404","1 0,565","‐","‐","‐","12,611"
"13","Ministry of Higher Education and Scientific Research","10,292","6 ,305","637","436","‐","2 ,417","‐","4 98"
"14","Ministry of Health","104,174","62,083","5,135","3 4,021","‐","‐","933","2,003"
"15","Ministry of Women's Affairs","479","348","3 2","6 5","‐","‐","‐","3 3"
"16","Ministry of Social Affairs","257,039","4 ,217","449","392","‐","251,544","‐","4 38"
"17","Ministry of Information","570","491","4 8","3 1","‐","‐","‐","‐"
"18","Palestinian Broadcasting Corporation","8,061","5 ,099","445","2,517","‐","‐","‐","‐"
"19","The Palestinian News Agency ‐ WAFA","1,273","996","112","165","‐","‐","‐","‐"
"20","Al‐Hayat Al‐Jadida Press","4,616","495","2 4","119","‐","‐","‐","3,978"
"21","Higher Council For Youth And Sports","3,316","2 ,346","213","718","‐","‐","39","‐"
"22","Ministry of Culture","1,468","965","104","258","‐","‐","‐","1 41"
"23","Dar Al Fatwa and Islamic Research","438","370","2 8","4 0","‐","‐","‐","‐"
"24","The Ministry of Awqaf and Religious Affairs","9,922","8 ,723","923","277","‐","‐","‐","‐"
"25","Ministry of Labor","3,332","2 ,771","258","186","‐","‐","2","1 15"
"26","Leadership and mastery","394","‐","‐","‐","‐","‐","‐","3 94"
"27","Total","633,622","281,876","26,810","49,789","‐","2 53,961","9 74","2 0,211"
"28","Grand Total","1,528,165","602,601","55,843","1 41,398","1 7,011","6 30,099","2 ,180","7 9,034"
