"","X","X.1","Wages.and","Social","Use.of.goods","Interest","Transfer","Minor.Capital","Development"
"1","","Total Expenditure","","","","","","",""
"2","","","salaries","contributions","and services","payments","Expenditure","Expenditure","Expenditure"
"3","Governance Sector","","","","","","","",""
"4","President's Office","66,314","4 9,114","5,021","11,657","‐","‐","1 99","3 23"
"5","P.L.O. Institutions","479,579","7 0,210","3,264","62,153","‐","3 39,973","1 1","3,969"
"6","Legislative Council","7,959","6,041","6 71","5 99","‐","6 47","‐","‐"
"7","Ministers' Council","8,637","3,717","2 70","2,467","‐","‐","1 94","1,990"
"8","General Secretariat for the council of ministers","7,739","5,974","6 33","1,127","‐","‐","5","‐"
"9","Office of the Deputy Prime Minister","316","1 83","4","1 29","‐","‐","‐","‐"
"10","State Audit & Administrative Control Bureau","6,920","5,322","6 05","9 93","‐","‐","‐","‐"
"11","General Personnel Office","39,166","3 3,305","3,891","1,949","‐","‐","1 3","7"
"12","Ministry of Finance & Planning","88,910","4 2,030","3,774","7,468","‐","30,669","6 71","4,298"
"13","Ministry of Jerusalem Affairs","21,941","5,701","1 02","1 81","‐","11,869","‐","4,088"
"14","Non Governmental Organization","17,830","1,969","1 98","3 19","‐","15,344","‐","‐"
"15","Retirees Pension Allowances","1,193,995","1 57","‐","‐","‐","1,193,838","‐","‐"
"16","Public Debt Interest Payments","96,783","‐","‐","‐","96,783","‐","‐","‐"
"17","General Expenditures","4,618","‐","‐","‐","‐","4,618","‐","‐"
"18","Financial Reserves","11,014","‐","‐","‐","‐","11,014","‐","‐"
"19","General Authority for crossings and borders","61,047","8,880","6 37","20,419","‐","‐","5 29","30,582"
"20","Negotiations Affairs Department","1,070","7 68","7 9","2 22","‐","‐","‐","‐"
"21","Embassies","98,022","48,784","‐","42,975","‐","5,609","6 54","‐"
"22","Central Election Committee","8,549","‐","‐","7,187","‐","‐","‐","1,363"
"23","Ministry of Interior and National Security","1,826,240","1,451,879","1 54,588","1 49,931","‐","‐","8 83","68,959"
"24","Ministry of Justice","33,356","2 6,466","2,939","3,567","‐","‐","2","3 82"
"25","Supreme Judicial Council","57,065","4 3,961","4,798","7,548","‐","‐","6 0","6 97"
"26","Ministry of Foreign Affairs","37,877","3 3,710","2,351","1,534","‐","‐","2 2","2 61"
"27","The Higher Judicial Council","15,402","1 2,458","1,195","1,419","‐","‐","‐","3 29"
"28","Supreme Council for Public Procurement Policies","1,235","3 36","3 0","7 5","‐","‐","‐","7 95"
"29","The Supreme Constitutional Court","2,981","2,575","8 0","3 27","‐","‐","‐","‐"
"30","Total","4,194,564","1,853,540","185,129","324,246","9 6,783","1,613,581","3 ,243","118,042"
"31","Infrastructure Sector","","","","","","","",""
"32","Palestinian Water Authority","66,303","9,184","8 03","10,227","‐","‐","5","46,084"
"33","Ministry of Energy and Natural Resources","28,069","2,154","1 89","5 45","‐","11,593","‐","13,587"
"34","Ministry of Transportation","25,074","1 9,683","1,950","3,305","‐","‐","‐","1 36"
"35","Ministry of Communications and Information Technolo","24,911","1 5,155","1,353","7,903","‐","‐","‐","5 00"
"36","Ministry of Public Works and Housing","48,288","2 0,861","2,109","2,367","‐","‐","5 1","22,901"
"37","Ministry of Local Government","61,854","1 2,949","1,272","1,798","‐","7,555","3","38,276"
"38","Environmental Quality Authority","8,210","6,067","7 01","5 94","‐","‐","2 4","8 24"
"39","Total","262,709","8 6,053","8 ,378","2 6,740","‐","1 9,148","84","122,307"
