"","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8","X.9","Budget","Actual.as"
"1","","Jan","Feb","March","April","May","June","Q 1","Q 2","Jan ‐ June","",""
"2","","","","","","","","","","","2020","% of Budget"
"3","1. Social assistance benefits","80.666","121.523","121.229","250.990","110.202","83.902","323.418","445.094","768.512","",""
"4","Social assistance","35.562","55.483","54.026","184.450","43.201","38.455","145.071","266.106","411.177","",""
"5","Assistance to vulnerable families","27.486","48.858","50.007","49.361","49.830","28.272","126.351","127.463","253.814","",""
"6","Unemployment benefits","17.618","17.182","17.196","17.179","17.171","17.175","51.996","51.525","103.521","",""
"7","2. Social security benefits (civilian and military pensions)","77.205","193.171","193.009","189.128","187.436","79.689","463.385","456.253","919.638","",""
"8","3. Payments to NGOs and civil society & universities","0.323","1.918","7.201","2.826","4.376","1.708","9.442","8.910","18.352","",""
"9","4. Compensation for damages & emergency expenditures ‐ Reserves","2.382","0.854","5.032","14.375","0.885","10.700","8.268","25.960","34.228","",""
"10","5. Local government support","0.344","1.782","1.194","0.554","1.260","1.318","3.320","3.132","6.452","",""
"11","6. Other transfers","‐","1.730","1.947","1.541","2.578","1.395","3.677","5.514","9.191","",""
"12","7. Educational subsidies & scholarships","‐","0.182","‐","‐","0.079","1.241","0.182","1.320","1.502","",""
"13","Total","160.920","321.160","329.612","459.414","306.816","179.953","811.692","946.183","1,757.875","",""
"14","","","","","","","","","","","","11 Aug. 2020"
"15","Table 8b. Fiscal Operations: Transfers, (Cash Basis) June 2020, million NIS.","","","","","","","","","","",""
"16","","","","","","","","","","","Budget","Actual as"
"17","","Jan","Febr","March","April","May","June","Q1","Q2","Jan ‐ June","",""
"18","","","","","","","","","","","2020","% of Budget"
"19","1. Social assistance benefits","80.666","120.991","120.982","250.898","29.969","3.141","322.639","284.008","606.647","",""
"20","Social assistance","35.562","54.979","53.892","184.358","8.497","3.141","144.433","195.996","340.429","",""
"21","Assistance to vulnerable families","27.486","48.830","49.894","49.361","21.472","‐","126.210","70.833","197.043","",""
"22","Unemployment benefits","17.618","17.182","17.196","17.179","‐","‐","51.996","17.179","69.175","",""
"23","2. Social security benefits (civilian and military pensions)","77.205","189.171","191.009","187.128","112.626","‐","457.385","299.754","757.139","",""
"24","3. Payments to NGOs and civil society & universities","‐","0.302","1.389","2.133","3.376","1.447","1.691","6.956","8.647","",""
"25","4. Compensation for damages & emergency expenditures ‐ Reserves","1.786","0.323","0.156","9.678","0.782","8.239","2.265","18.699","20.964","",""
"26","5. Local government support","‐","1.192","0.533","0.525","0.676","0.100","1.725","1.301","3.026","",""
"27","6. Other transfers","‐","0.521","0.587","0.247","2.216","1.141","1.108","3.604","4.712","",""
"28","7. Educational subsidies & scholarships","‐","‐","‐","‐","‐","‐","‐","‐","‐","",""
"29","Total","159.657","312.500","314.656","450.609","149.645","14.068","786.813","614.322","1,401.135","",""
