"","X","Total","Wages.and","Social","Use.of.goods","Interest","Transfer","Minor.Capital","Development"
"1","","Expenditure","salaries","contributions","and services","payments","Expenditure","Expenditure","Expenditure"
"2","1. General public services","137,706","33,728","3,404","13,056","9,066","53,597","542","24,313"
"3","President's Office","10,638","6,834","709","3,048","‐","‐","47","‐"
"4","P.L.O. Institutions","47,211","4,319","488","2,544","‐","38,386","1","1,473"
"5","Legislative Council","1,171","888","103","88","‐","92","‐","‐"
"6","Ministers' Council","847","350","38","386","‐","‐","74","‐"
"7","General Secretariat for the council of ministers","1,167","830","92","242","‐","‐","4","‐"
"8","Office of the Deputy Prime Minister","31","18","1","13","‐","‐","‐","‐"
"9","State Audit & Administrative Control Bureau","993","728","86","179","‐","‐","‐","‐"
"10","Ministry of Local Government","17,979","1,795","184","407","‐","1,318","3","14,273"
"11","Ministry of Finance & Planning","16,304","5,476","564","1,803","‐","7,308","351","802"
"12","Ministry of Foreign Affairs","5,525","4,666","311","547","‐","‐","‐","‐"
"13","Embassies","0","‐","‐","‐","‐","‐","‐","‐"
"14","Negotiations Affairs Department","184","104","12","68","‐","‐","‐","‐"
"15","General Personnel Office","5,721","4,625","563","513","‐","‐","13","7"
"16","Palestinian Central Bureau of Statistics","2,012","1,073","120","147","‐","‐","‐","672"
"17","Ministry of Jerusalem Affairs","3,948","809","14","50","‐","1,446","‐","1,628"
"18","General Authority for crossings and borders","9,439","951","92","2,938","‐","‐","‐","5,458"
"19","Non Governmental Organization","2,006","262","28","60","‐","1,656","‐","‐"
"20","Central Election Committee","0","‐","‐","‐","‐","‐","‐","‐"
"21","General Expenditures","0","‐","‐","‐","‐","‐","‐","‐"
"22","Public Debt Interest Payments","9,066","‐","‐","‐","9,066","‐","‐","‐"
"23","Financial Reserves","3,392","‐","‐","‐","‐","3,392","‐","‐"
"24","Leadership and mastery","73","‐","‐","24","‐","‐","49","‐"
"25","2. Defense","0","‐","‐","‐","‐","‐","‐","‐"
"26","3. Public order and safety","265,999","201,821","23,443","33,685","0","0","349","6,701"
"27","Ministry of Interior and National Security","250,362","190,287","22,161","31,259","‐","‐","346","6,309"
"28","Ministry of Justice","4,959","3,633","416","865","‐","‐","1","44"
"29","Supreme Judicial Council","7,683","5,911","681","1,089","‐","‐","3","‐"
"30","The Higher Judicial Council","2,417","1,631","169","353","‐","‐","‐","263"
"31","The Supreme Constitutional Court","425","320","11","93","‐","‐","‐","‐"
"32","Supreme Council for Public Procurement Policies","153","39","4","25","‐","‐","‐","84"
"33","4. Economic affairs","40,030","18,096","1,843","9,272","0","0","2","10,817"
"34","Ministry of National Economy","3,654","2,967","345","341","‐","‐","‐","‐"
"35","Specifications and Standards Office","904","570","61","185","‐","‐","‐","88"
"36","Ministry of Agriculture","13,162","5,651","519","1,997","‐","‐","‐","4,996"
"37","Ministry of Energy and Natural Resources","5,410","277","27","204","‐","‐","‐","4,902"
"38","Ministry of Transportation","4,382","2,664","283","1,299","‐","‐","‐","136"
"39","Ministry of Communications and Information Technology","6,685","2,005","191","4,248","‐","‐","‐","241"
"40","Ministry of Tourism and Antiquities","2,118","1,207","110","347","‐","‐","‐","454"
"41","Ministry of Labor","3,157","2,355","258","544","‐","‐","‐","‐"
"42","General Authority for Investment Promotion","230","149","17","61","‐","‐","2","‐"
"43","Industrial Zones Board","327","250","31","46","‐","‐","‐","‐"
