"","X","Total","Wages.and","Social","Use.of.goods","Interest","X.1","Transfer","Minor.Capital","Development"
"1","","Expenditure","salaries","contributions","and services","payments",NA,"Expenditure","Expenditure","Expenditure"
"2","5. Environmental protection","1,142","819","98","136","0",NA,"0","24","64"
"3","Environmental Quality Authority","1,142","819","98","136","‐",NA,"‐","24","64"
"4","6. Housing and community amenities","25,988","5,777","605","5,966","0",NA,"0","5","13,635"
"5","Ministry of Public Works and Housing","5,720","2,908","303","757","‐",NA,"‐","‐","1,752"
"6","Land Authority","2,088","1,291","141","655","‐",NA,"‐","‐","‐"
"7","Palestinian Water Authority","17,504","1,125","114","4,388","‐",NA,"‐","5","11,871"
"8","Form of Land & Water  intercession","676","452","47","166","‐",NA,"‐","‐","11"
"9","7. Health","161,693","52,472","5,102","84,086","0",NA,"0","9,915","10,117"
"10","Ministry of Health","161,693","52,472","5,102","84,086","‐",NA,"‐","9,915","10,117"
"11","8. Recreation, culture, and religion","28,479","16,990","1,904","8,383","0",NA,"0","159","1,043"
"12","Higher Council For Youth And Sports","5,811","1,830","213","3,125","‐",NA,"‐","‐","642"
"13","Ministry of Culture","1,580","903","104","335","‐",NA,"‐","‐","237"
"14","Ministry of Information","604","444","48","112","‐",NA,"‐","‐","‐"
"15","Palestinian Broadcasting Corporation","8,187","3,615","446","3,969","‐",NA,"‐","157","‐"
"16","The Palestinian News Agency ‐ WAFA","1,199","907","110","182","‐",NA,"‐","‐","‐"
"17","Al‐Hayat Al‐Jadida Press","646","216","24","240","‐",NA,"‐","2","164"
"18","The Ministry of Awqaf and Religious Affairs","9,904","8,704","930","270","‐",NA,"‐","‐","‐"
"19","Dar Al Fatwa and Islamic Research","549","371","28","150","‐",NA,"‐","‐","‐"
"20","9. Education","236,747","179,225","18,334","22,362","0",NA,"1,241","3","15,582"
"21","Ministry of Education","226,378","172,514","17,689","21,664","‐",NA,"‐","3","14,508"
"22","Ministry of Higher Education and Scientific Research","10,369","6,711","646","697","‐",NA,"1,241","‐","1,074"
"23","10. Social protection","131,248","4,102","494","835","0",NA,"125,112","22","683"
"24","Ministry of Social Affairs","51,280","3,980","462","692","‐",NA,"45,516","22","608"
"25","Ministry of Women's Affairs","561","311","32","143","‐",NA,"‐","‐","75"
"26","Retirees Pension Allowances","79,408","(189)","‐","‐","‐",NA,"79,597","‐","‐"
"27","Totals","1,029,032","513,030","55,227","177,781","9,066",NA,"179,951","11,023","82,954"
