"","X","X.1","Wages.and","Social","Use.of.goods","Interest","Transfer","Minor.Capital","Development"
"1","","Total Expenditure","","","","","","",""
"2","","","salaries","contributions","and services","payments","Expenditure","Expenditure","Expenditure"
"3","Governance Sector","","","","","","","",""
"4","President's Office","10,638","6,834","7 09","3,048","‐","‐","4 7","‐"
"5","P.L.O. Institutions","47,211","4,319","4 88","2,544","‐","38,386","1","1 ,473"
"6","Legislative Council","1,171","888","1 03","8 8","‐","9 2","‐","‐"
"7","Ministers' Council","847","350","3 8","3 86","‐","‐","7 4","‐"
"8","General Secretariat for the council of ministers","1,167","830","9 2","2 42","‐","‐","4","‐"
"9","Office of the Deputy Prime Minister","31","18","1","1 3","‐","‐","‐","‐"
"10","State Audit & Administrative Control Bureau","993","728","8 6","1 79","‐","‐","‐","‐"
"11","General Personnel Office","5,721","4,625","5 63","5 13","‐","‐","1 3","7"
"12","Ministry of Finance & Planning","16,304","5,476","5 64","1,803","‐","7,308","351","8 02"
"13","Ministry of Jerusalem Affairs","3,948","809","1 4","5 0","‐","1,446","‐","1 ,628"
"14","Non Governmental Organization","2,006","262","2 8","6 0","‐","1,656","‐","‐"
"15","Retirees Pension Allowances","79,408","(189)","‐","‐","‐","79,597","‐","‐"
"16","Public Debt Interest Payments","9,066","‐","‐","‐","9,066","‐","‐","‐"
"17","General Expenditures","‐","‐","‐","‐","‐","‐","‐","‐"
"18","Financial Reserves","3,392","‐","‐","‐","‐","3,392","‐","‐"
"19","General Authority for crossings and borders","9,439","951","9 2","2,938","‐","‐","‐","5 ,458"
"20","Negotiations Affairs Department","184","104","1 2","6 8","‐","‐","‐","‐"
"21","Embassies","‐","‐","‐","‐","‐","‐","‐","‐"
"22","Central Election Committee","‐","‐","‐","‐","‐","‐","‐","‐"
"23","Ministry of Interior and National Security","250,362","1 90,287","22,161","31,259","‐","‐","346","6 ,309"
"24","Ministry of Justice","4,959","3,633","4 16","8 65","‐","‐","1","4 4"
"25","Supreme Judicial Council","7,683","5,911","6 81","1,089","‐","‐","3","‐"
"26","Ministry of Foreign Affairs","5,525","4,666","3 11","5 47","‐","‐","‐","‐"
"27","The Higher Judicial Council","2,417","1,631","1 69","3 53","‐","‐","‐","2 63"
"28","Supreme Council for Public Procurement Policies","153","39","4","2 5","‐","‐","‐","84"
"29","The Supreme Constitutional Court","425","320","1 1","9 3","‐","‐","‐","‐"
"30","Total","463,049","232,493","2 6,544","4 6,163","9,066","131,876","839","16,069"
"31","Infrastructure Sector","","‐","‐","‐","‐","‐","‐","‐"
"32","Palestinian Water Authority","17,504","1,125","1 14","4,388","‐","‐","5","11,871"
"33","Ministry of Energy and Natural Resources","5,410","277","2 7","2 04","‐","‐","‐","4 ,902"
"34","Ministry of Transportation","4,382","2,664","2 83","1,299","‐","‐","‐","1 36"
"35","Ministry of Communications and Information Techno","6,685","2,005","1 91","4,248","‐","‐","‐","2 41"
"36","Ministry of Public Works and Housing","5,720","2,908","3 03","7 57","‐","‐","‐","1 ,752"
"37","Ministry of Local Government","17,979","1,795","1 84","4 07","‐","1,318","3","14,273"
"38","Environmental Quality Authority","1,142","819","9 8","1 36","‐","‐","2 4","64"
"39","Total","58,823","11,593","1,201","1 1,439","‐","1 ,318","33","33,240"
"40","Economic Affairs","","‐","‐","‐","‐","‐","‐","‐"
"41","Palestinian Central Bureau of Statistics","2,012","1,073","1 20","1 47","‐","‐","‐","6 72"
"42","Ministry of Tourism and Antiquities","2,118","1,207","1 10","3 47","‐","‐","‐","4 54"
"43","Land Authority","2,088","1,291","1 41","6 55","‐","‐","‐","‐"
"44","Ministry of National Economy","3,654","2,967","3 45","3 41","‐","‐","‐","‐"
"45","Industrial Zones Board","327","250","3 1","4 6","‐","‐","‐","‐"
"46","Specifications and Standards Office","904","570","6 1","1 85","‐","‐","‐","88"
"47","General Authority for Investment Promotion","230","149","1 7","6 1","‐","‐","2","‐"
"48","Ministry of Agriculture","13,162","5,651","5 19","1,997","‐","‐","‐","4 ,996"
"49","Form of Land & Water  intercession","676","452","4 7","1 66","‐","‐","‐","11"
"50","Total","25,170","13,612","1,390","3,945","‐","‐","2","6,221"
