"","Social.Affairs","X","�..","�...1","�...2","�...3","�...4","�...5","X.1","�...6"
"1","Ministry of Education","226,378","1 72,514","17,689","21,664","‐","‐","3",NA,"14,508"
"2","Ministry of Higher Education and Scientific Research","10,369","6,711","6 46","6 97","‐","1,241","‐",NA,"1 ,074"
"3","Ministry of Health","161,693","52,472","5,102","84,086","‐","‐","9,915",NA,"10,117"
"4","Ministry of Women's Affairs","561","311","3 2","1 43","‐","‐","‐",NA,"75"
"5","Ministry of Social Affairs","51,280","3,980","4 62","6 92","‐","45,516","2 2",NA,"6 08"
"6","Ministry of Information","604","444","4 8","1 12","‐","‐","‐",NA,"‐"
"7","Palestinian Broadcasting Corporation","8,187","3,615","4 46","3,969","‐","‐","157",NA,"‐"
"8","The Palestinian News Agency ‐ WAFA","1,199","907","1 10","1 82","‐","‐","‐",NA,"‐"
"9","Al‐Hayat Al‐Jadida Press","646","216","2 4","2 40","‐","‐","2",NA,"1 64"
"10","Higher Council For Youth And Sports","5,811","1,830","2 13","3,125","‐","‐","‐",NA,"6 42"
"11","Ministry of Culture","1,580","903","1 04","3 35","‐","‐","‐",NA,"2 37"
"12","Dar Al Fatwa and Islamic Research","549","371","2 8","1 50","‐","‐","‐",NA,"‐"
"13","The Ministry of Awqaf and Religious Affairs","9,904","8,704","9 30","2 70","‐","‐","‐",NA,"‐"
"14","Ministry of Labor","3,157","2,355","2 58","5 44","‐","‐","‐",NA,"‐"
"15","Leadership and mastery","73","‐","‐","2 4","‐","‐","4 9",NA,"‐"
"16","Total","481,990","255,333","2 6,092","1 16,235","‐","4 6,757","1 0,148",NA,"27,424"
"17","Grand Total","1 ,029,032","513,030","5 5,227","1 77,781","9,066","179,951","1 1,023",NA,"82,954"
