"","X","X.1","Wages.and","Social","Use.of.goods","Interest","Transfer","Minor.Capital","Development"
"1","","Total Expenditure","","","","","","",""
"2","","","salaries","contributions","and services","payments","Expenditure","Expenditure","Expenditure"
"3","Governance Sector","","","","","","","",""
"4","President's Office","56,686","4 1,937","4 ,310","9 ,957","‐","‐","159","323"
"5","P.L.O. Institutions","390,915","5 5,201","2 ,796","4 7,731","‐","281,533","2","3 ,652"
"6","Legislative Council","6,833","5 ,186","577","514","‐","554","‐","‐"
"7","Ministers' Council","7,556","3 ,040","229","2 ,237","‐","‐","142","1 ,909"
"8","General Secretariat for the council of ministers","6,625","5 ,083","543","995","‐","‐","5","‐"
"9","Office of the Deputy Prime Minister","255","146","3","106","‐","‐","‐","‐"
"10","State Audit & Administrative Control Bureau","5,938","4 ,552","519","867","‐","‐","‐","‐"
"11","General Personnel Office","33,567","2 8,490","3 ,336","1 ,721","‐","‐","13","7"
"12","Ministry of Finance & Planning","72,477","3 5,458","3 ,241","6 ,670","‐","2 2,699","356","4 ,052"
"13","Ministry of Jerusalem Affairs","15,867","4 ,891","88","163","‐","9 ,079","‐","1 ,647"
"14","Non Governmental Organization","11,408","1 ,677","170","281","‐","9 ,280","‐","‐"
"15","Retirees Pension Allowances","907,799","222","‐","‐","‐","907,577","‐","‐"
"16","Public Debt Interest Payments","74,366","‐","‐","‐","7 4,366","‐","‐","‐"
"17","General Expenditures","4,489","‐","‐","‐","‐","4 ,489","‐","‐"
"18","Financial Reserves","10,424","‐","‐","‐","‐","1 0,424","‐","‐"
"19","General Authority for crossings and borders","43,266","7 ,470","546","1 5,551","‐","‐","289","1 9,410"
"20","Negotiations Affairs Department","928","650","67","210","‐","‐","‐","‐"
"21","Embassies","73,987","3 7,519","‐","3 1,633","‐","4 ,504","332","‐"
"22","Central Election Committee","6,716","‐","‐","5 ,353","‐","‐","‐","1 ,363"
"23","Ministry of Interior and National Security","1,509,023","1,226,154","132,455","103,050","‐","‐","656","4 6,707"
"24","Ministry of Justice","28,343","2 2,686","2 ,522","2 ,800","‐","‐","2","333"
"25","Supreme Judicial Council","48,843","3 7,442","4 ,113","6 ,532","‐","‐","60","697"
"26","Ministry of Foreign Affairs","32,472","2 8,771","2 ,030","1 ,388","‐","‐","22","261"
"27","The Higher Judicial Council","13,197","1 0,623","1 ,026","1 ,262","‐","‐","‐","285"
"28","Supreme Council for Public Procurement Policies","1,083","280","25","69","‐","‐","‐","709"
"29","The Supreme Constitutional Court","2,542","2 ,185","68","289","‐","‐","‐","‐"
"30","Total","3 ,365,603","1 ,559,662","158,665","239,379","74,366","1 ,250,139","2,037","81,355"
"31","Infrastructure Sector","","","","","","","",""
"32","Palestinian Water Authority","58,388","7 ,718","690","8 ,717","‐","‐","5","4 1,258"
"33","Ministry of Energy and Natural Resources","11,332","1 ,813","162","491","‐","‐","‐","8 ,866"
"34","Ministry of Transportation","21,421","1 6,762","1 ,674","2 ,849","‐","‐","‐","136"
"35","Ministry of Communications and Information Techno","20,246","1 2,890","1 ,162","5 ,694","‐","‐","‐","500"
"36","Ministry of Public Works and Housing","41,639","1 7,927","1 ,811","2 ,090","‐","‐","51","1 9,760"
"37","Ministry of Local Government","55,055","1 1,031","1 ,091","1 ,569","‐","6 ,451","3","3 4,910"
"38","Environmental Quality Authority","7,139","5 ,209","603","531","‐","‐","24","772"
"39","Total","215,222","73,351","7,193","21,941","‐","6,451","8 4","106,201"
"40","Economic Affairs","","","","","","","",""
"41","Palestinian Central Bureau of Statistics","14,513","6 ,372","713","2 ,547","‐","‐","‐","4 ,880"
"42","Ministry of Tourism and Antiquities","12,518","7 ,490","649","1 ,520","‐","‐","29","2 ,830"
"43","Land Authority","11,368","8 ,944","839","1 ,440","‐","‐","11","133"
"44","Ministry of National Economy","21,665","1 8,090","2 ,077","1 ,499","‐","‐","‐","‐"
"45","Industrial Zones Board","2,154","1 ,655","195","168","‐","‐","‐","136"
"46","Specifications and Standards Office","5,030","3 ,680","366","665","‐","‐","‐","318"
"47","General Authority for Investment Promotion","1,244","917","105","211","‐","‐","11","‐"
"48","Ministry of Agriculture","55,729","3 5,579","3 ,143","4 ,681","‐","‐","‐","1 2,327"
"49","Form of Land & Water  intercession","11,193","8 ,676","280","506","‐","‐","0","1 ,730"
"50","Total","135,413","91,404","8,367","13,236","‐","‐","5 2","22,354"
