"","Social.Affairs","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7","X.8"
"1","Ministry of Education","1,330,217","1,066,695","106,054","7 7,461","‐","‐","",3,"8 0,005"
"2","Ministry of Higher Education and Scientific Research","56,839","3 8,472","3 ,843","2 ,892","‐","7 ,220","‐",NA,"4 ,412"
"3","Ministry of Health","659,375","332,845","3 0,553","254,726","‐","‐","2 0,857",NA,"2 0,393"
"4","Ministry of Women's Affairs","3,662","2 ,015","198","1 ,162","‐","‐","‐",NA,"286"
"5","Ministry of Social Affairs","498,911","2 4,583","2 ,695","2 ,898","‐","466,738","22",NA,"1 ,975"
"6","Ministry of Information","3,554","2 ,833","290","430","‐","‐","‐",NA,"‐"
"7","Palestinian Broadcasting Corporation","42,815","2 7,647","2 ,684","1 2,268","‐","‐","217",NA,"‐"
"8","The Palestinian News Agency ‐ WAFA","7,231","5 ,785","670","770","‐","‐","",6,"‐"
"9","Al‐Hayat Al‐Jadida Press","9,390","1 ,998","145","1 ,132","‐","‐","",2,"6 ,114"
"10","Higher Council For Youth And Sports","20,655","1 2,778","1 ,290","5 ,946","‐","‐","‐",NA,"642"
"11","Ministry of Culture","8,162","5 ,511","615","1 ,164","‐","‐","‐",NA,"872"
"12","Dar Al Fatwa and Islamic Research","2,848","2 ,254","169","425","‐","‐","‐",NA,"‐"
"13","The Ministry of Awqaf and Religious Affairs","60,697","5 3,156","5 ,599","1 ,870","‐","‐","72",NA,"‐"
"14","Ministry of Labor","19,609","1 5,849","1 ,564","2 ,047","‐","‐","‐",NA,"149"
"15","Leadership and mastery","198","‐","‐","149","‐","‐","49",NA,"‐"
"16","Total","2 ,724,163","1 ,592,419","156,367","365,342","‐","473,958","21,228",NA,"114,849"
"17","Grand Total","6 ,440,401","3 ,316,837","330,593","639,899","74,366","1 ,730,548","23,401",NA,"324,759"
