"","X","X.1","Dec..2019","Jan..2020","Feb..2020","Mar..2020"
"1","Total Public Debt",NA,"2,795.1","2,868.0","2,892.6","2,886.6"
"2","A. Total Domestic Debt",NA,"1,577.2","1,626.9","1,629.6","1,597.3"
"3","Total Domestic debt ( short term)",NA,"1,235.0","1,298.8","1,337.0","1,307.4"
"4","Total Domestic debt ( long term)",NA,"342.2","328.1","292.6","289.9"
"5","Bank Loans",NA,"943.6","934.7","921.9","902.7"
"6","Short term",NA,"601.4","606.6","629.3","612.8"
"7","Long term",NA,"342.2","328.1","292.6","289.9"
"8","Overdraft",NA,"315.5","372.5","386.1","386.0"
"9","Short term",NA,"315.5","372.5","386.1","386.0"
"10","Petroleum Authority loans",NA,"303.4","305.1","306.8","294.4"
"11","Short term",NA,"303.4","305.1","306.8","294.4"
"12","Other public institutions  loans(1)",NA,"1 4.6","1 4.7","1 4.7","1 4.2"
"13","Short term",NA,"1 4.6","1 4.7","1 4.7","1 4.2"
"14","B. Total Foreign Debt**",NA,"1,218.0","1,241.1","1,263.0","1,289.3"
"15","Total Foreign Debtt (short term)",NA,"155.6","156.8","149.5","151.7"
"16","Total Foreign Deb (long term)",NA,"1,062.4","1,084.3","1,113.5","1,137.7"
"17","1. Arab Financial Institutions",NA,"739.2","764.0","788.6","815.4"
"18","Al Aqsa Fund",NA,"5 13.0","513.0","513.0","513.0"
"19","Arab Fund for Economic & Social Development",NA,"1 4.3","14.2","14.1","13.7"
"20","Islamic Development Bank",NA,"36.9","36.7","36.5","36.4"
"21","Qatar National Bank  (2)",NA,"175.0","200.0","225.0","252.2"
"22","2. International and Regional Institutions",NA,"336.3","336.1","335.7","334.0"
"23","World Bank (3)",NA,"272.7","272.9","273.2","273.2"
"24","European Investment Bank",NA,"39.0","38.6","38.0","36.2"
"25","IFAD",NA,"2.0","2.0","2.0","2.0"
"26","OPEC",NA,"22.4","22.4","22.4","22.4"
"27","KFW(4)",NA,"0.2","0.2","0.2","0.2"
"28","3. Bilateral Loans",NA,"142.5","1 41.0","138.7","139.9"
"29","Spain",NA,"78.2","77.4","76.1","76.8"
"30","Italy(5)",NA,"64.3","63.6","62.6","63.1"
