"","X","Total","Wages.and","Social","Use.of.goods","Interest","Transfer","Minor.Capital","Development"
"1","","Expenditure","salaries","contributions","and services","payments","Expenditure","Expenditure","Expenditure"
"2","1. General public services","174,503","52,266","3,333","30,139","1,780","69,810","36","17,140"
"3","President's Office","10,095","7,051","714","2 ,009","‐","‐","34","286"
"4","P.L.O. Institutions","79,873","11,434","457","11,654","‐","55,834","1","493"
"5","Legislative Council","1,133","860","95","85","‐","92","‐","‐"
"6","Ministers' Council","3,137","627","38","688","‐","‐","‐","1,784"
"7","General Secretariat for the council of ministers","1,127","865","91","171","‐","‐","‐","‐"
"8","Office of the Deputy Prime Minister","73","30","1","42","‐","‐","‐","‐"
"9","State Audit & Administrative Control Bureau","1,041","763","86","192","‐","‐","‐","‐"
"10","Ministry of Local Government","9,016","1,874","182","313","‐","1,193","‐","5,454"
"11","Ministry of Finance & Planning","13,048","6,057","537","1 ,131","‐","4,701","‐","621"
"12","Ministry of Foreign Affairs","5,573","4,764","316","233","‐","‐","‐","261"
"13","Embassies","18,283","9,372","‐","7 ,794","‐","1,117","‐","‐"
"14","Negotiations Affairs Department","173","111","11","51","‐","‐","‐","‐"
"15","General Personnel Office","5,635","4,778","555","303","‐","‐","‐","‐"
"16","Palestinian Central Bureau of Statistics","2,437","1,059","119","657","‐","‐","‐","602"
"17","Ministry of Jerusalem Affairs","3,748","830","14","31","‐","2,873","‐","‐"
"18","General Authority for crossings and borders","12,273","1,502","87","3 ,045","‐","‐","0","7,639"
"19","Non Governmental Organization","3,238","289","29","53","‐","2,866","‐","‐"
"20","Central Election Committee","1,687","‐","‐","1 ,687","‐","‐","‐","‐"
"21","General Expenditures","992","‐","‐","‐","‐","992","‐","‐"
"22","Public Debt Interest Payments","1,780","‐","‐","‐","1,780","‐","‐","‐"
"23","Financial Reserves","141","‐","‐","‐","‐","141","‐","‐"
"24","2. Defense","0","‐","‐","‐","‐","‐","‐","‐"
"25","3. Public order and safety","276,401","223,740","23,353","20,135","0","0","220","8,953"
"26","Ministry of Interior and National Security","260,386","211,425","22,064","18,043","‐","‐","220","8,634"
"27","Ministry of Justice","4,861","3,800","423","473","‐","‐","0","165"
"28","Supreme Judicial Council","8,265","6,306","681","1 ,264","‐","‐","‐","14"
"29","The Higher Judicial Council","2,238","1,786","170","260","‐","‐","‐","22"
"30","The Supreme Constitutional Court","466","372","11","83","‐","‐","‐","‐"
"31","Supreme Council for Public Procurement Policies","185","51","4","12","‐","‐","‐","119"
"32","4. Economic affairs","31,839","19,266","1,847","2,931","0","0","0","7,795"
"33","Ministry of National Economy","3,590","3,008","342","240","‐","‐","‐","‐"
"34","Specifications and Standards Office","842","636","61","145","‐","‐","‐","‐"
"35","Ministry of Agriculture","10,557","5,904","527","998","‐","‐","‐","3,128"
"36","Ministry of Energy and Natural Resources","3,002","306","27","92","‐","‐","‐","2,578"
"37","Ministry of Transportation","3,447","2,849","277","322","‐","‐","‐","‐"
"38","Ministry of Communications and Information Technology","2,917","2,212","194","511","‐","‐","‐","‐"
"39","Ministry of Tourism and Antiquities","3,625","1,275","108","303","‐","‐","‐","1,939"
"40","Ministry of Labor","3,308","2,642","261","256","‐","‐","‐","149"
"41","General Authority for Investment Promotion","199","154","17","28","‐","‐","‐","‐"
"42","Industrial Zones Board","351","281","34","37","‐","‐","‐","‐"
