"","X","Total","Wages.and","Social","Use.of.goods","Interest","X.1","Transfer","Minor.Capital","Development"
"1","","Expenditure","salaries","contributions","and services","payments",NA,"Expenditure","Expenditure","Expenditure"
"2","5. Environmental protection","1,210","875","100","123","0",NA,"0","0","111"
"3","Environmental Quality Authority","1,210","875","100","123","‐",NA,"‐","‐","111"
"4","6. Housing and community amenities","26,016","6,567","603","2,324","0",NA,"0","11","16,512"
"5","Ministry of Public Works and Housing","9,878","3,027","301","366","‐",NA,"‐","‐","6,185"
"6","Land Authority","1,948","1,479","139","185","‐",NA,"‐","11","133"
"7","Palestinian Water Authority","11,765","1,398","116","1 ,671","‐",NA,"‐","‐","8,580"
"8","Form of Land & Water  intercession","2,425","663","47","102","‐",NA,"‐","‐","1,614"
"9","7. Health","85,800","55,143","5,077","23,263","0",NA,"0","61","2,257"
"10","Ministry of Health","85,800","55,143","5,077","23,263","‐",NA,"‐","61","2,257"
"11","8. Recreation, culture, and religion","27,564","19,049","1,911","4,548","0",NA,"0","0","2,056"
"12","Higher Council For Youth And Sports","3,514","2,255","216","1 ,043","‐",NA,"‐","‐","‐"
"13","Ministry of Culture","1,363","928","102","299","‐",NA,"‐","‐","35"
"14","Ministry of Information","594","486","48","59","‐",NA,"‐","‐","‐"
"15","Palestinian Broadcasting Corporation","7,592","4,759","450","2 ,383","‐",NA,"‐","‐","‐"
"16","The Palestinian News Agency ‐ WAFA","1,200","969","111","120","‐",NA,"‐","‐","‐"
"17","Al‐Hayat Al‐Jadida Press","2,680","375","24","260","‐",NA,"‐","‐","2,021"
"18","The Ministry of Awqaf and Religious Affairs","10,106","8,899","932","274","‐",NA,"‐","‐","‐"
"19","Dar Al Fatwa and Islamic Research","516","377","29","110","‐",NA,"‐","‐","‐"
"20","9. Education","234,976","182,479","18,222","10,717","0",NA,"2,417","0","21,141"
"21","Ministry of Education","223,684","176,279","17,588","10,199","‐",NA,"‐","‐","19,618"
"22","Ministry of Higher Education and Scientific Research","11,292","6,200","634","518","‐",NA,"2,417","‐","1,523"
"23","10. Social protection","263,805","4,552","478","981","0",NA,"257,384","0","410"
"24","Ministry of Social Affairs","72,719","4,172","445","478","‐",NA,"67,321","‐","303"
"25","Ministry of Women's Affairs","1,003","360","33","503","‐",NA,"‐","‐","107"
"26","Retirees Pension Allowances","190,083","20","‐","‐","‐",NA,"190,063","‐","‐"
"27","Totals","1,122,115","563,936","54,923","95,160","1,780",NA,"329,611","328","76,376"
