"","X","X.1","X.2","X.3","X.4","X.5","Budget","Actual.as"
"1","","","Jan","Feb","Mar","Jan‐Mar",NA,""
"2","","","","","","",2020,"% of Budget"
"3","Total Net Revenue","","1,224.5","1159.7","1006.2","3390.4",NA,""
"4","Gross Domestic Revenue","","597.7","506.5","243.5","1347.7",NA,""
"5","Tax","","376.2","339.3","146.0","861.4",NA,""
"6","Nontax","","112.3","137.0","86.6","335.9",NA,""
"7","Earmarked Collections (1)","","109.2","30.2","10.9","150.4",NA,""
"8","Clearance Revenue *","","658.6","704.2","794.4","2157.1",NA,""
"9","Tax Refunds (‐)","","31.8","51.0","31.6","114.4",NA,""
"10","Fuel","","30.0","50.0","25.0","105.0",NA,""
"11","Other","","1.8","1.0","6.6","9.4",NA,""
"12","Total Expenditure & Net lending","","783.5","1085.7","1028.5","2897.8",NA,""
"13","Wages and salaries","","479.3","518.9","512.2","1510.4",NA,""
"14","Gov. Social contributions","","‐","20.5","20.5","41.0",NA,""
"15","Use of goods and services","##","25.6","67.7","67.8","161.1",NA,""
"16","Transfers","##","159.7","312.6","314.7","786.9",NA,""
"17","Minor capital","##","‐","0.0","0.0","0.0",NA,""
"18","Interest","","12.3","5.6","2.7","20.6",NA,""
"19","Domestic","","12.3","5.6","1.6","19.5",NA,""
"20","External","","0 .0","0.0","1.1","1.1",NA,""
"21","Net lending  (2)","","106.7","123.2","94.6","324.5",NA,""
"22","Earmarked Payments (1)","","‐","37.2","16.0","53.2",NA,""
"23","Property Tax","","‐","22.7","11.6","34.3",NA,""
"24","Transportation Fees","","‐","6.2","2.4","8.6",NA,""
"25","Others","","‐","8.2","2.0","10.3",NA,""
"26","Current Balance","","440.9","74.0","‐22.3","492.6",NA,""
"27","Development Expenditures","","6 .2","23.3","45.8","75.4",NA,""
"28","Balance","","434.7","50.6","‐68.1","417.2",NA,""
"29","Financing","","‐434.7","‐50.6","68.1","‐417.2",NA,""
"30","External Budgetary Support","","0.0","138.4","108.1","246.5",NA,""
"31","Development Financing","","1.7","12.3","17.6","31.7",NA,""
