"","X","X.1","X.2","X.3","X.4","Budget","Actual.as"
"1","","Jan","Feb","Mar","Jan‐Mar",NA,""
"2","","","","","",2020,"% of Budget"
"3","Total Net Revenue (Commitment Basis)","1263.5","1201.1","902.1","3366.7",NA,""
"4","Total Net Revenue (Cash Basis)","1224.5","1159.7","1006.2","3390.4",NA,""
"5","Gross Domestic Revenue (Commitment Basis)","597.7","506.5","243.5","1347.7",NA,""
"6","Tax","376.2","339.3","146.0","861.4",NA,""
"7","Nontax","112.3","137.0","86.6","335.9",NA,""
"8","Earmarked Collections (1)","109.2","30.2","10.9","150.4",NA,""
"9","Clearance Revenue (Accrued)","700.5","746.1","717.7","2164.3",NA,""
"10","Clearance Revenue (Cash Basis)","658.6","704.2","794.4","2157.1",NA,""
"11","Clearance Revenue Withheld  (2)","41.9","41.9","‐76.6","7.2",NA,""
"12","Tax Refunds (Commitment Basis)","34.7","51.5","59.1","145.3",NA,""
"13","Tax Refunds (Cash Basis)","31.8","51.0","31.6","114.4",NA,""
"14","Tax Refund (Arrears)","2.9","0.5","27.5","30.9",NA,""
"15","Total Expenditure & Net lending (Commitment Basis)","1009.0","1198.8","1151.3","3359.1",NA,""
"16","Total Expenditure & Net lending (Cash Basis)","783.5","1085.7","1028.5","2897.8",NA,""
"17","Total Expenditure & Net lending (Arrears)","225.5","113.1","122.7","461.3",NA,""
"18","Wages and salaries (arrears)","53.8","49.5","51.7","155.1",NA,""
"19","Gov. Social contributions (arrears)","55.2","34.6","34.4","124.3",NA,""
"20","Use of goods and services (arrears)","0.2","26.9","27.3","54.4",NA,""
"21","Transfers (arrears)","1.3","8.8","15.0","25.0",NA,""
"22","Minor capital (arrears)","0.0","0.2","0.3","0.6",NA,""
"23","Interest (arrears)","5.8","0.0","‐0.9","4.8",NA,""
"24","Domestic (arrears)","5.8","0.0","‐1.0","4.8",NA,""
"25","External (arrears)","0.0","0.0","0.0","0.0",NA,""
"26","Net lending (arrears) (3)","0.0","0.0","0.0","0.0",NA,""
"27","Earmarked Payments (Arrears) (1)","109.2","‐6.9","‐5.1","97.2",NA,""
"28","Current Balance (Commitment Basis)","254.4","2.3","‐249.2","7.6",NA,""
"29","Current Balance (Cash Basis)","440.9","74.0","‐22.3","492.6",NA,""
"30","Development Expenditure (Commitment Basis)","6.3","65.3","76.4","148.0",NA,""
