"","X","X.1","X.2","X.3","X.4","Budget","Actual.as"
"1","","Jan","Feb","Mar","Jan‐Mar",NA,""
"2","","","","","",2020,"% of Budget"
"3","Total Net Revenues (1)","1263.5","1201.1","902.1","3366.7",NA,""
"4","A.  Net Tax Revenues","1151.2","1064.1","815.5","3030.8",NA,""
"5","1.  Domestic Tax Revenues","376.2","339.3","146.0","861.4",NA,""
"6","Income Tax","115.1","151.9","42.3","309.3",NA,""
"7","Value Added Tax","158.7","99.2","51.3","309.2",NA,""
"8","Customs","73.5","71.0","37.9","182.4",NA,""
"9","Excises on Beverages","0.9","0.4","0.4","1.6",NA,""
"10","Excises on Tobacco","18.4","16.1","13.8","48.3",NA,""
"11","Property Tax","9.7","0.6","0.3","10.6",NA,""
"12","2.  Clearance Revenue *","700.5","746.1","717.7","2164.3",NA,""
"13","Customs","314.3","330.9","300.6","945.8",NA,""
"14","Value Added Tax","168.6","187.6","183.4","539.7",NA,""
"15","Purchase Tax","1.8","‐3.9","1.6","‐0.6",NA,""
"16","Petroleum Excise","215.8","231.5","205.1","652.4",NA,""
"17","Income Tax","‐","‐","27.0","27.0",NA,""
"18","Other","‐","‐","‐","‐",NA,""
"19","3. Earmarked Collections (3)","109.2","30.2","10.9","150.4",NA,""
"20","Property Tax","87.4","16.4","2.2","106.1",NA,""
"21","Transportation","12.5","12.1","6.7","31.4",NA,""
"22","other","9.3","1.7","1.9","12.9",NA,""
"23","4.  Tax Refunds (‐)","34.7","51.5","59.1","145.3",NA,""
"24","Fuel","30.0","50.0","25.0","105.0",NA,""
"25","Other (2)","4.7","1.5","34.1","40.3",NA,""
"26","B.  Nontax Revenues","112.3","137.0","86.6","335.9",NA,""
"27","1.  Domestic Fees and Charges","111.7","96.5","86.5","294.7",NA,""
"28","Civil Registration Fees","0.5","0.7","0.2","1.5",NA,""
"29","Health Fees","8.8","7.9","6.5","23.2",NA,""
"30","Health Insurance","30.8","20.3","16.0","67.0",NA,""
"31","Transportation","12.5","12.1","6.7","31.4",NA,""
"32","Local Government","0.4","0.6","0.3","1.3",NA,""
"33","Ministry of Economy","1.3","1.3","0.8","3.4",NA,""
"34","Shari'a Courts Fees","0.5","0.4","0.2","1.1",NA,""
"35","Land Registration","6.1","8.8","4.6","19.5",NA,""
"36","Ministry of Housing","0.0","1.4","0.0","1.4",NA,""
"37","Agriculture Services","0.4","0.5","0.5","1.4",NA,""
"38","Tourist Fees","0.3","0.3","0.1","0.8",NA,""
"39","Telecommunication Fees","5.9","5.4","2.3","13.5",NA,""
"40","Ministry of Education","1.6","1.1","0.3","3.0",NA,""
"41","High Court of Justice Fees","5.2","5.2","2.3","12.8",NA,""
"42","Foreign Affairs","0.1","0.1","0.1","0.3",NA,""
"43","Licenses","0.3","0.3","0.3","0.9",NA,""
"44","Others","37.0","30.0","45.3","112.2",NA,""
"45","Training fees","0.0","0.0","0.0","0.0",NA,""
"46","2.  Investments Profits","0.5","40.6","0.1","41.2",NA,""
