"","X","X.1","Wages.and","Social","Use.of.goods","Interest","Transfer","Minor.Capital","Development"
"1","","Total Expenditure","","","","","","",""
"2","","","salaries","contributions","and services","payments","Expenditure","Expenditure","Expenditure"
"3","Governance Sector","","","","","","","",""
"4","President's Office","10,095","7 ,051","7 14","2 ,009","‐","‐","3 4","2 86"
"5","P.L.O. Institutions","79,873","11,434","4 57","1 1,654","‐","5 5,834","1","4 93"
"6","Legislative Council","1,133","860","9 5","8 5","‐","9 2","‐","‐"
"7","Ministers' Council","3,137","627","3 8","688","‐","‐","‐","1,784"
"8","General Secretariat for the council of ministers","1,127","865","9 1","171","‐","‐","‐","‐"
"9","Office of the Deputy Prime Minister","73","30","1","4 2","‐","‐","‐","‐"
"10","State Audit & Administrative Control Bureau","1,041","763","8 6","192","‐","‐","‐","‐"
"11","General Personnel Office","5,635","4 ,778","5 55","303","‐","‐","‐","‐"
"12","Ministry of Finance & Planning","13,048","6 ,057","5 37","1,131","‐","4,701","‐","6 21"
"13","Ministry of Jerusalem Affairs","3,748","830","1 4","3 1","‐","2,873","‐","‐"
"14","Non Governmental Organization","3,238","289","2 9","5 3","‐","2,866","‐","‐"
"15","Retirees Pension Allowances","190,083","20","‐","‐","‐","190,063","‐","‐"
"16","Public Debt Interest Payments","1,780","‐","‐","‐","1 ,780","‐","‐","‐"
"17","General Expenditures","992","‐","‐","‐","‐","992","‐","‐"
"18","Financial Reserves","141","‐","‐","‐","‐","141","‐","‐"
"19","General Authority for crossings and borders","12,273","1 ,502","8 7","3,045","‐","‐","0","7,639"
"20","Negotiations Affairs Department","173","111","1 1","5 1","‐","‐","‐","‐"
"21","Embassies","18,283","9 ,372","‐","7,794","‐","1,117","‐","‐"
"22","Central Election Committee","1,687","‐","‐","1 ,687","‐","‐","‐","‐"
"23","Ministry of Interior and National Security","260,386","2 11,425","2 2,064","1 8,043","‐","‐","220","8,634"
"24","Ministry of Justice","4,861","3 ,800","4 23","473","‐","‐","0","1 65"
"25","Supreme Judicial Council","8,265","6 ,306","6 81","1 ,264","‐","‐","‐","14"
"26","Ministry of Foreign Affairs","5,573","4 ,764","3 16","233","‐","‐","‐","2 61"
"27","The Higher Judicial Council","2,238","1 ,786","1 70","260","‐","‐","‐","22"
"28","Supreme Council for Public Procurement Policies","185","51","4","1 2","‐","‐","‐","1 19"
"29","The Supreme Constitutional Court","466","372","1 1","8 3","‐","‐","‐","‐"
"30","Total","629,534","2 73,092","2 6,384","4 9,304","1,780","2 58,680","2 56","2 0,037"
"31","Infrastructure Sector","","","","","","","",""
"32","Palestinian Water Authority","11,765","1 ,398","1 16","1 ,671","‐","‐","‐","8,580"
"33","Ministry of Energy and Natural Resources","3,002","306","2 7","9 2","‐","‐","‐","2,578"
"34","Ministry of Transportation","3,447","2 ,849","2 77","322","‐","‐","‐","‐"
"35","Ministry of Communications and Information Technolo","2,917","2 ,212","1 94","511","‐","‐","‐","‐"
"36","Ministry of Public Works and Housing","9,878","3 ,027","3 01","366","‐","‐","‐","6,185"
"37","Ministry of Local Government","9,016","1 ,874","1 82","313","‐","1,193","‐","5,454"
"38","Environmental Quality Authority","1,210","875","1 00","123","‐","‐","‐","1 11"
"39","Total","41,236","1 2,540","1 ,197","3 ,397","‐","1 ,193","‐","2 2,908"
"40","Economic Affairs","","","","","","","",""
"41","Palestinian Central Bureau of Statistics","2,437","1 ,059","1 19","657","‐","‐","‐","6 02"
"42","Ministry of Tourism and Antiquities","3,625","1 ,275","1 08","303","‐","‐","‐","1,939"
"43","Land Authority","1,948","1 ,479","1 39","185","‐","‐","1 1","1 33"
"44","Ministry of National Economy","3,590","3 ,008","3 42","240","‐","‐","‐","‐"
"45","Industrial Zones Board","351","281","3 4","3 7","‐","‐","‐","‐"
"46","Specifications and Standards Office","842","636","6 1","145","‐","‐","‐","‐"
"47","General Authority for Investment Promotion","199","154","1 7","2 8","‐","‐","‐","‐"
"48","Ministry of Agriculture","10,557","5 ,904","5 27","998","‐","‐","‐","3,128"
"49","Form of Land & Water  intercession","2,425","663","4 7","102","‐","‐","‐","1,614"
"50","Total","25,975","1 4,459","1 ,393","2 ,694","‐","‐","1 1","7 ,417"
