"","Social.Affairs","X","X.1","X.2","X.3","X.4","X.5","X.6","X.7"
"1","Ministry of Education","223,684","1 76,279","1 7,588","1 0,199","‐","‐","‐","1 9,618"
"2","Ministry of Higher Education and Scientific Research","11,292","6 ,200","6 34","518","‐","2,417","‐","1,523"
"3","Ministry of Health","85,800","55,143","5,077","2 3,263","‐","‐","6 1","2,257"
"4","Ministry of Women's Affairs","1,003","360","3 3","503","‐","‐","‐","1 07"
"5","Ministry of Social Affairs","72,719","4 ,172","4 45","478","‐","6 7,321","‐","3 03"
"6","Ministry of Information","594","486","4 8","5 9","‐","‐","‐","‐"
"7","Palestinian Broadcasting Corporation","7,592","4 ,759","4 50","2,383","‐","‐","‐","‐"
"8","The Palestinian News Agency ‐ WAFA","1,200","969","1 11","120","‐","‐","‐","‐"
"9","Al‐Hayat Al‐Jadida Press","2,680","375","2 4","260","‐","‐","‐","2,021"
"10","Higher Council For Youth And Sports","3,514","2 ,255","2 16","1,043","‐","‐","‐","‐"
"11","Ministry of Culture","1,363","928","1 02","299","‐","‐","‐","35"
"12","Dar Al Fatwa and Islamic Research","516","377","2 9","110","‐","‐","‐","‐"
"13","The Ministry of Awqaf and Religious Affairs","10,106","8 ,899","9 32","274","‐","‐","‐","‐"
"14","Ministry of Labor","3,308","2 ,642","2 61","256","‐","‐","‐","1 49"
"15","Total","425,370","2 63,844","2 5,949","3 9,765","‐","6 9,738","6 1","2 6,014"
"16","Grand Total","1,122,115","5 63,936","5 4,923","9 5,160","1,780","3 29,611","3 28","7 6,376"
