"","�.�.�.�.�.ز�.�...�.س�.�..�.�.�.ع�.ي.�.�.","X","X.1","X.2","X.3","X.4","X.5","X.6"
"1","","كانون ثاني - آذار","آذار","شباط","كانون ثاني",NA,"",""
"2","الموازنة2020","","","","",NA,"",""
"3","","3366.7","902.1","1201.1","1263.5",NA,"اجمالي صافي الایرادات",""
"4","","1347.7","243.5","506.5","597.7",NA,"اجمالي الایرادات المحلیة",""
"5","","861.4","146.0","339.3","376.2",NA,"الایرادات الضریبیة",""
"6","","335.9","86.6","137.0","112.3",NA,"الایرادات غیر الضریبیة",""
"7","","150.4","10.9","30.2","109.2",NA,"تحصیلات مخصصة  *(1)",""
"8","","2164.3","717.7","746.1","700.5",NA,"اجمالي ایرادات المقاصة",""
"9","","145.3","59.1","51.5","34.7",NA,"الارجاعات الضریبیة  (-)",""
"10","","105.0","25.0","50.0","30.0",NA,"","الوقود"
"11","","40.3","34.1","1.5","4.7",NA,"أخرى  (2)",""
"12","","3359.1","1151.3","1198.8","1009.0",NA,"اجمالي النفقات و صافي الاقراض",""
"13","","1665.5","563.9","568.4","533.2",221,"النفقات و الأجور",""
"14","","165.3","54.9","55.1","55.2",222,"مساھمات اجتماعیة  ) الحكومة(",""
"15","","215.5","95.2","94.5","25.8",231,"استخدام السلع والخدمات",""
"16","","812.0","329.6","321.4","160.9",232,"نفقات تحویلیة",""
"17","","0.6","0.3","0.2","0.0",233,"نفقات رأسمالیة",""
"18","","25.5","1.8","5.6","18.1",NA,"","الفائدة"
"19","","24.3","0.7","5.6","18.1",NA,"محلي",""
"20","","1.1","1.1","0.0","0.0",NA,"خارجي",""
"21","","324.5","94.6","123.2","106.7",NA,"(3)صافي الاقراض",""
"22","","150.4","10.9","30.2","109.2",NA,"مدفوعات مخصصة (1)",""
"23","","106.1","2.2","16.4","87.4",NA,"ضریبة الاملاك",""
"24","","31.4","6.7","12.1","12.5",NA,"النقل على الطرق",""
"25","","12.9","1.9","1.7","9.3",NA,"أخرى",""
"26","","7.6","-249.2","2.3","254.4",NA,"الرصید الحالي",""
"27","","148.0","76.4","65.3","6.3",NA,"النفقات التطویریة",""
"28","","-140.4","-325.5","-63.0","248.1",NA,"","الرصید"
"29","","140.4","325.5","63.0","-248.1",NA,"مصادر التمویل",""
"30","","246.5","108.1","138.4","0.0",NA,"الدعم الخارجي للموازنة",""
"31","","32.1","17.6","12.3","2.1",NA,"التمویل التطویري",""
"32","","-459.2","38.7","-108.6","-389.2",NA,"صافي التمویل من البنوك المحلیة (4)",""
"33","","533.9","153.3","155.1","225.5",NA,"متأخرات النفقات ) الصافي التراكمي  (5)(",""
"34","","7.2","-76.6","41.9","41.9",NA,"(6)تعدیل ایرادات المقاصة",""
"35","","30.9","27.5","0.5","2.9",NA,"الارجاعات الضریبیة ) متأخرات(",""
"36","","-239.5","-94.0","-98.5","-46.9",NA,"متأخرات السلع والخدمات والتطویري  (7)",""
"37","","2.9","-2.2","5.7","-0.7",NA,"الرصید المتبقي",""
"38","","","","","",NA,"سعر الدولار، الموازنة",""
"39","","3.49","3.55","3.45","3.46",NA,"سعر الدولار، فعلي )معدل شھري(",""
"40","التحصیلات والمدفوعات المخصصة ھي ضرائب وإیرادات تخص ھیئات الحكم المحلیة %90، من ضریبة الاملاك،و%50 من ضرائب النقل والمواصلات.","","","","",NA,"","(1)"
"41","","","الارجاعات الضریبیة الأخرى ھي ارجاعات ضریبة القیمة المضافة، وارجاعات المقاصة.","","",NA,"","(2)"
"42","","بناءا على التعمیم الصادر من وزارة المالیة، تم اجراء تقاص لتخفیض مدیونیة الھیئات المحلیة وشركة الكھرباء.","","","",NA,"","(3)"
"43","","","ھي صافي التغیر في الإیداعات الحكومیة في البنوك والاقتراض من النظام البنكي.","","",NA,"","(4)"
"44","","","","","في بنود مجموع النفقات و صافي الاقراض و النفقات التطویریة.",NA,"","(5)"
"45","28 نیسان 2020","","","","محجوزة +)( أو تمویل من سنوات سابقة أو/ و تحویل مقدما  .(-)",NA,"","(6)"
"46","","","","","",NA,"دفعات عن متأخرات سنوات سابقة.","(7)"
