"","�.س�.�..�.�.�.ع�.ي.�.�.","�.�.�.�.�.ز�.�.","X","X.1","X.2","X.3","X.4"
"1","","","كانون ثاني - آذار","آذار","شباط","كانون ثاني",""
"2","الموازنة","2020","","","","",""
"3","","","323.417","121.229","121.522","80.666",".1 فوائد مساعدات اجتماعیة"
"4","","","145.071","54.026","55.483","35.562","مساعدات  اجتماعیة"
"5","","","126.351","50.007","48.858","27.486","مساعدات للعوائل الغیر مقتدرة"
"6","","","51.996","17.196","17.182","17.618","اعانات البطالة"
"7","","","463.385","193.009","193.171","77.205",".2 فوائد الضمان الاجتماعي )المعاشا ت المدنیة والمعاشات العس كریة("
"8","","","9.442","7.201","1.918","0.323",".3 المدفوعات للمنظمات غیر الحك ومیة والمجتمع المدني وال جامعات"
"9","","","8.269","5.032","0.854","2.382",".4 التعویض عن الأضرار ونفقات ا لطوارئ - الاحتیاطیات"
"10","","","3.320","1.194","1.782","0.344",".5 دعم الحكومة المحلیة"
"11","","","3.677","1.947","1.730","-",".6 التحویلات الأخرى"
"12","","","0.182","-","0.182","-",".7 الإعانات التعلیمیة والمنح الدرا سیة"
"13","","","811.692","329.612","321.159","160.920","المجموع"
"14","","","28 نیسان 2020","","","",""
"15","","","","","","","جدول 8ب العملیات المالیة: التحویلیة ) أساس النقدي( آذار 2020"
"16","نسبة الفعلي من","الموازنة","","","","",""
"17","","","كانون ثاني - آذار","آذار","شباط","كانون ثاني",""
"18","الموازنة","2020","","","","",""
"19","","","322.639","120.982","120.991","80.666",".1 فوائد مساعدات اجتماعیة"
"20","","","144.433","53.892","54.979","35.562","مساعدات  اجتماعیة"
"21","","","126.210","49.894","48.830","27.486","مساعدات للعوائل الغیر مقتدرة"
"22","","","51.996","17.196","17.182","17.618","اعانات البطالة"
"23","","","457.385","191.009","189.171","77.205",".2 فوائد الضمان الاجتماعي )المعاشا ت المدنیة والمعاشات العس كریة("
"24","","","1.691","1.389","0.302","-",".3 المدفوعات للمنظمات غیر الحك ومیة والمجتمع المدني وال جامعات"
"25","","","2.265","0.156","0.323","1.786",".4 التعویض عن الأضرار ونفقات ا لطوارئ - الاحتیاطیات"
"26","","","1.725","0.533","1.192","-",".5 دعم الحكومة المحلیة"
"27","","","1.108","0.587","0.521","-",".6 التحویلات الأخرى"
"28","","","-","-","-","-",".7 الإعانات التعلیمیة والمنح الد راسیة"
"29","","","786.814","314.656","312.501","159.657","المجموع"
