"","�.س�.�..�.�.�.ع�.ي.�.�.","�.�.�.�.�.ز�.�.","X","X.1","X.2","X.3","X.4","X.5","X.6"
"1","",NA,"كانون ثاني - آذار","آذار","شباط","كانون ثاني","","",""
"2","الموازنة",2020,"","","","","","",""
"3","",NA,"3390.4","1006.2","1159.7","1,224.5","","","اجمالي صافي الایرادات"
"4","",NA,"1347.7","243.5","506.5","597.7","","","اجمالي الایرادات المحلیة"
"5","",NA,"861.4","146.0","339.3","376.2","","","الضریبیة"
"6","",NA,"335.9","86.6","137.0","112.3","","","غیر الضریبیة"
"7","",NA,"150.4","10.9","30.2","109.2","","","تحصیلات مخصصة (1)"
"8","",NA,"2157.1","794.4","704.2","658.6","","","ایرادات المقاصة"
"9","",NA,"114.4","31.6","51.0","31.8","","","(-)الارجاعات الضریبیة"
"10","",NA,"105.0","25.0","50.0","30.0","","","وقود"
"11","",NA,"9.4","6.6","1.0","1.8","","","أخرى"
"12","",NA,"2897.8","1028.5","1085.7","783.5","","","اجمالي النفقات و صافي الاقراض"
"13","",NA,"1510.4","512.2","518.9","479.3","","","الرواتب والأجور"
"14","",NA,"41.0","20.5","20.5","-","","","مساھمات اجتماعیة  ) الحكومة("
"15","",NA,"161.1","67.8","67.7","25.6","#","","استخدام السلع و الخدمات"
"16","",NA,"786.9","314.7","312.6","159.7","#","","تحویلیة"
"17","",NA,"0.0","0.0","0.0","-","#","","رأسمالیة صغرى"
"18","",NA,"20.6","2.7","5.6","12.3","","","فائدة"
"19","",NA,"19.5","1.6","5.6","12.3","","","محلي"
"20","",NA,"1.1","1.1","0.0","0.0","","","خارجي"
"21","",NA,"324.5","94.6","123.2","106.7","","","صافي الاقراض (2)"
"22","",NA,"53.2","16.0","37.2","-","","","دفعات مخصصة (1)"
"23","",NA,"34.3","11.6","22.7","-","","","ضریبة الأملاك"
"24","",NA,"8.6","2.4","6.2","-","","","رسوم المواصلات"
"25","",NA,"10.3","2.0","8.2","-","","","أخرى"
"26","",NA,"492.6","-22.3","74.0","440.9","","","الرصید الحالي"
"27","",NA,"75.4","45.8","23.3","6.2","","","النفقات التطویریة"
"28","",NA,"417.2","-68.1","50.6","434.7","","","الرصید"
"29","",NA,"-417.2","68.1","-50.6","-434.7","","","مصادر التمویل"
"30","",NA,"246.5","108.1","138.4","0.0","","","الدعم الخارجي للموازنة"
"31","",NA,"32.1","17.6","12.3","2.1","","","التمویل التطویري"
"32","",NA,"-459.2","38.7","-108.6","-389.2","","(3)","صافي التمویل من البنوك المحلیة"
"33","",NA,"-239.5","-94.0","-98.5","-46.9","","متأخرات السلع والخدمات والتطویري  (4)",""
"34","",NA,"2.9","-2.2","5.7","-0.7","","","الرصید المتبقي"
"35","",NA,"","","","","","","سعر الدولار، الموازنة"
"36","",NA,"3.49","3.55","3.45","3.46","","","سعر الدولار، فعلي )معدل شھري("
